surah,ayah,arabic_text,translation,footnotes
86,1,وَٱلسَّمَآءِ وَٱلطَّارِقِ,1. Yalli qaran kee bar mira cutuktal xiibite.,
86,2,وَمَآ أَدۡرَىٰكَ مَا ٱلطَّارِقُ,2. Kaadu maca koo tiysixxigee bar mira cutukti kinnim?,
86,3,ٱلنَّجۡمُ ٱلثَّاقِبُ,"3. Usuk bolok iyya cutuktay, diifut dite boohaysa kinni.",
86,4,إِن كُلُّ نَفۡسٖ لَّمَّا عَلَيۡهَا حَافِظٞ,4. Hebeltô nafsi mayan malaykatti dacayrih amol kaak yanih akke waytek.,
86,5,فَلۡيَنظُرِ ٱلۡإِنسَٰنُ مِمَّ خُلِقَ,5. Toysa Seehadayti wagitay cubbusay как ginniimem.,
86,6,خُلِقَ مِن مَّآءٖ دَافِقٖ,6. Usuk leey (woh daacoyta kinnuk) sissikuk kaqittak ginniime.,
86,7,يَخۡرُجُ مِنۢ بَيۡنِ ٱلصُّلۡبِ وَٱلتَّرَآئِبِ,7. Numtin xiiron kee barrah aliilik fanak tawqc.,
86,8,إِنَّهُۥ عَلَىٰ رَجۡعِهِۦ لَقَادِرٞ,8. Diggah tohuk kaa gine Rabbi kaa gacsaamah duddali kinni. rabeek lakal.,
86,9,يَوۡمَ تُبۡلَى ٱلسَّرَآئِرُ,9. Kassit! Niyaayik lubbittet qellittem fokkaqsimtaah tamballu wayta ayro (woh Qhiyaamah ayró).,
86,10,فَمَا لَهُۥ مِن قُوَّةٖ وَلَا نَاصِرٖ,"10. Toysa Usuk çayla maliiy, cateyna mali.",
86,11,وَٱلسَّمَآءِ ذَاتِ ٱلرَّجۡعِ,11. Yalli qaraanay qagaa-qagita robiei xiibite.,
86,12,وَٱلۡأَرۡضِ ذَاتِ ٱلصَّدۡعِ,12. Kaadu baaxoy teetik tawqeemit baqittal xiibite.,
86,13,إِنَّهُۥ لَقَوۡلٞ فَصۡلٞ,13. Diggah Qhuraan yani deedalak baxissa maxcó kinni.,
86,14,وَمَا هُوَ بِٱلۡهَزۡلِ,14. Kaadu usuk digir hinna.,
86,15,إِنَّهُمۡ يَكِيدُونَ كَيۡدٗا,15. Diggah usun Nabiih uma malah malsan.(koros kinnuk).,
86,16,وَأَكِيدُ كَيۡدٗا,16. Kaadu wohuk gibdi malah anu keenih malsa cakki yambulleemkch.,
86,17,فَمَهِّلِ ٱلۡكَٰفِرِينَ أَمۡهِلۡهُمۡ رُوَيۡدَۢا,"17. Tokkel Nabiyow Koros qambaalis, digaalah obtit keenih maqataatakinaay dagoh gide ken qambaalis.",
