surah,ayah,arabic_text,translation,footnotes
87,1,سَبِّحِ ٱسۡمَ رَبِّكَ ٱلۡأَعۡلَى,1. Ku Rabbiy kaxxa fayya leh migaq saytunnos!.,
87,2,ٱلَّذِي خَلَقَ فَسَوَّىٰ,2. Yallay ginoona gineeh massoyséh migaqa.,
87,3,وَٱلَّذِي قَدَّرَ فَهَدَىٰ,3. Kaadu Kaay tu isih elle faxxa hee innal caggudusey gino tirri hee tet celtaah teetik faxximtaamah.,
87,4,وَٱلَّذِيٓ أَخۡرَجَ ٱلۡمَرۡعَىٰ,4. Kaadu Kaay anxax qayso baaxok yeyyeeqeh.,
87,5,فَجَعَلَهُۥ غُثَآءً أَحۡوَىٰ,5. Tohuk wadir kafteeh data ruma tet abe.,
87,6,سَنُقۡرِئُكَ فَلَا تَنسَىٰٓ,"6. Nabiyow ama qhuraan koo akriyisennooh, inkinnah kaa mahawwenta.",
87,7,إِلَّا مَا شَآءَ ٱللَّهُۚ إِنَّهُۥ يَعۡلَمُ ٱلۡجَهۡرَ وَمَا يَخۡفَىٰ,"7. Yalli faxem akke waytek, diggah usuk tambulleem kee qellittam yaaxigeh.(maxcoo kee taamak).",
87,8,وَنُيَسِّرُكَ لِلۡيُسۡرَىٰ,8. Kaadu maqaanê gita koh xabbacoysenno.,
87,9,فَذَكِّرۡ إِن نَّفَعَتِ ٱلذِّكۡرَىٰ,9. Tokkel Nabiyow isi mara Kassis! kassis tu-xiqek.,
87,10,سَيَذَّكَّرُ مَن يَخۡشَىٰ,10. Yallak meesitah yan num kassite lek.(moomintu kinnuk).,
87,11,وَيَتَجَنَّبُهَا ٱلۡأَشۡقَى,11. Kaadu gibdi umeyni kassitik axxeere-lek.(korosta kinnuk).,
87,12,ٱلَّذِي يَصۡلَى ٱلنَّارَ ٱلۡكُبۡرَىٰ,12. Каау kaxxa girâ cula.,
87,13,ثُمَّ لَا يَمُوتُ فِيهَا وَلَا يَحۡيَىٰ,"13. Tohuk lakal usuk tet addal marabaay, mayanuwwa.",
87,14,قَدۡ أَفۡلَحَ مَن تَزَكَّىٰ,14. Nummah isi nafsi dambik say tunnoy se num naggooweh.,
87,15,وَذَكَرَ ٱسۡمَ رَبِّهِۦ فَصَلَّىٰ,"15. Kaadu isi Rabbih migaq cuseeh kaa inkittoyseeh, wonnaluk salaate num.",
87,16,بَلۡ تُؤۡثِرُونَ ٱلۡحَيَوٰةَ ٱلدُّنۡيَا,16. Wonna hinnay isin addunyâ mano muxxussan akeerak.,
87,17,وَٱلۡأٓخِرَةُ خَيۡرٞ وَأَبۡقَىٰٓ,"17. Akeera mano tayseeh, raqtaah waartah.",
87,18,إِنَّ هَٰذَا لَفِي ٱلصُّحُفِ ٱلۡأُولَىٰ,18. Diggah tama sin kassisnem naharsi kitoobal tan.,
87,19,صُحُفِ إِبۡرَٰهِيمَ وَمُوسَىٰ,19. Toh Nabii Ibraahim kee Nabii Muusal obte kitooba.,
