surah,ayah,arabic,translation
1,,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,በአላህ ስም እጅግ በጣም ሩኅሩህ በጣም አዛኝ በኾነው፡፡{1}
1,,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,ምስጋና ለአላህ ይገባው የዓለማት ጌታ ለኾነው፤
1,,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,እጅግ በጣም ርኅሩህ በጣም አዛኝ
1,,مَٰلِكِ يَوۡمِ ٱلدِّينِ,የፍርዱ ቀን ባለቤት ለኾነው፡፡
1,,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,አንተን ብቻ እንግገዛለን፤ አንተንም ብቻ እርዳታን እንለምናለን፡፡
1,,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,ቀጥተኛውን መንገድ ምራን፡፡
1,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,የእነዚያን በነርሱ ላይ በጎ የዋልክላቸውን በነሱ ላይ ያልተቆጣህባቸውንና ያልተሳሳቱትንም ሰዎች መንገድ (ምራን፤ በሉ)፡፡ {1}
2,,الٓمٓ,አሊፍ ላም ሚም {1}
2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,ይህ መጽሐፍ (ከአላህ ለመኾኑ) ጥርጥር የለበትም፤ ለፈራህያን መሪ ነው፡፡
2,,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,ለነዚያ በሩቁ ነገር የሚያምኑ ሶላትንም ደንቡን ጠብቀው የሚሰግዱ ከሰጠናቸውም ሲሳይ የሚቸሩ ለኾኑት፤
2,,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,ለእነዚያም ወደ አንተ በተወረደውና ከአንተ በፊትም በተወረደው የሚያምኑ በመጨረሻይቱም (ዓለም) እነርሱ የሚያረጋግጡ ለኾኑት (መሪ ነው)፡፡
2,,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,እነዚያ ከጌታቸው በመመራት ላይ ናቸው፤ እነዚያም እነሱ ፍላጎታቸውን ያገኙ ናቸው፡፡
2,,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,እነዚያ የካዱት (ሰዎች) ብታስፈራራቸውም ባታስፈራራቸውም በነርሱ ላይ እኩል ነው፤ አያምኑም፡፡
2,,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ,አላህ በልቦቻቸው ላይ በመስሚያቸውም ላይ አትሞባቸዋል፤ በዓይኖቻቸውም ላይ መሸፈኛ አልለ፤ ለነሱም ታላቅ ቅጣት አላቸው፡፡
2,,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ,ከሰዎችም «በአላህና በመጨረሻው ቀን አምነናል» የሚሉ አልሉ፤ እነርሱም አማኞች አይደሉም፡፡
2,,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ,አላህንና እነዚያን ያመኑትን (ሰዎች) ያታልላሉ፤ የማያውቁ ሲኾኑ ነፍሶቻቸውን እንጅ ሌላን አያታልሉም፡፡
2,,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ,በልቦቻቸው ውስጥ (የንፍቅና) በሽታ አለባቸው፡፡ አላህም በሽታን ጨመረባቸው፡፡ ለነርሱም ይዋሹ በነበሩት ምክንያት አሳማሚ ቅጣት አላቸው፡፡
2,,وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ,ለነርሱም «በምድር ላይ አታበላሹ» በተባሉ ጊዜ «እኛ አሳማሪዎች ብቻ ነን» ይላሉ፡፡
2,,أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ,ንቁ እነርሱ አጥፊዎቹ እነሱው ናቸው፤ ግን አያውቁም፡፡
