surah,ayah,arabic_text,translation,footnotes
84,1,إِذَا ٱلسَّمَآءُ ٱنشَقَّتۡ,ሰማይ በተቀደደች ጊዜ፤,
84,2,وَأَذِنَتۡ لِرَبِّهَا وَحُقَّتۡ,ለጌታዋም (ትዕዛዝ) በሰማች ጊዜ፤ (ልትሰማ) ተገባትም፤,
84,3,وَإِذَا ٱلۡأَرۡضُ مُدَّتۡ,ምድርም በተለጠጠች ጊዜ፤,
84,4,وَأَلۡقَتۡ مَا فِيهَا وَتَخَلَّتۡ,በውስጧ ያለውንም ሁሉ በጣለችና ባዶ በኾነች ጊዜ፤,
84,5,وَأَذِنَتۡ لِرَبِّهَا وَحُقَّتۡ,ለጌታዋም በሰማች ጊዜ፤ (መስማት) ተገባትም፤ (ሰው ሁሉ ሥራውን ይገናኛል)፡፡,
84,6,يَٰٓأَيُّهَا ٱلۡإِنسَٰنُ إِنَّكَ كَادِحٌ إِلَىٰ رَبِّكَ كَدۡحٗا فَمُلَٰقِيهِ,አንተ ሰው ሆይ! አንተ ጌታህን (በሞት) እስከምትገናኝ ድረስ ልፋትን ለፊ ነህ፤ ተገናኚውም ነህ፡፡,
84,7,فَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ بِيَمِينِهِۦ,መጽሐፉን በቀኙ የተሰጠ ሰውማ፤,
84,8,فَسَوۡفَ يُحَاسَبُ حِسَابٗا يَسِيرٗا,በእርግጥ ቀላልን ምርመራ ይመረመራል፡፡,
84,9,وَيَنقَلِبُ إِلَىٰٓ أَهۡلِهِۦ مَسۡرُورٗا,ወደ ቤተሰቦቹም ተደሳች ኾኖ ይመለሳል፡፡,
84,10,وَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ وَرَآءَ ظَهۡرِهِۦ,መጽሐፉን በጀርባው ኋላ የተሰጠ ሰውማ፤,
84,11,فَسَوۡفَ يَدۡعُواْ ثُبُورٗا,(ዋ! ጥፋቴ በማለት) ጥፋትን በእርግጥ ይጠራል፡፡,
84,12,وَيَصۡلَىٰ سَعِيرًا,የተጋጋመች እሳትንም ይገባል፡፡,
84,13,إِنَّهُۥ كَانَ فِيٓ أَهۡلِهِۦ مَسۡرُورًا,እርሱ በቤተሰቡ ውስጥ ተደሳች ነበርና፡፡,
84,14,إِنَّهُۥ ظَنَّ أَن لَّن يَحُورَ,እርሱ (ወደ አላህ) የማይመለስ መኾኑን አስቧልና፡፡,
84,15,بَلَىٰٓۚ إِنَّ رَبَّهُۥ كَانَ بِهِۦ بَصِيرٗا,አይደለም (ይመለሳል)፡፡ ጌታው በእርሱ (መመለስ) ዐዋቂ ነበር፤ (ነውም)፡፡,
84,16,فَلَآ أُقۡسِمُ بِٱلشَّفَقِ,(አትካዱ)፤ በወጋገኑ እምላለሁ፡፡,
84,17,وَٱلَّيۡلِ وَمَا وَسَقَ,በሌሊቱም በሰበሰውም ሁሉ፤,
84,18,وَٱلۡقَمَرِ إِذَا ٱتَّسَقَ,በጨረቃውም በሞላ ጊዜ (እምላለሁ)፡፡,
84,19,لَتَرۡكَبُنَّ طَبَقًا عَن طَبَقٖ,ከኹነታ በኋላ ወደ ሌላ ኹነታ ትለዋወጣላችሁ፡፡,
84,20,فَمَا لَهُمۡ لَا يُؤۡمِنُونَ,የማያምኑት ለእነርሱ ምን አላቸው?,
84,21,وَإِذَا قُرِئَ عَلَيۡهِمُ ٱلۡقُرۡءَانُ لَا يَسۡجُدُونَۤ۩,በእነርሱም ላይ ቁርኣን በተነበበ ጊዜ የማይሰግዱት፤ (ምንአላቸው?) {1},{1} እዚህ አንድ የትላዋ ሱጁድ ይደረጋል።
84,22,بَلِ ٱلَّذِينَ كَفَرُواْ يُكَذِّبُونَ,በእርግጡ እነዚያ የካዱት (በትንሣኤ) ያስተባብላሉ፡፡,
84,23,وَٱللَّهُ أَعۡلَمُ بِمَا يُوعُونَ,አላህም (በልቦቻቸው) የሚቆጥሩትን ዐዋቂ ነው፡፡,
84,24,فَبَشِّرۡهُم بِعَذَابٍ أَلِيمٍ,በአሳማሚ ቅጣትም አብስራቸው፡፡,
84,25,إِلَّا ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُمۡ أَجۡرٌ غَيۡرُ مَمۡنُونِۭ,ግን እነዚያ ያመኑና መልካሞችን የሠሩ ለእነርሱ የማይቆረጥ ምንዳ አልላቸው፡፡,
