surah,ayah,arabic_text,translation,footnotes
86,1,وَٱلسَّمَآءِ وَٱلطَّارِقِ,শপত আকাশৰ আৰু যি ৰাতিত আত্মপ্ৰকাশ কৰে;,
86,2,وَمَآ أَدۡرَىٰكَ مَا ٱلطَّارِقُ,"আৰু কিহে তোমাক জনাব যে, ৰাতিত যিয়ে আত্মপ্ৰকাশ কৰে, সেয়ানো কি?",
86,3,ٱلنَّجۡمُ ٱلثَّاقِبُ,(সেয়া হৈছে) উজ্জ্বল নক্ষত্ৰ।,
86,4,إِن كُلُّ نَفۡسٖ لَّمَّا عَلَيۡهَا حَافِظٞ,প্ৰত্যেক জীৱৰ ওপৰতেই এজন তত্ত্বাৱধায়ক আছে।,
86,5,فَلۡيَنظُرِ ٱلۡإِنسَٰنُ مِمَّ خُلِقَ,"এতেকে মানুহে চিন্তা কৰা উচিত যে, তাক কিহেৰে সৃষ্টি কৰা হৈছে!",
86,6,خُلِقَ مِن مَّآءٖ دَافِقٖ,"তাক সৃষ্টি কৰা হৈছে দ্ৰুতগতিত স্খলিত হোৱা পানীৰে,",
86,7,يَخۡرُجُ مِنۢ بَيۡنِ ٱلصُّلۡبِ وَٱلتَّرَآئِبِ,যিটো নিৰ্গত হয় মেৰুদণ্ড আৰু বুকুৰ মাজৰ পৰা।,
86,8,إِنَّهُۥ عَلَىٰ رَجۡعِهِۦ لَقَادِرٞ,নিশ্চয় তেওঁ তাক ওভোতাই আনিবলৈ সক্ষম।,
86,9,يَوۡمَ تُبۡلَى ٱلسَّرَآئِرُ,"যিদিনা গোপন বিষয়সমূহ পৰীক্ষা কৰা হ’ব,",
86,10,فَمَا لَهُۥ مِن قُوَّةٖ وَلَا نَاصِرٖ,সেইদিনা তাৰ কোনো শক্তি নাথাকিব আৰু কোনো সহায়কাৰীও নাথাকিব।,
86,11,وَٱلسَّمَآءِ ذَاتِ ٱلرَّجۡعِ,"শপত আকাশৰ, যিয়ে বৰষুণ ধাৰণ কৰে,",
86,12,وَٱلۡأَرۡضِ ذَاتِ ٱلصَّدۡعِ,"শপত পৃথিৱীৰ, যিটো বিদীৰ্ণ হয়,",
86,13,إِنَّهُۥ لَقَوۡلٞ فَصۡلٞ,নিশ্চয় এইখন (আল-কোৰআন) হৈছে মীমাংসাকাৰী বাণী।,
86,14,وَمَا هُوَ بِٱلۡهَزۡلِ,আৰু এইখন নিৰৰ্থক নহয়।,
86,15,إِنَّهُمۡ يَكِيدُونَ كَيۡدٗا,"নিশ্চয় সিহঁতে ভীষণ ষড়যন্ত্ৰ কৰে,",
86,16,وَأَكِيدُ كَيۡدٗا,আৰু ময়ো ভীষণ কৌশল কৰিছোঁ।,
86,17,فَمَهِّلِ ٱلۡكَٰفِرِينَ أَمۡهِلۡهُمۡ رُوَيۡدَۢا,এতেকে কাফিৰসকলক অৱকাশ দিয়া; সিহঁতক কিছু সময়ৰ বাবে অৱকাশ দিয়া।,
