translation_key,language_code,translation_title,translation_version,surah,ayah,arabic_text,translation,footnotes
assamese_rafeeq,as,Assamese translation,1.0.5,1,,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,(আৰম্ভ কৰিছোঁ) পৰম কৰুণাময় পৰম দয়ালু আল্লাহৰ নামত।,
assamese_rafeeq,as,Assamese translation,1.0.5,1,,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,সকলো ধৰণৰ হামদ (প্ৰশংসা) বিশ্বজগতৰ ৰব আল্লাহৰ বাবে।,
assamese_rafeeq,as,Assamese translation,1.0.5,1,,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"যিজন পৰম কৰুণাময়, পৰম দয়ালু।",
assamese_rafeeq,as,Assamese translation,1.0.5,1,,مَٰلِكِ يَوۡمِ ٱلدِّينِ,বিচাৰ দিৱসৰ মালিক।,
assamese_rafeeq,as,Assamese translation,1.0.5,1,,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,"আমি কেৱল তোমাৰেই ইবাদত কৰোঁ, আৰু তোমাৰ ওচৰতেই সহায় প্ৰাৰ্থনা কৰোঁ।",
assamese_rafeeq,as,Assamese translation,1.0.5,1,,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,আমাক সৰল পথৰ হিদায়ত দিয়া।,
assamese_rafeeq,as,Assamese translation,1.0.5,1,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"তেওঁলোকৰ পথ, যিসকলক তুমি নিয়ামত (অনুগ্ৰহ) প্ৰদান কৰিছা, সিহঁতৰ নহয়, যিসকলৰ ওপৰত তোমাৰ ক্ৰোধ আপতিত হৈছে আৰু সিহঁতৰো নহয় যিসকল পথভ্ৰষ্ট হৈছে।",
assamese_rafeeq,as,Assamese translation,1.0.5,2,,الٓمٓ,আলিফ-লাম-মীম। [1],"[1] এইবোৰ আখৰক হুৰুফে মুক্বাত্তাআত বোলে। কোৰআনৰ কেইবাটাও ছুৰা এনেকুৱা আখৰেৰে আৰম্ভ হৈছে। দৰাচলতে এইবোৰ হৈছে কিছুমান বৰ্ণমালা, পৃথকভাৱে ব্যৱহাৰ হ’লে এইবোৰৰ কোনো অৰ্থ নহয়। যেনে- (আলিফ, বা, তা ইত্যাদি)। কিন্তু ইয়াত এইবোৰ নিৰৰ্থকভাৱে ব্যৱহাৰ হোৱা নাই। কাৰণ কোৰআনত প্ৰজ্ঞাহীন একোৱেই নাই। এইবোৰ আখৰ ব্যৱহাৰ হোৱাৰ অন্যতম এটা প্ৰজ্ঞা হৈছে এই যে, এইবোৰ আখৰৰ দ্বাৰা মুশ্বৰিকসকলক প্ৰত্যাহ্বান জনোৱা হৈছে যে, এইবোৰ আখৰৰ দ্বাৰাই কোৰআনৰ বাক্য সজোৱা হৈছে, যিবোৰ আখৰ সম্পৰ্কে সিহঁত আগৰ পৰাই অৱগত, এইবোৰৰ দ্বাৰাই সিহঁতে কথা কয়, তথাপিও ইয়াৰ অনুৰূপ গ্ৰন্থ ৰচনা কৰিবলৈ সিহঁত অক্ষম। যদিও সিহঁত ভাষাজ্ঞানত অত্যন্ত পাৰ্গত। গতিকে এইটোৱে প্ৰমাণ কৰে যে, এইখন হৈছে আল্লাহৰ পৰা অৱতীৰ্ণ গ্ৰন্থ।"
assamese_rafeeq,as,Assamese translation,1.0.5,2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,"এইখন সেই গ্ৰন্থ; য’ত কোনো সন্দেহ নাই, মুত্তাক্বীসকলৰ বাবে (এইখন) পথ-নিৰ্দেশক।",
assamese_rafeeq,as,Assamese translation,1.0.5,2,,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"যিসকলে গায়েবৰ প্ৰতি ঈমান পোষণ কৰে, ছালাত কায়েম কৰে আৰু আমি তেওঁলোকক যি প্ৰদান কৰিছোঁ তাৰ পৰা ব্যয় কৰে।",
