surah,ayah,arabic_text,translation,footnotes
84,1,إِذَا ٱلسَّمَآءُ ٱنشَقَّتۡ,"Sε ͻsoro sunsuan asin-asin,",
84,2,وَأَذِنَتۡ لِرَبِّهَا وَحُقَّتۡ,"Na ɔtie ne Wura Nyankopͻn ahyεdeε a, εyε n’asεde (sε ͻyε sotie de ma ne Wura Nyankopͻn ahyεdeε).",
84,3,وَإِذَا ٱلۡأَرۡضُ مُدَّتۡ,"Na sε asaase no mu twe,",
84,4,وَأَلۡقَتۡ مَا فِيهَا وَتَخَلَّتۡ,"Na ɔyi deε εwͻ ne mu nyinaa firi adi, na εda mpan,",
84,5,وَأَذِنَتۡ لِرَبِّهَا وَحُقَّتۡ,"Na ɔtie ne Wura Nyankopͻn ahyεdeε a, εyε n’asεde (sε ͻyε sotie de ma ne Wura Nyankopͻn ahyεdeε).",
84,6,يَٰٓأَيُّهَا ٱلۡإِنسَٰنُ إِنَّكَ كَادِحٌ إِلَىٰ رَبِّكَ كَدۡحٗا فَمُلَٰقِيهِ,"Onipa dasani, bͻ mmͻden paa (di dwuma) a εkͻ wo Wura Nyankopͻn hͻ, na nokorε sε wobɛhyia no, (anaasε wobɛhyia wo dwumadie no so akatua, sε εyε papa anaasε bͻne).",
84,7,فَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ بِيَمِينِهِۦ,"(Saa Da no) obi a, yεde ne (Dwumadie ho) Nwoma bεma no wͻ ne nsa nifa mu no,",
84,8,فَسَوۡفَ يُحَاسَبُ حِسَابٗا يَسِيرٗا,"(Saa nipa no) bɛbu nkonta a εyε mmrε,",
84,9,وَيَنقَلِبُ إِلَىٰٓ أَهۡلِهِۦ مَسۡرُورٗا,Na ͻbεdane ne ho akͻ n’abusuafoͻ hͻ wͻ anigyeε mu.,
84,10,وَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ وَرَآءَ ظَهۡرِهِۦ,"Na mmom obi a yεde ne Nwoma bεfa n’akyi ama no wͻ n’akyi no,",
84,11,فَسَوۡفَ يَدۡعُواْ ثُبُورٗا,"Ɔbɛsu afrε owuo,",
84,12,وَيَصۡلَىٰ سَعِيرًا,Na ͻbεkͻ Ogya frama mu.,
84,13,إِنَّهُۥ كَانَ فِيٓ أَهۡلِهِۦ مَسۡرُورًا,(Ԑberε a na ͻwͻ wiaseε no) na n’ani gye wͻ n’abusuafoͻ mu.,
84,14,إِنَّهُۥ ظَنَّ أَن لَّن يَحُورَ,Nokorε sε na ͻdwen sε ͻnsan nkͻ (Nyankopͻn) hͻ bio.,
84,15,بَلَىٰٓۚ إِنَّ رَبَّهُۥ كَانَ بِهِۦ بَصِيرٗا,"Aane, nokorε sε na ne Wura Nyankopͻn hu no (abrε biara).",
84,16,فَلَآ أُقۡسِمُ بِٱلشَّفَقِ,"Mede tͻ-wia, anaasε εberε a awia akͻtͻ ama ewiem ayε kͻͻ no,",
84,17,وَٱلَّيۡلِ وَمَا وَسَقَ,"Ne Anadwo, ne adeε biara a anadwo ka no soͻ, anaasε εboa ano wͻ faako,",
84,18,وَٱلۡقَمَرِ إِذَا ٱتَّسَقَ,Ne εberε a bosome bɛnyini atwa kanko no di nse sε:,
84,19,لَتَرۡكَبُنَّ طَبَقًا عَن طَبَقٖ,"“Nokorε, mobεforo afri gyinabrε mu, akͻ gyinabrε mu (wͻ wiase ne Daakye),",
84,20,فَمَا لَهُمۡ لَا يُؤۡمِنُونَ,"Na afei εdeεn na εha wͻn a enti wͻnnye (Nokorε no) nnie,",
84,21,وَإِذَا قُرِئَ عَلَيۡهِمُ ٱلۡقُرۡءَانُ لَا يَسۡجُدُونَۤ۩,Na sε yεrekenkan Qur’aan kyerε wͻn a wͻmmfa wͻn anim mmutu fͻm?,
84,22,بَلِ ٱلَّذِينَ كَفَرُواْ يُكَذِّبُونَ,"Aane, wͻn a wͻnnye nnie no fa no sε atorͻsεm.",
84,23,وَٱللَّهُ أَعۡلَمُ بِمَا يُوعُونَ,Nyankopͻn deε Ɔnim deε wͻde suma.,
84,24,فَبَشِّرۡهُم بِعَذَابٍ أَلِيمٍ,Enti fa asotwee yaaya no ho anohoba no bͻ wͻn.,
84,25,إِلَّا ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُمۡ أَجۡرٌ غَيۡرُ مَمۡنُونِۭ,"Na mmom wͻn a wͻagye (Nokorε no) adie na wͻdi dwuma pa no deε, wͻn wͻ akatua a enni awieε.",
