surah,ayah,arabic_text,translation,footnotes
56,1,إِذَا وَقَعَتِ ٱلۡوَاقِعَةُ,Qiyamət vaqe olacağı zaman.,
56,2,لَيۡسَ لِوَقۡعَتِهَا كَاذِبَةٌ,Onun vaqe olacağına heç bir şübhə yoxdur.,
56,3,خَافِضَةٞ رَّافِعَةٌ,"O, (kafirləri) alçaldacaq, (möminləri) ucaldacaq.",
56,4,إِذَا رُجَّتِ ٱلۡأَرۡضُ رَجّٗا,"Yer şiddətlə titrədiyi zaman,",
56,5,وَبُسَّتِ ٱلۡجِبَالُ بَسّٗا,Dağlar parça-parça olub ovxalandığı,
56,6,فَكَانَتۡ هَبَآءٗ مُّنۢبَثّٗا,"(Ətrafa) səpələnmiş toz-torpağa döndüyü zaman,",
56,7,وَكُنتُمۡ أَزۡوَٰجٗا ثَلَٰثَةٗ,siz üç dəstəyə ayrılacaqsınız.,
56,8,فَأَصۡحَٰبُ ٱلۡمَيۡمَنَةِ مَآ أَصۡحَٰبُ ٱلۡمَيۡمَنَةِ,Sağ tərəf sahibləri. Nə xoşbəxtdir sağ tərəf sahibləri!,
56,9,وَأَصۡحَٰبُ ٱلۡمَشۡـَٔمَةِ مَآ أَصۡحَٰبُ ٱلۡمَشۡـَٔمَةِ,Sol tərəf sahibləri. Nə bədbəxtdir sol tərəf sahibləri!,
56,10,وَٱلسَّٰبِقُونَ ٱلسَّٰبِقُونَ,"(Dünyada xeyirxah işlərdə) öndə gedənlər, (axirətdə də) öndədirlər!",
56,11,أُوْلَٰٓئِكَ ٱلۡمُقَرَّبُونَ,Onlar (Allaha) yaxınlaşdırılmış kimsələrdir.,
56,12,فِي جَنَّٰتِ ٱلنَّعِيمِ,Onlar Nəim cənnətlərində olacaqlar.,
56,13,ثُلَّةٞ مِّنَ ٱلۡأَوَّلِينَ,Onların bir qismi əvvəlki ümmətlərlərdən.,
56,14,وَقَلِيلٞ مِّنَ ٱلۡأٓخِرِينَ,ِAz bir qismi də axırıncılardandır.,
56,15,عَلَىٰ سُرُرٖ مَّوۡضُونَةٖ,(Onlar qızıl-gümüşlə) bəzənmiş taxtlar üstündə,
56,16,مُّتَّكِـِٔينَ عَلَيۡهَا مُتَقَٰبِلِينَ,qarşı-qarşıya əyləşib dirsəklənəcəklər.,
56,17,يَطُوفُ عَلَيۡهِمۡ وِلۡدَٰنٞ مُّخَلَّدُونَ,Onların ətrafında həmişəcavan (xidmətçi) oğlanlar dolanacaqlar –,
56,18,بِأَكۡوَابٖ وَأَبَارِيقَ وَكَأۡسٖ مِّن مَّعِينٖ,"çeşmə şərabı ilə dolu badələr, bardaqlar və qədəhlərlə –",
56,19,لَّا يُصَدَّعُونَ عَنۡهَا وَلَا يُنزِفُونَ,"ondan başları ağrımaz və məst olmazlar,",
56,20,وَفَٰكِهَةٖ مِّمَّا يَتَخَيَّرُونَ,bəyənib seçdikləri meyvələr,
56,21,وَلَحۡمِ طَيۡرٖ مِّمَّا يَشۡتَهُونَ,və istədikləri quş əti ilə (onların ətrafında hərlənəcəklər).,
56,22,وَحُورٌ عِينٞ,(Onlar üçün orada) iri qara gözlü hurilər vardır –,
56,23,كَأَمۡثَٰلِ ٱللُّؤۡلُوِٕ ٱلۡمَكۡنُونِ,Sanki (sədəf içində) qorunub-saxlanmış mirvariyə bənzər (hurilər).,
56,24,جَزَآءَۢ بِمَا كَانُواْ يَعۡمَلُونَ,"(Bu, onlara) etdikləri əməllərin mükafatı olaraq (veriləcəkdir).",
56,25,لَا يَسۡمَعُونَ فِيهَا لَغۡوٗا وَلَا تَأۡثِيمًا,"Onlar orada nə boş söz, nə də günaha səbəb olan söhbət eşidəcəklər.",
56,26,إِلَّا قِيلٗا سَلَٰمٗا سَلَٰمٗا,Yalnız: “Salam! Salam!”– sözləri (eşidəcəklər).,
56,27,وَأَصۡحَٰبُ ٱلۡيَمِينِ مَآ أَصۡحَٰبُ ٱلۡيَمِينِ,Sağ tərəf sahibləri. Nə xoşbəxtdir sağ tərəf sahibləri!,
56,28,فِي سِدۡرٖ مَّخۡضُودٖ,"(Onlar) tikansız sidr ağacları,",
56,29,وَطَلۡحٖ مَّنضُودٖ,"meyvələri salxım-salxım asılmış banan ağacları altında,",
56,30,وَظِلّٖ مَّمۡدُودٖ,"daimi kölgədə,",
56,31,وَمَآءٖ مَّسۡكُوبٖ,"daim axan su (kənarında),",
56,32,وَفَٰكِهَةٖ كَثِيرَةٖ,çoxlu meyvələr –,
56,33,لَّا مَقۡطُوعَةٖ وَلَا مَمۡنُوعَةٖ,tükənməyən və qadağan edilməyən (meyvələr içində),
56,34,وَفُرُشٖ مَّرۡفُوعَةٍ,və hündür döşəklər üstündə (olacaqlar).,
56,35,إِنَّآ أَنشَأۡنَٰهُنَّ إِنشَآءٗ,Biz onları (huriləri) yeni bir biçimdə yaratdıq.,
56,36,فَجَعَلۡنَٰهُنَّ أَبۡكَارًا,Biz onları bakirə qızlar etdik –,
56,37,عُرُبًا أَتۡرَابٗا,"ərlərini sevən, həmyaşıdlar.",
56,38,لِّأَصۡحَٰبِ ٱلۡيَمِينِ,(Bunlar) sağ tərəf sahibləri üçündür.,
56,39,ثُلَّةٞ مِّنَ ٱلۡأَوَّلِينَ,"Onların bir qismi əvvəlkilərdən,",
56,40,وَثُلَّةٞ مِّنَ ٱلۡأٓخِرِينَ,bir qismi də axırıncılardandır.,
56,41,وَأَصۡحَٰبُ ٱلشِّمَالِ مَآ أَصۡحَٰبُ ٱلشِّمَالِ,Sol tərəf sahibləri. Nə bədbəxtdir sol tərəf sahibləri!,
56,42,فِي سَمُومٖ وَحَمِيمٖ,"Onlar qızmar yel və qaynar su içində,",
56,43,وَظِلّٖ مِّن يَحۡمُومٖ,qapqara duman kölgəsində olacaqlar.,
56,44,لَّا بَارِدٖ وَلَا كَرِيمٍ,"(Bu duman) nə sərin, nə də xoşagələndir.",
56,45,إِنَّهُمۡ كَانُواْ قَبۡلَ ذَٰلِكَ مُتۡرَفِينَ,"Onlar bundan əvvəl (dünyada) cah-calal içində idilər,",
56,46,وَكَانُواْ يُصِرُّونَ عَلَى ٱلۡحِنثِ ٱلۡعَظِيمِ,böyük günah işləməkdə (Allaha şərik qoşmaqda) israr edirdilər,
56,47,وَكَانُواْ يَقُولُونَ أَئِذَا مِتۡنَا وَكُنَّا تُرَابٗا وَعِظَٰمًا أَءِنَّا لَمَبۡعُوثُونَ,və deyirdilər: “Məgər biz ölüb torpaq və sür-sümük olduqdan sonra yenidən dirildiləcəyik?,
56,48,أَوَءَابَآؤُنَا ٱلۡأَوَّلُونَ,Yaxud əvvəlki atalarımızda (dirildiləcəklərmi)?!”,
56,49,قُلۡ إِنَّ ٱلۡأَوَّلِينَ وَٱلۡأٓخِرِينَ,"(Ey Peyğəmbər!) De: “Şübhəsiz ki, əvvəlkilər də, sonrakılar da,",
56,50,لَمَجۡمُوعُونَ إِلَىٰ مِيقَٰتِ يَوۡمٖ مَّعۡلُومٖ,bəlli bir günün (Qiyamət gününün) müəyyən vaxtında mütləq cəm ediləcəklər.,
56,51,ثُمَّ إِنَّكُمۡ أَيُّهَا ٱلضَّآلُّونَ ٱلۡمُكَذِّبُونَ,"Sonra, siz ey (doğru yoldan) azanlar, (haqqı) yalan sayanlar!",
56,52,لَأٓكِلُونَ مِن شَجَرٖ مِّن زَقُّومٖ,"Siz mütləq zəqqum ağacından yeyəcəksiniz,",
