surah,ayah,arabic_text,translation,footnotes
32,1,الٓمٓ,Elif-lam-mim. ,
32,2,تَنزِيلُ ٱلۡكِتَٰبِ لَا رَيۡبَ فِيهِ مِن رَّبِّ ٱلۡعَٰلَمِينَ,"Objavljivanje Knjige, u koju nema sumnje, od Gospodara je svjetova. ",
32,3,أَمۡ يَقُولُونَ ٱفۡتَرَىٰهُۚ بَلۡ هُوَ ٱلۡحَقُّ مِن رَّبِّكَ لِتُنذِرَ قَوۡمٗا مَّآ أَتَىٰهُم مِّن نَّذِيرٖ مِّن قَبۡلِكَ لَعَلَّهُمۡ يَهۡتَدُونَ,"Međutim, oni govore: ""On je izmišlja!"" Naprotiv, ona je Istina od Gospodara tvoga da upozoravaš narod kojem prije tebe nije došao nikakav upozoritelj, da bi se oni naputili.",
32,4,ٱللَّهُ ٱلَّذِي خَلَقَ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضَ وَمَا بَيۡنَهُمَا فِي سِتَّةِ أَيَّامٖ ثُمَّ ٱسۡتَوَىٰ عَلَى ٱلۡعَرۡشِۖ مَا لَكُم مِّن دُونِهِۦ مِن وَلِيّٖ وَلَا شَفِيعٍۚ أَفَلَا تَتَذَكَّرُونَ,"Allah je nebesa i Zemlju i ono što je između njih u šest dana stvorio, a zatim se nad Aršom uzvisio; vi, osim Njega, ni zaštitnika ni zauzimatelja nemate, pa zašto se ne prisjećate i pouku ne uzmete?!",
32,5,يُدَبِّرُ ٱلۡأَمۡرَ مِنَ ٱلسَّمَآءِ إِلَى ٱلۡأَرۡضِ ثُمَّ يَعۡرُجُ إِلَيۡهِ فِي يَوۡمٖ كَانَ مِقۡدَارُهُۥٓ أَلۡفَ سَنَةٖ مِّمَّا تَعُدُّونَ,"On uređuje i sprovodi odredbu Svoju, od neba do Zemlje, a onda se to k Njemu penje u Danu koji hiljadu godina traje, prema vašem računanju vremena.",
32,6,ذَٰلِكَ عَٰلِمُ ٱلۡغَيۡبِ وَٱلشَّهَٰدَةِ ٱلۡعَزِيزُ ٱلرَّحِيمُ,"To je Onaj Koji zna i ono što je čulima nedokučivo, a i ono što je pojavno, Silni i Milostivi. ",
32,7,ٱلَّذِيٓ أَحۡسَنَ كُلَّ شَيۡءٍ خَلَقَهُۥۖ وَبَدَأَ خَلۡقَ ٱلۡإِنسَٰنِ مِن طِينٖ,"Koji je sve što je stvorio skladnim učinio, a stvaranje čovjeka od gline je započeo,",
32,8,ثُمَّ جَعَلَ نَسۡلَهُۥ مِن سُلَٰلَةٖ مِّن مَّآءٖ مَّهِينٖ,"a onda je učinio da potomstvo njegovo od uzorka, beznačajne tekućine nastaje,",
32,9,ثُمَّ سَوَّىٰهُ وَنَفَخَ فِيهِ مِن رُّوحِهِۦۖ وَجَعَلَ لَكُمُ ٱلسَّمۡعَ وَٱلۡأَبۡصَٰرَ وَٱلۡأَفۡـِٔدَةَۚ قَلِيلٗا مَّا تَشۡكُرُونَ,"zatim ga skladno uobličuje i u njega Svoga duha udahnjuje,  i On vam je sluh i vid i razum dao, a kako vi malo zahvaljujete!",
32,10,وَقَالُوٓاْ أَءِذَا ضَلَلۡنَا فِي ٱلۡأَرۡضِ أَءِنَّا لَفِي خَلۡقٖ جَدِيدِۭۚ بَلۡ هُم بِلِقَآءِ رَبِّهِمۡ كَٰفِرُونَ,"Oni govore: ""Zar ćemo, kad nestanemo pod zemljom, ponovo stvoreni biti"" Štaviše, oni susret s Gospodarom svojim poriču.",
32,11,۞ قُلۡ يَتَوَفَّىٰكُم مَّلَكُ ٱلۡمَوۡتِ ٱلَّذِي وُكِّلَ بِكُمۡ ثُمَّ إِلَىٰ رَبِّكُمۡ تُرۡجَعُونَ,"Reci: ""Melek smrti, koji je za vas zadužen, duše će vam uzeti, a poslije ćete Gospodaru svome vraćeni biti.""",
32,12,وَلَوۡ تَرَىٰٓ إِذِ ٱلۡمُجۡرِمُونَ نَاكِسُواْ رُءُوسِهِمۡ عِندَ رَبِّهِمۡ رَبَّنَآ أَبۡصَرۡنَا وَسَمِعۡنَا فَٱرۡجِعۡنَا نَعۡمَلۡ صَٰلِحًا إِنَّا مُوقِنُونَ,"A da ti je vidjeti kako će prestupnici, oborenih glava, pred Gospodarom svojim biti: ""Gospodaru naš, vidjeli smo i čuli smo, pa nas vrati da dobra djela činimo; mi doista, čvrsto vjerujemo?""",
32,13,وَلَوۡ شِئۡنَا لَأٓتَيۡنَا كُلَّ نَفۡسٍ هُدَىٰهَا وَلَٰكِنۡ حَقَّ ٱلۡقَوۡلُ مِنِّي لَأَمۡلَأَنَّ جَهَنَّمَ مِنَ ٱلۡجِنَّةِ وَٱلنَّاسِ أَجۡمَعِينَ,"A kad bismo htjeli, svakom čovjeku bismo Uputu dali, ali obistinile su se Moje riječi: ""Napunit ću, zaista, Džehennem džinima i ljudima zajedno!"" ",
32,14,فَذُوقُواْ بِمَا نَسِيتُمۡ لِقَآءَ يَوۡمِكُمۡ هَٰذَآ إِنَّا نَسِينَٰكُمۡۖ وَذُوقُواْ عَذَابَ ٱلۡخُلۡدِ بِمَا كُنتُمۡ تَعۡمَلُونَ,Pa iskusite patnju zato što ste zaboravljali da ćete ovaj Dan doživjeti - i Mi ćemo vas zaboraviti - i vječnu patnju iskusite zbog onoga što ste radili. ,
32,15,إِنَّمَا يُؤۡمِنُ بِـَٔايَٰتِنَا ٱلَّذِينَ إِذَا ذُكِّرُواْ بِهَا خَرُّواْۤ سُجَّدٗاۤ وَسَبَّحُواْ بِحَمۡدِ رَبِّهِمۡ وَهُمۡ لَا يَسۡتَكۡبِرُونَ۩,"U Naše riječi vjeruju samo oni koji, kad njima budu opomenuti, licem na tlo padaju, i koji Gospodara svoga veličaju i hvale i koji se ne ohole. ",
32,16,تَتَجَافَىٰ جُنُوبُهُمۡ عَنِ ٱلۡمَضَاجِعِ يَدۡعُونَ رَبَّهُمۡ خَوۡفٗا وَطَمَعٗا وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"Podižu se bokovi njihovi iz postelja i mole svoga Gospodara iz straha i želje, a dio onog što im Mi dajemo udjeljuju. ",
32,17,فَلَا تَعۡلَمُ نَفۡسٞ مَّآ أُخۡفِيَ لَهُم مِّن قُرَّةِ أَعۡيُنٖ جَزَآءَۢ بِمَا كَانُواْ يَعۡمَلُونَ,"I niko ne zna šta je za njih skriveno, a što će oči njihove obradovati, kao nagrada za ono što su činili.",
32,18,أَفَمَن كَانَ مُؤۡمِنٗا كَمَن كَانَ فَاسِقٗاۚ لَّا يَسۡتَوُۥنَ,"Zar da isti budu vjernik i onaj ko je buntovan?! Ne, oni nisu jednaki! ",
32,19,أَمَّا ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ فَلَهُمۡ جَنَّٰتُ ٱلۡمَأۡوَىٰ نُزُلَۢا بِمَا كَانُواْ يَعۡمَلُونَ,"One koji su vjerovali i dobra djela činili - čekaju džennetske bašče u kojima će boraviti, kao nagrada za ono što su radili. ",
32,20,وَأَمَّا ٱلَّذِينَ فَسَقُواْ فَمَأۡوَىٰهُمُ ٱلنَّارُۖ كُلَّمَآ أَرَادُوٓاْ أَن يَخۡرُجُواْ مِنۡهَآ أُعِيدُواْ فِيهَا وَقِيلَ لَهُمۡ ذُوقُواْ عَذَابَ ٱلنَّارِ ٱلَّذِي كُنتُم بِهِۦ تُكَذِّبُونَ,"A one koji su bili buntovni - čeka Vatra, u kojoj će prebivati; kad god pokušaju da iz nje iziđu, bit će u nju vraćeni i bit će im rečeno: ""Iskusite kaznu u Vatri koju ste poricali!"" ",
32,21,وَلَنُذِيقَنَّهُم مِّنَ ٱلۡعَذَابِ ٱلۡأَدۡنَىٰ دُونَ ٱلۡعَذَابِ ٱلۡأَكۡبَرِ لَعَلَّهُمۡ يَرۡجِعُونَ,"A mi ćemo, doista, dati da iskuse patnju manju prije patnje velike, ne bi li se oni povratili.",
32,22,وَمَنۡ أَظۡلَمُ مِمَّن ذُكِّرَ بِـَٔايَٰتِ رَبِّهِۦ ثُمَّ أَعۡرَضَ عَنۡهَآۚ إِنَّا مِنَ ٱلۡمُجۡرِمِينَ مُنتَقِمُونَ,"Ima li većega zulumćara od onoga koji je opomenut ajetima i znacima svoga Gospodara, pa se potom okreće od njih?! Mi ćemo, zaista, kazniti prestupnike! ",
32,23,وَلَقَدۡ ءَاتَيۡنَا مُوسَى ٱلۡكِتَٰبَ فَلَا تَكُن فِي مِرۡيَةٖ مِّن لِّقَآئِهِۦۖ وَجَعَلۡنَٰهُ هُدٗى لِّبَنِيٓ إِسۡرَٰٓءِيلَ,Musau smo Mi Knjigu dali - pa ne sumnjaj nimalo u susret s njim - i uputom je sinovima Israilovim učinili. ,
32,24,وَجَعَلۡنَا مِنۡهُمۡ أَئِمَّةٗ يَهۡدُونَ بِأَمۡرِنَا لَمَّا صَبَرُواْۖ وَكَانُواْ بِـَٔايَٰتِنَا يُوقِنُونَ,"Između njih Mi smo vođe određivali i oni su, odazivajući se zapovijedi Našoj, na Pravi put upućivali, jer su strpljivi bili i u ajete i znakove Naše čvrsto vjerovali. ",
32,25,إِنَّ رَبَّكَ هُوَ يَفۡصِلُ بَيۡنَهُمۡ يَوۡمَ ٱلۡقِيَٰمَةِ فِيمَا كَانُواْ فِيهِ يَخۡتَلِفُونَ,Zaista će Gospodar tvoj - baš On - među njima na Kijametskom danu presuditi o onome u čemu su se razilazili.,
