surah,ayah,arabic_text,translation,footnotes
1,1,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"U ime Allaha, Milostivog, Samilosnog!",
1,2,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,"Sva hvala pripada Allahu, Gospodaru svih svjetova,",
1,3,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"Milostivom, Samilosnom,",
1,4,مَٰلِكِ يَوۡمِ ٱلدِّينِ,Vladaru Dana sudnjeg.,
1,5,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,Samo Tebe obožavamo i samo od Tebe pomoć tražimo!,
1,6,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,"Uputi nas na Pravi put,",
1,7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"na put onih kojima si blagodati Svoje darovao, a ne na put onih na koje si se rasrdio, niti onih koji su zalutali!",
2,1,الٓمٓ,Elif-Lām-Mīm. [1],"[1] Ovo su harfovi (slova) kojima počinju neke kur’anske sure. Putem ovih harfova ukazuje se na nadnaravnost Kur'ana i izazov mnogobošcima da načine nešto slično Kur'anu, što oni nisu bili u stanju učiniti. Iako se on sastoji od ovih harfova koji se koriste u arapskom jeziku, a koji su oni najbolje poznavali, ipak nisu mogli načiniti nešto slično Kur'anu, što dovodi do zaključka da se radi o Objavi od Allaha."
2,2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,"Ova Knjiga, u koju nema sumnje, uputa je bogobojaznima;",
2,3,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"onima koji u svijet nevidljivi vjeruju i koji namaz obavljaju i dijele od onoga čime smo ih Mi opskrbili,",
2,4,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,"i onima koji vjeruju u ono što je objavljeno tebi i što je objavljeno prije tebe, i koji u onaj svijet čvrsto vjeruju.",
2,5,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,Njima je Gospodar njihov na Pravi put ukazao i to su oni koji su uspjeli.,
2,6,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,"Onima koji ne vjeruju doista je svejedno upozoravao ti njih ili ne upozoravao, oni ne vjeruju.",
2,7,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ,"Allah je zapečatio srca njihova i uši njihove, a pred očima njihovim je koprena; njih čeka patnja golema.",
2,8,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ,"Ima ljudi koji govore: ""Vjerujemo u Allaha i Posljednji dan"", a oni nisu vjernici!",
2,9,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ,"Oni misle da varaju Allaha i one koji vjeruju, a nikog osim sebe oni ne varaju, ali ne osjećaju.",
2,10,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ,U srcima njihovim je bolest i Allah im povećava bolest; njih čeka patnja bolna zbog toga što su lagali.,
2,11,وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ,"Kada im se kaže: ""Ne pravite nered na Zemlji!"", odgovaraju: ""Mi samo red uspostavljamo!""",
2,12,أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ,"Naprotiv! Oni su, uistinu, pravi smutljivci, ali to ne opažaju.",
2,13,وَإِذَا قِيلَ لَهُمۡ ءَامِنُواْ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓاْ أَنُؤۡمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُۗ أَلَآ إِنَّهُمۡ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعۡلَمُونَ,"Kada im se kaže: ""Vjerujte kao što ovi ljudi vjeruju!"", oni odgovaraju: ""Zar da vjerujemo kao što maloumnici vjeruju!?"" A doista su oni maloumnici, ali to oni ne znaju!",
