surah,ayah,arabic_text,translation,footnotes
84,1,إِذَا ٱلسَّمَآءُ ٱنشَقَّتۡ,"Kada se nebo rascijepi,",
84,2,وَأَذِنَتۡ لِرَبِّهَا وَحُقَّتۡ,"i posluša Gospodara svoga, a ono će to dužno biti,",
84,3,وَإِذَا ٱلۡأَرۡضُ مُدَّتۡ,"i kada Zemlja bude rastegnuta,",
84,4,وَأَلۡقَتۡ مَا فِيهَا وَتَخَلَّتۡ,"i izbaci ono što je u njoj, i potpuno se isprazni,",
84,5,وَأَذِنَتۡ لِرَبِّهَا وَحُقَّتۡ,"i posluša Gospodara svoga, a ona će to dužna biti.",
84,6,يَٰٓأَيُّهَا ٱلۡإِنسَٰنُ إِنَّكَ كَادِحٌ إِلَىٰ رَبِّكَ كَدۡحٗا فَمُلَٰقِيهِ,"O čovječe, ti se trudiš idući svome Gospodaru, pa ćeš svoj trud naći.",
84,7,فَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ بِيَمِينِهِۦ,"Onaj kome bude knjiga njegova u desnu ruku njegovu data,",
84,8,فَسَوۡفَ يُحَاسَبُ حِسَابٗا يَسِيرٗا,na lahak obračun naići će,
84,9,وَيَنقَلِبُ إِلَىٰٓ أَهۡلِهِۦ مَسۡرُورٗا,i svojima će se radostan vratiti;,
84,10,وَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ وَرَآءَ ظَهۡرِهِۦ,"a onaj kome bude knjiga njegova iza leđa njegovih data,",
84,11,فَسَوۡفَ يَدۡعُواْ ثُبُورٗا,"propast će prizivati,",
84,12,وَيَصۡلَىٰ سَعِيرًا,i u Ognju će gorjeti.,
84,13,إِنَّهُۥ كَانَ فِيٓ أَهۡلِهِۦ مَسۡرُورًا,"Zaista je on sa porodicom svojom radostan bio,",
84,14,إِنَّهُۥ ظَنَّ أَن لَّن يَحُورَ,"i mislio da se nikada neće vratiti,",
84,15,بَلَىٰٓۚ إِنَّ رَبَّهُۥ كَانَ بِهِۦ بَصِيرٗا,"a hoće! Gospodar njegov o njemu, zaista, sve zna!",
84,16,فَلَآ أُقۡسِمُ بِٱلشَّفَقِ,"Ali, ne! Kunem se rumenilom večernjim,",
84,17,وَٱلَّيۡلِ وَمَا وَسَقَ,"i noći, i onim što ona sakuplja",
84,18,وَٱلۡقَمَرِ إِذَا ٱتَّسَقَ,"i Mjesecom kada se ispuni,",
84,19,لَتَرۡكَبُنَّ طَبَقًا عَن طَبَقٖ,"vi ćete, sigurno, iz stanja u stanje prelaziti!",
84,20,فَمَا لَهُمۡ لَا يُؤۡمِنُونَ,"Pa šta im je, da ne vjeruju",
84,21,وَإِذَا قُرِئَ عَلَيۡهِمُ ٱلۡقُرۡءَانُ لَا يَسۡجُدُونَۤ۩,i kad im se Kur’an uči na tlo licem ne padaju?!,
84,22,بَلِ ٱلَّذِينَ كَفَرُواْ يُكَذِّبُونَ,"Naprotiv, oni koji ne vjeruju poriču,",
84,23,وَٱللَّهُ أَعۡلَمُ بِمَا يُوعُونَ,"a Allah najbolje zna šta oni u sebi kriju,",
84,24,فَبَشِّرۡهُم بِعَذَابٍ أَلِيمٍ,zato im navijesti patnju bolnu!,
84,25,إِلَّا ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُمۡ أَجۡرٌ غَيۡرُ مَمۡنُونِۭ,"A oni koji budu vjerovali i dobra djela činili, imat će nagradu neprekidnu.",
