surah,ayah,arabic_text,translation,footnotes
55,1,ٱلرَّحۡمَٰنُ,Der Allerbarmer,
55,2,عَلَّمَ ٱلۡقُرۡءَانَ,hat den Qur’an gelehrt.,
55,3,خَلَقَ ٱلۡإِنسَٰنَ,Er hat den Menschen erschaffen.,
55,4,عَلَّمَهُ ٱلۡبَيَانَ,Er hat ihn die klare Darlegung gelehrt.,
55,5,ٱلشَّمۡسُ وَٱلۡقَمَرُ بِحُسۡبَانٖ,Die Sonne und der Mond (laufen) nach Berechnung.,
55,6,وَٱلنَّجۡمُ وَٱلشَّجَرُ يَسۡجُدَانِ,Die stiellosen Pflanzen und die Bäume werfen sich nieder.,
55,7,وَٱلسَّمَآءَ رَفَعَهَا وَوَضَعَ ٱلۡمِيزَانَ,"Den Himmel hat Er emporgehoben und die Waage aufgestellt,",
55,8,أَلَّا تَطۡغَوۡاْ فِي ٱلۡمِيزَانِ,damit ihr beim Wägen nicht das Maß überschreitet.,
55,9,وَأَقِيمُواْ ٱلۡوَزۡنَ بِٱلۡقِسۡطِ وَلَا تُخۡسِرُواْ ٱلۡمِيزَانَ,Und meßt das Gewicht in Gerechtigkeit und gebt beim Wägen nicht weniger.,
55,10,وَٱلۡأَرۡضَ وَضَعَهَا لِلۡأَنَامِ,Und die Erde hat Er für die Geschöpfe (an)gelegt;,
55,11,فِيهَا فَٰكِهَةٞ وَٱلنَّخۡلُ ذَاتُ ٱلۡأَكۡمَامِ,"auf ihr gibt es Früchte, Palmen mit Fruchthüllen",
55,12,وَٱلۡحَبُّ ذُو ٱلۡعَصۡفِ وَٱلرَّيۡحَانُ,und Korn mit Halmen und duftende Pflanzen.,
55,13,فَبِأَيِّ ءَالَآءِ رَبِّكُمَا تُكَذِّبَانِ,Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?,
55,14,خَلَقَ ٱلۡإِنسَٰنَ مِن صَلۡصَٰلٖ كَٱلۡفَخَّارِ,Er hat den Menschen aus trockenem Ton wie Töpferware erschaffen.,
55,15,وَخَلَقَ ٱلۡجَآنَّ مِن مَّارِجٖ مِّن نَّارٖ,Und Er hat die Ginn aus einer unruhigen Feuerflamme erschaffen.,
55,16,فَبِأَيِّ ءَالَآءِ رَبِّكُمَا تُكَذِّبَانِ,Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?,
55,17,رَبُّ ٱلۡمَشۡرِقَيۡنِ وَرَبُّ ٱلۡمَغۡرِبَيۡنِ,(Er ist) der Herr der beiden Osten und der Herr der beiden Westen.,
55,18,فَبِأَيِّ ءَالَآءِ رَبِّكُمَا تُكَذِّبَانِ,Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?,
55,19,مَرَجَ ٱلۡبَحۡرَيۡنِ يَلۡتَقِيَانِ,"Er hat den beiden Meeren freien Lauf gelassen; sie treffen aufeinander,",
55,20,بَيۡنَهُمَا بَرۡزَخٞ لَّا يَبۡغِيَانِ,"zwischen ihnen ist (aber) ein trennendes Hindernis, (das)s sie (ihre Grenzen) nicht überschreiten.",
55,21,فَبِأَيِّ ءَالَآءِ رَبِّكُمَا تُكَذِّبَانِ,Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?,
55,22,يَخۡرُجُ مِنۡهُمَا ٱللُّؤۡلُؤُ وَٱلۡمَرۡجَانُ,Aus ihnen beiden kommen Perlen und Korallen hervor.,
55,23,فَبِأَيِّ ءَالَآءِ رَبِّكُمَا تُكَذِّبَانِ,Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen? ,
