surah,ayah,arabic_text,translation,footnotes
78,1,عَمَّ يَتَسَآءَلُونَ,1. What are they asking (one another) about?,
78,2,عَنِ ٱلنَّبَإِ ٱلۡعَظِيمِ," 2. About the great news, (i.e. Islâmic Monotheism, the Qur’ân, which Prophet Muhammad صلى الله عليه وسلم brought and the Day of Resurrection)",
78,3,ٱلَّذِي هُمۡ فِيهِ مُخۡتَلِفُونَ, 3. About which they are in disagreement.,
78,4,كَلَّا سَيَعۡلَمُونَ," 4. Nay, they will come to know!",
78,5,ثُمَّ كَلَّا سَيَعۡلَمُونَ," 5. Nay, again, they will come to know!",
78,6,أَلَمۡ نَجۡعَلِ ٱلۡأَرۡضَ مِهَٰدٗا," 6. Have We not made the earth as a bed,",
78,7,وَٱلۡجِبَالَ أَوۡتَادٗا, 7. And the mountains as pegs?,
78,8,وَخَلَقۡنَٰكُمۡ أَزۡوَٰجٗا," 8. And We have created you in pairs (male and female, tall and short, good and bad, etc.).",
78,9,وَجَعَلۡنَا نَوۡمَكُمۡ سُبَاتٗا, 9. And We have made your sleep as a thing for rest.,
78,10,وَجَعَلۡنَا ٱلَّيۡلَ لِبَاسٗا," 10. And We have made the night as a covering (through its darkness),",
78,11,وَجَعَلۡنَا ٱلنَّهَارَ مَعَاشٗا, 11. And We have made the day for livelihood.,
78,12,وَبَنَيۡنَا فَوۡقَكُمۡ سَبۡعٗا شِدَادٗا," 12. And We have built above you seven strong (heavens),",
78,13,وَجَعَلۡنَا سِرَاجٗا وَهَّاجٗا, 13. And We have made (therein) a shining lamp (sun).,
78,14,وَأَنزَلۡنَا مِنَ ٱلۡمُعۡصِرَٰتِ مَآءٗ ثَجَّاجٗا, 14. And We have sent down from the rainy clouds abundant water.,
78,15,لِّنُخۡرِجَ بِهِۦ حَبّٗا وَنَبَاتٗا," 15. That We may produce therewith corn and vegetations,",
78,16,وَجَنَّٰتٍ أَلۡفَافًا, 16. And gardens of thick growth.,
78,17,إِنَّ يَوۡمَ ٱلۡفَصۡلِ كَانَ مِيقَٰتٗا," 17. Verily, the Day of Decision is a fixed time,",
78,18,يَوۡمَ يُنفَخُ فِي ٱلصُّورِ فَتَأۡتُونَ أَفۡوَاجٗا," 18. The Day when the Trumpet will be blown, and you shall come forth in crowds (groups after groups). [Tafsir At-Tabari]",
78,19,وَفُتِحَتِ ٱلسَّمَآءُ فَكَانَتۡ أَبۡوَٰبٗا," 19. And the heaven shall be opened, and it will become as gates,",
78,20,وَسُيِّرَتِ ٱلۡجِبَالُ فَكَانَتۡ سَرَابًا, 20. And the mountains shall be moved away from their places and they will be as if they were a mirage.,
78,21,إِنَّ جَهَنَّمَ كَانَتۡ مِرۡصَادٗا," 21. Truly, Hell is a place of ambush -",
78,22,لِّلطَّٰغِينَ مَـَٔابٗا," 22. A dwelling place for the Tâghûn (those who transgress the boundary limits set by Allâh like polytheists, disbelievers in the Oneness of Allâh, hyprocrites, sinners, criminals),",
78,23,لَّٰبِثِينَ فِيهَآ أَحۡقَابٗا, 23. They will abide therein for ages.,
78,24,لَّا يَذُوقُونَ فِيهَا بَرۡدٗا وَلَا شَرَابًا," 24. Nothing cool shall they taste therein, nor any drink.",
78,25,إِلَّا حَمِيمٗا وَغَسَّاقٗا," 25. Except boiling water, and dirty wound discharges -",
78,26,جَزَآءٗ وِفَاقًا, 26. An exact recompense (according to their evil crimes).,
78,27,إِنَّهُمۡ كَانُواْ لَا يَرۡجُونَ حِسَابٗا," 27. For verily, they used not to look for a reckoning.",
78,28,وَكَذَّبُواْ بِـَٔايَٰتِنَا كِذَّابٗا," 28. But they belied Our Ayât (proofs, evidence, verses, lessons, signs, revelations, and that which Our Prophet صلى الله عليه وسلم brought) completely.",
78,29,وَكُلَّ شَيۡءٍ أَحۡصَيۡنَٰهُ كِتَٰبٗا, 29. And all things We have recorded in a Book.,
78,30,فَذُوقُواْ فَلَن نَّزِيدَكُمۡ إِلَّا عَذَابًا," 30. So taste you (the results of your evil actions). No increase shall We give you, except in torment.",
78,31,إِنَّ لِلۡمُتَّقِينَ مَفَازًا," 31. Verily, for the Muttaqûn,[1] there will be a success (Paradise);",(V.78:31) Muttaqûn: means pious believer of Islamic Monotheism who fear Allâh much (abstain from all kinds of sins and evil deeds which He has forbidden) and love Allâh much (perform all kinds of good deeds which He has ordained).
78,32,حَدَآئِقَ وَأَعۡنَٰبٗا," 32. Gardens and vineyards,",
78,33,وَكَوَاعِبَ أَتۡرَابٗا," 33. And young full-breasted (mature) maidens of equal age,",
78,34,وَكَأۡسٗا دِهَاقٗا, 34. And a full cup (of wine).,
78,35,لَّا يَسۡمَعُونَ فِيهَا لَغۡوٗا وَلَا كِذَّٰبٗا," 35. No Laghw (dirty, false, evil talk) shall they hear therein, nor lying;",
