surah,ayah,arabic_text,translation,footnotes
100,1,وَٱلۡعَٰدِيَٰتِ ضَبۡحٗا,"By the galloping, panting horses[1],","[1] i.e., those horses that fight for the cause of Allah as they race to attack the enemy."
100,2,فَٱلۡمُورِيَٰتِ قَدۡحٗا,"striking sparks of fire [with their hooves][2],",[2] While galloping over rocky terrain.
100,3,فَٱلۡمُغِيرَٰتِ صُبۡحٗا,"launching raids at dawn[3],",[3] While the enemy is unaware of their raid.
100,4,فَأَثَرۡنَ بِهِۦ نَقۡعٗا,"stirring up thereby clouds of dust,",
100,5,فَوَسَطۡنَ بِهِۦ جَمۡعًا,"plunging thereby into the midst of the enemy[4],","[4] i.e., penetrating into the ranks of the enemy as a surprise attack."
100,6,إِنَّ ٱلۡإِنسَٰنَ لِرَبِّهِۦ لَكَنُودٞ,"indeed, man is very ungrateful to his Lord[5] –",[5] disobeying Him by not spending in the cause of Allah from what He has given him and commanded him to spend accordingly.
100,7,وَإِنَّهُۥ عَلَىٰ ذَٰلِكَ لَشَهِيدٞ,and he himself is a witness to that[6] –,[6] By his words and actions.
100,8,وَإِنَّهُۥ لِحُبِّ ٱلۡخَيۡرِ لَشَدِيدٌ,and he is truly extreme in his love of wealth.,
100,9,۞ أَفَلَا يَعۡلَمُ إِذَا بُعۡثِرَ مَا فِي ٱلۡقُبُورِ,"Does he not know that when the contents of graves will be overturned,",
100,10,وَحُصِّلَ مَا فِي ٱلصُّدُورِ,and the secrets of the hearts will be brought to light[7]?,"[7] i.e., when all secrets of the hearts and faiths are made known."
100,11,إِنَّ رَبَّهُم بِهِمۡ يَوۡمَئِذٖ لَّخَبِيرُۢ,"Indeed, their Lord is All-Aware of them on that Day[8].",[8] Nothing of their affairs will be hidden from Him.
