surah,ayah,arabic_text,translation,footnotes
15,1,الٓرۚ تِلۡكَ ءَايَٰتُ ٱلۡكِتَٰبِ وَقُرۡءَانٖ مُّبِينٖ,"(1) Alif, Lām, Rā.[668] These are the verses of the Book and a clear Qur’ān [i.e., recitation].",[668]- See footnote to 2:1.
15,2,رُّبَمَا يَوَدُّ ٱلَّذِينَ كَفَرُواْ لَوۡ كَانُواْ مُسۡلِمِينَ,(2) Perhaps those who disbelieve will wish[669] that they had been Muslims.,[669]- On the Day of Judgement or at the time of death.
15,3,ذَرۡهُمۡ يَأۡكُلُواْ وَيَتَمَتَّعُواْ وَيُلۡهِهِمُ ٱلۡأَمَلُۖ فَسَوۡفَ يَعۡلَمُونَ,"(3) Let them eat and enjoy themselves and be diverted by [false] hope, for they are going to know.",
15,4,وَمَآ أَهۡلَكۡنَا مِن قَرۡيَةٍ إِلَّا وَلَهَا كِتَابٞ مَّعۡلُومٞ,(4) And We did not destroy any city but that for it was a known decree.,
15,5,مَّا تَسۡبِقُ مِنۡ أُمَّةٍ أَجَلَهَا وَمَا يَسۡتَـٔۡخِرُونَ,"(5) No nation will precede its term, nor will they remain thereafter.",
15,6,وَقَالُواْ يَٰٓأَيُّهَا ٱلَّذِي نُزِّلَ عَلَيۡهِ ٱلذِّكۡرُ إِنَّكَ لَمَجۡنُونٞ,"(6) And they say, ""O you upon whom the message has been sent down, indeed you are mad.[670]","[670]- Literally, ""possessed by jinn."""
15,7,لَّوۡمَا تَأۡتِينَا بِٱلۡمَلَٰٓئِكَةِ إِن كُنتَ مِنَ ٱلصَّٰدِقِينَ,"(7) Why do you not bring us the angels, if you should be among the truthful?""",
15,8,مَا نُنَزِّلُ ٱلۡمَلَٰٓئِكَةَ إِلَّا بِٱلۡحَقِّ وَمَا كَانُوٓاْ إِذٗا مُّنظَرِينَ,"(8) We do not send down the angels except with truth;[671] and they [i.e., the disbelievers] would not then be reprieved.","[671]- i.e., with a message or, as the conclusion of the verse suggests, to carry out a promised punishment."
15,9,إِنَّا نَحۡنُ نَزَّلۡنَا ٱلذِّكۡرَ وَإِنَّا لَهُۥ لَحَٰفِظُونَ,"(9) Indeed, it is We who sent down the message [i.e., the Qur’ān], and indeed, We will be its guardian.",
15,10,وَلَقَدۡ أَرۡسَلۡنَا مِن قَبۡلِكَ فِي شِيَعِ ٱلۡأَوَّلِينَ,"(10) And We had certainly sent [messengers] before you, [O Muḥammad], among the sects of the former peoples.",
15,11,وَمَا يَأۡتِيهِم مِّن رَّسُولٍ إِلَّا كَانُواْ بِهِۦ يَسۡتَهۡزِءُونَ,(11) And no messenger would come to them except that they ridiculed him.,
15,12,كَذَٰلِكَ نَسۡلُكُهُۥ فِي قُلُوبِ ٱلۡمُجۡرِمِينَ,"(12) Thus do We insert it [i.e., denial] into the hearts of the criminals.",
15,13,لَا يُؤۡمِنُونَ بِهِۦ وَقَدۡ خَلَتۡ سُنَّةُ ٱلۡأَوَّلِينَ,"(13) They will not believe in it, while there has already occurred the precedent of the former peoples.",
15,14,وَلَوۡ فَتَحۡنَا عَلَيۡهِم بَابٗا مِّنَ ٱلسَّمَآءِ فَظَلُّواْ فِيهِ يَعۡرُجُونَ,"(14) And [even] if We opened to them a gate from the heaven and they continued therein to ascend,",
15,15,لَقَالُوٓاْ إِنَّمَا سُكِّرَتۡ أَبۡصَٰرُنَا بَلۡ نَحۡنُ قَوۡمٞ مَّسۡحُورُونَ,"(15) They would say, ""Our eyes have only been dazzled. Rather, we are a people affected by magic.""",
15,16,وَلَقَدۡ جَعَلۡنَا فِي ٱلسَّمَآءِ بُرُوجٗا وَزَيَّنَّٰهَا لِلنَّٰظِرِينَ,(16) And We have placed within the heaven great stars and have beautified it for the observers.,
15,17,وَحَفِظۡنَٰهَا مِن كُلِّ شَيۡطَٰنٖ رَّجِيمٍ,(17) And We have protected it from every devil expelled [from the mercy of Allāh],
15,18,إِلَّا مَنِ ٱسۡتَرَقَ ٱلسَّمۡعَ فَأَتۡبَعَهُۥ شِهَابٞ مُّبِينٞ,(18) Except one who steals a hearing and is pursued by a clear burning flame.,
15,19,وَٱلۡأَرۡضَ مَدَدۡنَٰهَا وَأَلۡقَيۡنَا فِيهَا رَوَٰسِيَ وَأَنۢبَتۡنَا فِيهَا مِن كُلِّ شَيۡءٖ مَّوۡزُونٖ,(19) And the earth - We have spread it and cast therein firmly set mountains and caused to grow therein [something] of every well-balanced thing.,
15,20,وَجَعَلۡنَا لَكُمۡ فِيهَا مَعَٰيِشَ وَمَن لَّسۡتُمۡ لَهُۥ بِرَٰزِقِينَ,(20) And We have made for you therein means of living and [for] those for whom you are not providers.[672],[672]- Allāh has put at your service other men and animals for which He provides.  An additional meaning is that Allāh provides means for your living and for all other creatures as well.
15,21,وَإِن مِّن شَيۡءٍ إِلَّا عِندَنَا خَزَآئِنُهُۥ وَمَا نُنَزِّلُهُۥٓ إِلَّا بِقَدَرٖ مَّعۡلُومٖ,"(21) And there is not a thing but that with Us are its depositories, and We do not send it down except according to a known [i.e., specified] measure.",
15,22,وَأَرۡسَلۡنَا ٱلرِّيَٰحَ لَوَٰقِحَ فَأَنزَلۡنَا مِنَ ٱلسَّمَآءِ مَآءٗ فَأَسۡقَيۡنَٰكُمُوهُ وَمَآ أَنتُمۡ لَهُۥ بِخَٰزِنِينَ,(22) And We have sent the fertilizing winds[673] and sent down water from the sky and given you drink from it. And you are not its retainers.,"[673]- Causing precipitation in rainclouds or carrying pollen.  Another meaning is ""pregnant winds,"" i.e., those carrying rainclouds."
15,23,وَإِنَّا لَنَحۡنُ نُحۡيِۦ وَنُمِيتُ وَنَحۡنُ ٱلۡوَٰرِثُونَ,"(23) And indeed, it is We who give life and cause death, and We are the Inheritor.[674]",[674]- Allāh (subḥānahu wa taʿālā) remains after all creation has passed away.
15,24,وَلَقَدۡ عَلِمۡنَا ٱلۡمُسۡتَقۡدِمِينَ مِنكُمۡ وَلَقَدۡ عَلِمۡنَا ٱلۡمُسۡتَـٔۡخِرِينَ,"(24) And We have already known the preceding [generations] among you, and We have already known the later [ones to come].",
15,25,وَإِنَّ رَبَّكَ هُوَ يَحۡشُرُهُمۡۚ إِنَّهُۥ حَكِيمٌ عَلِيمٞ,"(25) And indeed, your Lord will gather them; indeed, He is Wise and Knowing.",
15,26,وَلَقَدۡ خَلَقۡنَا ٱلۡإِنسَٰنَ مِن صَلۡصَٰلٖ مِّنۡ حَمَإٖ مَّسۡنُونٖ,(26) And We did certainly create man out of clay from an altered black mud.,
15,27,وَٱلۡجَآنَّ خَلَقۡنَٰهُ مِن قَبۡلُ مِن نَّارِ ٱلسَّمُومِ,(27) And the jinn We created before from scorching fire.,
