surah,ayah,arabic_text,translation,footnotes
1,1,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"1. En el nombre de Dios[1], el Compasivo con toda la creación, el Misericordioso con los creyentes[2].","[1] Al-lahالله : Es un nombre propio exclusivo de Dios, el Único y Todopoderoso, Creador y Sustentador de los cielos y la Tierra y de todo lo que hay en ellos, el Eterno y Absoluto, el merecedor de toda forma de adoración. La forma de pronunciarlo es la siguiente: “Al-laj”, con la “jota andaluza” suave y aspirada, o la hache inglesa, enfatizando en la pronunciación de la “L”. Es sabido que cada idioma tiene uno o varios términos para referirse a Dios y, en ocasiones, para otras deidades. Éste no es el caso de “Al-lah”. “Al-lah” (del árabe al-ilah: el Dios) es el único nombre de Dios, no tiene género ni plural; por tanto, es un término que señala la unidad de lo designado. Cuando los contemporáneos del Profeta le preguntaron acerca de Dios, él recibió como revelación del capítulo 112, que resume la esencia del monoteísmo y unicidad de Dios: no ha engendrado, no ha sido engendrado, nada ni nadie es semejante a Él. El Islam rechaza cualquier intento de caracterizar a Dios, y menos aun tomando rasgos humanos que hagan prevalecer a una raza sobre las demás. [2] Ar-Rahman الرحمن y Ar-Rahim الرحيم son dos palabras derivadas del árabe rahma رحمة que significa misericordia. En la lengua árabe ambos tienen el significado superlativo de “Misericordiosísimo”. Mediante la cita de ambos nombres se intenta dar un significado más completo. Ar-Rahman, traducido como el Compasivo, implica un significado más amplio, que es misericordioso hacia toda la creación. La justicia es parte de esta compasión. Ar-Rahim, traducido como Misericordioso, incluye el concepto de especificidad, es decir, una forma especial de misericordia concedida solamente a los creyentes. El perdón es parte de esta misericordia."
1,2,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,"2. Todas las alabanzas son para Dios, Señor[1] de todo cuanto existe,","[1] Cuando se refiere a Dios, el término árabe Rabb – رب , traducido como “Señor”, incluye los significados de poseedor, amo, gobernante, controlador, sustentador, proveedor, guardián y cuidador."
1,3,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"3. el Compasivo, el Misericordioso.",
1,4,مَٰلِكِ يَوۡمِ ٱلدِّينِ,"4. Soberano absoluto del Día del Juicio Final,",
1,5,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,5. solo a Ti te adoramos y solo de Ti imploramos ayuda.,
1,6,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,6. ¡Guíanos por el camino recto!,
1,7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"7. El camino de los que has colmado con Tus favores, no el de los que han caído en Tu ira, ni el de los que se extraviaron.",
2,1,الٓمٓ,1. Álif. Lam. Mim[1].,"[1] Éstas son algunas de las catorce letras que aparecen en diversas combinaciones al comienzo de veintinueve capítulos del Corán. Si bien hay muchas interpretaciones en cuanto a su significado, el mismo no fue revelado por Dios y Él sabe más sobre su verdadero significado."
2,2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,"2. Este es el Libro del cual no hay duda, es guía para los que son conscientes de Dios y Le temen devocionalmente,",
2,3,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"3. los que creen en lo oculto, practican la oración, dan caridad de lo que les he provisto,",
