surah,ayah,arabic_text,translation,footnotes
77,1,وَٱلۡمُرۡسَلَٰتِ عُرۡفٗا,"1. Juro por los [ángeles] enviados uno tras de otro,",
77,2,فَٱلۡعَٰصِفَٰتِ عَصۡفٗا,"2. por los [ángeles] encargados de los vientos que soplan violentamente,",
77,3,وَٱلنَّٰشِرَٰتِ نَشۡرٗا,"3. por los [ángeles] que conducen y extienden las nubes,",
77,4,فَٱلۡفَٰرِقَٰتِ فَرۡقٗا,"4. por los [ángeles] que distinguen claramente,",
77,5,فَٱلۡمُلۡقِيَٰتِ ذِكۡرًا,5. por los [Profetas] que transmiten Mensajes,
77,6,عُذۡرًا أَوۡ نُذۡرًا,6. como aclaración o advertencia [para el Día del Juicio].,
77,7,إِنَّمَا تُوعَدُونَ لَوَٰقِعٞ,7. Tengan certeza de que aquello con que se les advierte se cumplirá,
77,8,فَإِذَا ٱلنُّجُومُ طُمِسَتۡ,"8. cuando las estrellas pierdan su luz,",
77,9,وَإِذَا ٱلسَّمَآءُ فُرِجَتۡ,"9. cuando el cielo se resquebraje,",
77,10,وَإِذَا ٱلۡجِبَالُ نُسِفَتۡ,10. cuando las montañas sean convertidas en polvo,
77,11,وَإِذَا ٱلرُّسُلُ أُقِّتَتۡ,11. y los Mensajeros sean convocados.,
77,12,لِأَيِّ يَوۡمٍ أُجِّلَتۡ,12. ¿Para qué día se los convocará?,
77,13,لِيَوۡمِ ٱلۡفَصۡلِ,13. Para el Día del Juicio.,
77,14,وَمَآ أَدۡرَىٰكَ مَا يَوۡمُ ٱلۡفَصۡلِ,14. ¿Y qué te hará comprender qué es el Día del Juicio?,
77,15,وَيۡلٞ يَوۡمَئِذٖ لِّلۡمُكَذِّبِينَ,15. ¡Cuán desdichados serán ese día los que negaron la verdad!,
77,16,أَلَمۡ نُهۡلِكِ ٱلۡأَوَّلِينَ,16. ¿Acaso no destruí otros pueblos antiguos [que rechazaron el Mensaje]?,
77,17,ثُمَّ نُتۡبِعُهُمُ ٱلۡأٓخِرِينَ,17. Luego les siguieron otros pueblos [de desmentidores].,
77,18,كَذَٰلِكَ نَفۡعَلُ بِٱلۡمُجۡرِمِينَ,18. Eso es lo que sucede a los pecadores.,
77,19,وَيۡلٞ يَوۡمَئِذٖ لِّلۡمُكَذِّبِينَ,19. ¡Cuán desdichados serán ese día los que negaron la verdad!,
77,20,أَلَمۡ نَخۡلُقكُّم مِّن مَّآءٖ مَّهِينٖ,20. ¿No los he creado de un líquido insignificante,
77,21,فَجَعَلۡنَٰهُ فِي قَرَارٖ مَّكِينٍ,21. que deposité en un lugar seguro [el útero],
77,22,إِلَىٰ قَدَرٖ مَّعۡلُومٖ,22. por un tiempo determinado?,
77,23,فَقَدَرۡنَا فَنِعۡمَ ٱلۡقَٰدِرُونَ,"23. Así lo he decretado, y Mi decreto es perfecto.",
77,24,وَيۡلٞ يَوۡمَئِذٖ لِّلۡمُكَذِّبِينَ,24. ¡Cuán desdichados serán ese día los que negaron la verdad!,
77,25,أَلَمۡ نَجۡعَلِ ٱلۡأَرۡضَ كِفَاتًا,25. ¿Acaso no he hecho de la tierra una morada,
77,26,أَحۡيَآءٗ وَأَمۡوَٰتٗا,"26. para los vivos y los muertos,",
77,27,وَجَعَلۡنَا فِيهَا رَوَٰسِيَ شَٰمِخَٰتٖ وَأَسۡقَيۡنَٰكُم مَّآءٗ فُرَاتٗا,27. y he puesto en ella montañas elevadas y firmes? ¿Acaso no les he dado de beber agua dulce?,
77,28,وَيۡلٞ يَوۡمَئِذٖ لِّلۡمُكَذِّبِينَ,28. ¡Cuán desdichados serán ese día los que negaron la verdad!,
77,29,ٱنطَلِقُوٓاْ إِلَىٰ مَا كُنتُم بِهِۦ تُكَذِّبُونَ,29. [Se les dirá:] Diríjanse a lo que desmentían [el Infierno].,
77,30,ٱنطَلِقُوٓاْ إِلَىٰ ظِلّٖ ذِي ثَلَٰثِ شُعَبٖ,"30. Diríjanse a la sombra [infernal] ramificada en tres,",
77,31,لَّا ظَلِيلٖ وَلَا يُغۡنِي مِنَ ٱللَّهَبِ,"31. que no protege ni salva de las llamas,",
