surah,ayah,arabic,translation
1,,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"1. (Empiezo)[2] con el nombre de Al-lah[3], el Clemente, el Misericordioso[4]."
1,,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,"2. ¡Alabado sea Al-lah, Señor de toda la creación!,"
1,,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"3. el Clemente, el Misericordioso,"
1,,مَٰلِكِ يَوۡمِ ٱلدِّينِ,4. Soberano del Día del Juicio Final[5].
1,,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,5. Solo a Ti adoramos y solo a Ti pedimos ayuda.
1,,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,"6. Guíanos por el camino recto,"
1,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"7. el camino de quienes has agraciado, no el de quienes han incurrido en Tu ira ni el de quienes se han extraviado (a pesar de conocer la verdad)."
2,,الٓمٓ,1. Alif. Lam. Mim[7].
2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,2. He aquí el libro sobre el cual no hay duda y es una guía para quienes temen[8] a Al-lah;
2,,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"3. esos que creen en el gaib[9], cumplen con el salat[10] (respetando sus horas y sus condiciones) y dan (en caridad) de lo que les hemos proveído;"
2,,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,"4. esos que creen en lo que te ha sido revelado a ti (¡oh, Muhammad!) y a los profetas que te precedieron, y creen firmemente en la otra vida."
2,,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,5. Esos son los que siguen la buena guía de su Señor y esos serán quienes triunfarán (en esta vida y en la otra). 
2,,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,"6. No importa si adviertes o no a quienes niegan la verdad (¡oh, Muhammad!), pues no creerán."
2,,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ,7. Al-lah ha sellado sus corazones y sus oídos (para que no puedan entenderla ni oírla como consecuencia de su incredulidad y arrogancia) y una venda les cubre los ojos. Tendrán un severo castigo.
2,,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ,"8. Hay gentes (hipócritas) que dicen: «Creemos en Al-lah y en el Día de la Resurrección», pero, en verdad, no son creyentes."
2,,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ,"9. Pretenden engañar a Al-lah y a quienes creen, pero solo se engañan a sí mismos sin darse cuenta."
2,,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ,"10. Sus corazones están enfermos (de duda e hipocresía) y, por ello, Al-lah les ha agravado la enfermedad. Y tendrán un doloroso castigo por haber mentido."
2,,وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ,"11. Y si se les dice: «No corrompáis la tierra», dicen: «Pero ¡si somos reformadores!»."
2,,أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ,"12. En realidad, ellos son los corruptores; mas no se dan cuenta."
