surah,ayah,arabic_text,translation,footnotes
18,1,ٱلۡحَمۡدُ لِلَّهِ ٱلَّذِيٓ أَنزَلَ عَلَىٰ عَبۡدِهِ ٱلۡكِتَٰبَ وَلَمۡ يَجۡعَل لَّهُۥ عِوَجَاۜ,"1. ¡Alabado sea Al-lah, Quien ha revelado el Corán a Su siervo (Muhammad) y no hay nada en él que se desvíe (de la verdad)!;",
18,2,قَيِّمٗا لِّيُنذِرَ بَأۡسٗا شَدِيدٗا مِّن لَّدُنۡهُ وَيُبَشِّرَ ٱلۡمُؤۡمِنِينَ ٱلَّذِينَ يَعۡمَلُونَ ٱلصَّٰلِحَٰتِ أَنَّ لَهُمۡ أَجۡرًا حَسَنٗا,"2. (un Libro) perfecto (sin contradicciones) para advertir (a quienes lo rechacen) de un severo castigo de parte de Al-lah y para anunciar a los creyentes que obran con rectitud la buena noticia de que obtendrán una buena recompensa (junto a Al-lah enel paraíso),",
18,3,مَّٰكِثِينَ فِيهِ أَبَدٗا,3. donde vivirán eternamente;,
18,4,وَيُنذِرَ ٱلَّذِينَ قَالُواْ ٱتَّخَذَ ٱللَّهُ وَلَدٗا,4. y para advertir (de Su castigo) a quienes dicen que Al-lah ha tomado para Sí un hijo.,
18,5,مَّا لَهُم بِهِۦ مِنۡ عِلۡمٖ وَلَا لِأٓبَآئِهِمۡۚ كَبُرَتۡ كَلِمَةٗ تَخۡرُجُ مِنۡ أَفۡوَٰهِهِمۡۚ إِن يَقُولُونَ إِلَّا كَذِبٗا,5. Ni ellos ni sus antepasados tienen conocimiento (real de tal cosa). Las palabras que pronuncian son muy graves y no dicen más que mentiras.,
18,6,فَلَعَلَّكَ بَٰخِعٞ نَّفۡسَكَ عَلَىٰٓ ءَاثَٰرِهِمۡ إِن لَّمۡ يُؤۡمِنُواْ بِهَٰذَا ٱلۡحَدِيثِ أَسَفًا,"6. Puede que te consumas de pesar (¡oh, Muhammad!)tras ver que (tu pueblo) se aleja de ti porque no creen en este mensaje (el Corán).",
18,7,إِنَّا جَعَلۡنَا مَا عَلَى ٱلۡأَرۡضِ زِينَةٗ لَّهَا لِنَبۡلُوَهُمۡ أَيُّهُمۡ أَحۡسَنُ عَمَلٗا,"7. Ciertamente, hemos embellecido cuanto hay en la tierra para poner a los hombres a prueba[510] y ver quiénes actuaban mejor.","[510]  La prueba consiste en ver si reconocen al Creador de toda esa belleza y perfección y, consecuentemente, lo adoran solo a Él o si se dejan seducir por ella y se olvidan de adorarlo, o niegan que toda esa belleza proceda de Él. "
18,8,وَإِنَّا لَجَٰعِلُونَ مَا عَلَيۡهَا صَعِيدٗا جُرُزًا,8. Luego (destruiremos) todo lo que hay en ella (el Día de la Resurrección) y haremos que se convierta en una tierra yerma y seca.,
18,9,أَمۡ حَسِبۡتَ أَنَّ أَصۡحَٰبَ ٱلۡكَهۡفِ وَٱلرَّقِيمِ كَانُواْ مِنۡ ءَايَٰتِنَا عَجَبًا,"9. No pienses (¡oh, Muhammad!) que la historia de los jóvenes de la caverna[511] y de Ar-Raqim[512] es uno de Nuestros milagros más sorprendentes[513].","[511]  Algunos comentaristas creen que se trataba de los hijos de los reyes y líderes de Bizancio. Estos jóvenes se negaron a seguir las prácticas idólatras de su pueblo y ocultaban su fe por miedo a lo que podía sucederles. Cuando fueron descubiertos y comparecieron ante el rey, confesaron su fe y fueron amenazados si no regresaban a la religión de su pueblo, por esta razón, decidieron huir. [512]  No se sabe exactamente qué significa Ar-Raqim. Algunos comentaristas opinan que es el nombre del valle donde se hallaba la caverna, otros que es el nombre de la ciudad y otros que es la inscripción de piedra donde se escribió al historia de los jóvenes que fue finalmente depositada en la entrada de la caverna para que la gente conociera lo que sucedió. [513]  Pues más sorprendente es la creación de los cielos y de la tierra y todo lo que contiene."
18,10,إِذۡ أَوَى ٱلۡفِتۡيَةُ إِلَى ٱلۡكَهۡفِ فَقَالُواْ رَبَّنَآ ءَاتِنَا مِن لَّدُنكَ رَحۡمَةٗ وَهَيِّئۡ لَنَا مِنۡ أَمۡرِنَا رَشَدٗا,"10. (Recuerda) cuandolos jóvenes se refugiaron en una caverna (huyendo de los idólatras de su pueblo) y suplicaron (a Al-lah) diciendo: «¡Señor, apiádate de nosotros, protégenos y ayúdanos a salir bien de esta situación (guiándonos) hacia lo que sea correcto!».",
