surah,ayah,arabic_text,translation,footnotes
89,1,وَٱلۡفَجۡرِ,"1. (Juro) por el alba,",
89,2,وَلَيَالٍ عَشۡرٖ,"2. por las diez (primeras) noches (de dhul hiyyah)[1142],","[1142]  Los diez primeros días del mes lunar dhul hiyyah gozan de gran importancia en el Islam y es recomendable realizar en ellos todas las buenas obras posibles. Varios comentaristas opinan que las tres primeras aleyas aluden al mes del Hayy, dhul hiyyah, refiriéndose “el alba” al del día 10 del mes, día del sacrificio del cordero (‘Id AlAdha); y “lo par e impar” al mismo día 10 del mes porque cae en día par y al día 9, el día principal del Hayy (iaum ‘Arafat) que cae en día impar."
89,3,وَٱلشَّفۡعِ وَٱلۡوَتۡرِ,"3. por (todo) lo par e impar,",
89,4,وَٱلَّيۡلِ إِذَا يَسۡرِ,4. por la noche cuando avanza (hacia el amanecer).,
89,5,هَلۡ فِي ذَٰلِكَ قَسَمٞ لِّذِي حِجۡرٍ,5. ¿Acaso este juramento no contiene pruebas suficientes para los dotados de inteligencia?,
89,6,أَلَمۡ تَرَ كَيۡفَ فَعَلَ رَبُّكَ بِعَادٍ,"6. ¿Acaso no sabes (¡oh, Muhammad!) lo que tu Señor hizo con el pueblo de 'Ad",
89,7,إِرَمَ ذَاتِ ٱلۡعِمَادِ,"7. (que habitaba en la ciudad) de Iram, la de las columnas[1143]?","[1143]  Puede referirse a que poseía altas construcciones erigidas sobre columnas o a que su gente era muy alta y fuerte, y por ello eran comparados con columnas."
89,8,ٱلَّتِي لَمۡ يُخۡلَقۡ مِثۡلُهَا فِي ٱلۡبِلَٰدِ,8. No había pueblo en la tierra que pudiese compararse con él[1144].,"[1144]  De acuerdo con lo explicado en la nota anterior, también puede entenderse que no había en la tierra construcciones como aquellas."
89,9,وَثَمُودَ ٱلَّذِينَ جَابُواْ ٱلصَّخۡرَ بِٱلۡوَادِ,"9. ¿Y (sabes lo que le sucedió) al pueblo de Zamud, cuyos habitantes esculpían (sus viviendas) en las rocas del valle?,",
89,10,وَفِرۡعَوۡنَ ذِي ٱلۡأَوۡتَادِ,"10. ¿y al Faraón, el de las estacas[1145]?","[1145]  Hace referencia a la manera que tenía de ejecutar a quienes lo desobedecían (ver la nota de la aleya 124 de la sura 7). Otros exégetas entienden la expresión en sentido figurado, aludiendo al gran poder del ejército del Faraón."
89,11,ٱلَّذِينَ طَغَوۡاْ فِي ٱلۡبِلَٰدِ,11. (Todos ellos) se excedieron en la tierra (con sus pecados),
89,12,فَأَكۡثَرُواْ فِيهَا ٱلۡفَسَادَ,12. y extendieron en ella la corrupción.,
89,13,فَصَبَّ عَلَيۡهِمۡ رَبُّكَ سَوۡطَ عَذَابٍ,13. Por ello tu Señor les infligió diferentes castigos de extrema dureza.,
89,14,إِنَّ رَبَّكَ لَبِٱلۡمِرۡصَادِ,"14. En verdad, tu Señor vigila constantemente (lo que hacen Sus criaturas).",
89,15,فَأَمَّا ٱلۡإِنسَٰنُ إِذَا مَا ٱبۡتَلَىٰهُ رَبُّهُۥ فَأَكۡرَمَهُۥ وَنَعَّمَهُۥ فَيَقُولُ رَبِّيٓ أَكۡرَمَنِ,"15. Cuando Al-lah pone a prueba al hombre honrándolo y agraciándolo, (este) dice: “Mi Señor me ha honrado”.",
89,16,وَأَمَّآ إِذَا مَا ٱبۡتَلَىٰهُ فَقَدَرَ عَلَيۡهِ رِزۡقَهُۥ فَيَقُولُ رَبِّيٓ أَهَٰنَنِ,"16. Mas si lo pone a prueba restringiéndole su sustento, dice: “Mi Señor me ha humillado”.",
89,17,كَلَّاۖ بَل لَّا تُكۡرِمُونَ ٱلۡيَتِيمَ,"17. ¡No!, no han entendido las pruebas a las que los somete su Señor y por eso no tratan bien al huérfano",
89,18,وَلَا تَحَٰٓضُّونَ عَلَىٰ طَعَامِ ٱلۡمِسۡكِينِ,18. ni se exhortan a alimentar al pobre.,
89,19,وَتَأۡكُلُونَ ٱلتُّرَاثَ أَكۡلٗا لَّمّٗا,"19. Consumen con avidez la herencia (que no les corresponde, despojando a otros de sus derechos)",
89,20,وَتُحِبُّونَ ٱلۡمَالَ حُبّٗا جَمّٗا,20. y aman la riqueza en exceso.,
89,21,كَلَّآۖ إِذَا دُكَّتِ ٱلۡأَرۡضُ دَكّٗا دَكّٗا,21. ¡No actúen así! Cuando la tierra sea nivelada por completo (el Día de la Resurrección),
89,22,وَجَآءَ رَبُّكَ وَٱلۡمَلَكُ صَفّٗا صَفّٗا,"22. y tu Señor llegue (para juzgar a Sus siervos), y los ángeles se alineen ante Él formando filas,",
89,23,وَجِاْيٓءَ يَوۡمَئِذِۭ بِجَهَنَّمَۚ يَوۡمَئِذٖ يَتَذَكَّرُ ٱلۡإِنسَٰنُ وَأَنَّىٰ لَهُ ٱلذِّكۡرَىٰ,"23. y se haga venir al Infierno (de manera que se haga visible), ese día el hombre recordará (todas las acciones que realizó); pero de nada le servirá.",
89,24,يَقُولُ يَٰلَيۡتَنِي قَدَّمۡتُ لِحَيَاتِي,24. Entonces dirá: “¡Ojalá hubiese realizado buenas obras para la otra vida!”.,
