surah,ayah,arabic_text,translation,footnotes
14,1,الٓرۚ كِتَٰبٌ أَنزَلۡنَٰهُ إِلَيۡكَ لِتُخۡرِجَ ٱلنَّاسَ مِنَ ٱلظُّلُمَٰتِ إِلَى ٱلنُّورِ بِإِذۡنِ رَبِّهِمۡ إِلَىٰ صِرَٰطِ ٱلۡعَزِيزِ ٱلۡحَمِيدِ,الر [= الف. لام. را]. این [قرآن] کتابی است که بر تو نازل کردیم تا مردم را به فرمان پروردگارشان، از تاریکی‌ها[ی شرک و جهل] به روشنایی [ایمان و دانش] بیرون آوری؛ به راه [پروردگارِ] شکست‌ناپذیرِ ستوده.,
14,2,ٱللَّهِ ٱلَّذِي لَهُۥ مَا فِي ٱلسَّمَٰوَٰتِ وَمَا فِي ٱلۡأَرۡضِۗ وَوَيۡلٞ لِّلۡكَٰفِرِينَ مِنۡ عَذَابٖ شَدِيدٍ,[همان] الله که آنچه در آسمان‌ها و زمین است از آنِ اوست؛ و وای بر کافران از عذاب سخت!,
14,3,ٱلَّذِينَ يَسۡتَحِبُّونَ ٱلۡحَيَوٰةَ ٱلدُّنۡيَا عَلَى ٱلۡأٓخِرَةِ وَيَصُدُّونَ عَن سَبِيلِ ٱللَّهِ وَيَبۡغُونَهَا عِوَجًاۚ أُوْلَٰٓئِكَ فِي ضَلَٰلِۭ بَعِيدٖ,کسانی‌ که زندگی دنیا را بر آخرت ترجیح می‌دهند و [مردم را] از راه الله بازمی‌دارند و آن راه را منحرف [و سازگار با هوای نفس‌شان] می‌خواهند، اینان در گمراهی دور و درازی هستند.,
14,4,وَمَآ أَرۡسَلۡنَا مِن رَّسُولٍ إِلَّا بِلِسَانِ قَوۡمِهِۦ لِيُبَيِّنَ لَهُمۡۖ فَيُضِلُّ ٱللَّهُ مَن يَشَآءُ وَيَهۡدِي مَن يَشَآءُۚ وَهُوَ ٱلۡعَزِيزُ ٱلۡحَكِيمُ,ما هیچ پیامبری را جز به زبان قومش نفرستادیم تا [بتواند پیام الهی را] برایشان بیان کند. الله هر ‌کس را که بخواهد [به عدالتِ خویش] گمراه می‌سازد و [به فضل خویش] هر ‌کس را که بخواهد هدایت می‌کند و او شکست‌ناپذیرِ حکیم است.,
14,5,وَلَقَدۡ أَرۡسَلۡنَا مُوسَىٰ بِـَٔايَٰتِنَآ أَنۡ أَخۡرِجۡ قَوۡمَكَ مِنَ ٱلظُّلُمَٰتِ إِلَى ٱلنُّورِ وَذَكِّرۡهُم بِأَيَّىٰمِ ٱللَّهِۚ إِنَّ فِي ذَٰلِكَ لَأٓيَٰتٖ لِّكُلِّ صَبَّارٖ شَكُورٖ,و به راستی، ما موسی را با نشانه‌های روشنِ خود فرستادیم [و به او دستور دادیم] که: «قومت را از تاریکی‌ها[ی کفر] به روشنایی [توحید] بیرون آور و روزهای الله را به آنان یادآوری کن. بی‌تردید، در این [یادآوری]، برای هر شکیبای شکرگزار، نشانه‌هایی [از یگانگی و بزرگیِ الله] است.,
14,6,وَإِذۡ قَالَ مُوسَىٰ لِقَوۡمِهِ ٱذۡكُرُواْ نِعۡمَةَ ٱللَّهِ عَلَيۡكُمۡ إِذۡ أَنجَىٰكُم مِّنۡ ءَالِ فِرۡعَوۡنَ يَسُومُونَكُمۡ سُوٓءَ ٱلۡعَذَابِ وَيُذَبِّحُونَ أَبۡنَآءَكُمۡ وَيَسۡتَحۡيُونَ نِسَآءَكُمۡۚ وَفِي ذَٰلِكُم بَلَآءٞ مِّن رَّبِّكُمۡ عَظِيمٞ,و [ای پیامبر، یاد کن از] هنگامی‌ که موسی به قومش گفت: «نعمت الله را بر خود به یاد آورید، آنگاه که شما را از [چنگال] فرعونیان نجات داد، [همان کسانی] که بدترین [و خفت‌بارترین] عذاب را بر سرتان می‌آوردند: پسرانتان را می‌کشتند و زنانتان را [برای کنیزی] زنده می‌گذاشتند؛ و در این [امر]، آزمایشی بزرگ از جانب پروردگارتان برای شما بود [تا شکیبایی‌تان را بیازماید]».,
14,7,وَإِذۡ تَأَذَّنَ رَبُّكُمۡ لَئِن شَكَرۡتُمۡ لَأَزِيدَنَّكُمۡۖ وَلَئِن كَفَرۡتُمۡ إِنَّ عَذَابِي لَشَدِيدٞ,و [یاد کنید از] هنگامی که پروردگارتان اعلام کرد: «اگر شکر گزارید، یقیناً [نعمتم را] بر شما می‌افزایم و اگر ناسپاسی کنید، یقیناً عذاب من سخت است».,
14,8,وَقَالَ مُوسَىٰٓ إِن تَكۡفُرُوٓاْ أَنتُمۡ وَمَن فِي ٱلۡأَرۡضِ جَمِيعٗا فَإِنَّ ٱللَّهَ لَغَنِيٌّ حَمِيدٌ,و موسی به [آنان] گفت: «اگر شما و همۀ مردم روی زمین کافر شوید، [هیچ زیانی به الله نمی‌رسد؛ چرا که] بی‌تردید، الله بی‌نیازِ ستوده است».,
14,9,أَلَمۡ يَأۡتِكُمۡ نَبَؤُاْ ٱلَّذِينَ مِن قَبۡلِكُمۡ قَوۡمِ نُوحٖ وَعَادٖ وَثَمُودَ وَٱلَّذِينَ مِنۢ بَعۡدِهِمۡ لَا يَعۡلَمُهُمۡ إِلَّا ٱللَّهُۚ جَآءَتۡهُمۡ رُسُلُهُم بِٱلۡبَيِّنَٰتِ فَرَدُّوٓاْ أَيۡدِيَهُمۡ فِيٓ أَفۡوَٰهِهِمۡ وَقَالُوٓاْ إِنَّا كَفَرۡنَا بِمَآ أُرۡسِلۡتُم بِهِۦ وَإِنَّا لَفِي شَكّٖ مِّمَّا تَدۡعُونَنَآ إِلَيۡهِ مُرِيبٖ,[ای کافران،] آیا خبر [هلاکتِ] کسانی ‌که پیش از شما بودند، ـ [مانند] قوم نوح و عاد و ثمود ـ و [نیز] کسانی كه بعد از آنان بودند [و] جز الله كسى از آنان خبر ندارد، به شما نرسیده است؟ پیامبرانشان با دلایل [و معجزات] روشن به سویشان آمدند؛ ولى آنان [به نشانۀ مخالفت] دست‌های خود را بر دهان‌هایشان نهادند و [انگشت به دندان گزیدند و] گفتند: «ما آنچه را که شما برای [ابلاغِ] آن فرستاده شده‌اید انکار می‌کنیم و دربارۀ آنچه ما را به سویش مى‌خوانید، سخت در تردید هستیم».,
14,10,۞ قَالَتۡ رُسُلُهُمۡ أَفِي ٱللَّهِ شَكّٞ فَاطِرِ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِۖ يَدۡعُوكُمۡ لِيَغۡفِرَ لَكُم مِّن ذُنُوبِكُمۡ وَيُؤَخِّرَكُمۡ إِلَىٰٓ أَجَلٖ مُّسَمّٗىۚ قَالُوٓاْ إِنۡ أَنتُمۡ إِلَّا بَشَرٞ مِّثۡلُنَا تُرِيدُونَ أَن تَصُدُّونَا عَمَّا كَانَ يَعۡبُدُ ءَابَآؤُنَا فَأۡتُونَا بِسُلۡطَٰنٖ مُّبِينٖ,پیامبرانشان گفتند: «آیا در [یگانگیِ] الله ـ آفرینندۀ آسمان‌ها و زمین ـ تردیدی هست؟ او شما را [به ایمان] فرامی‌خوانَد تا گناهانتان را ببخشاید و تا مدتی معیّن به شما مهلت دهد». آنان گفتند: «شما جز بشری همانند ما نیستید [و] می‌خواهید ما را از آنچه که پدرانمان عبادت می‌کردند بازدارید. پس دلیلی آشکار [در مورد راستگویی‌تان] برایمان بیاورید».,
14,11,قَالَتۡ لَهُمۡ رُسُلُهُمۡ إِن نَّحۡنُ إِلَّا بَشَرٞ مِّثۡلُكُمۡ وَلَٰكِنَّ ٱللَّهَ يَمُنُّ عَلَىٰ مَن يَشَآءُ مِنۡ عِبَادِهِۦۖ وَمَا كَانَ لَنَآ أَن نَّأۡتِيَكُم بِسُلۡطَٰنٍ إِلَّا بِإِذۡنِ ٱللَّهِۚ وَعَلَى ٱللَّهِ فَلۡيَتَوَكَّلِ ٱلۡمُؤۡمِنُونَ,پیامبرانشان به آنان گفتند: «[آری،‌] ما جز انسان‌هایی مانند شما نیستیم؛ ولی الله بر هر یک از بندگانش که بخواهد [با نعمتِ نبوت] منت می‌نهد؛ و سزاوار نیست که ما جز به اجازۀ الله دلیلی برای شما بیاوریم؛ پس مؤمنان باید بر الله توکل کنند.,
14,12,وَمَا لَنَآ أَلَّا نَتَوَكَّلَ عَلَى ٱللَّهِ وَقَدۡ هَدَىٰنَا سُبُلَنَاۚ وَلَنَصۡبِرَنَّ عَلَىٰ مَآ ءَاذَيۡتُمُونَاۚ وَعَلَى ٱللَّهِ فَلۡيَتَوَكَّلِ ٱلۡمُتَوَكِّلُونَ,و چرا بر الله توكل نكنیم، و حال آنكه او ما را به راه‌های [سعادت]مان هدایت نمود؟ و ما بر آزارى كه شما [در راه رسالت] به ما می‌رسانید، قطعاً شکیبایی می‌کنیم؛ و توكل‌کنندگان باید فقط بر الله توكل كنند».,
14,13,وَقَالَ ٱلَّذِينَ كَفَرُواْ لِرُسُلِهِمۡ لَنُخۡرِجَنَّكُم مِّنۡ أَرۡضِنَآ أَوۡ لَتَعُودُنَّ فِي مِلَّتِنَاۖ فَأَوۡحَىٰٓ إِلَيۡهِمۡ رَبُّهُمۡ لَنُهۡلِكَنَّ ٱلظَّٰلِمِينَ,و کسانی ‌که کفر ورزیدند به پیامبرانشان گفتند: «یا شما را از سرزمینمان بیرون می‌کنیم یا به آیین ما بازگردید». پروردگارشان به آنان وحی کرد که: «یقیناً ستمکاران را نابود می‌کنیم.,
14,14,وَلَنُسۡكِنَنَّكُمُ ٱلۡأَرۡضَ مِنۢ بَعۡدِهِمۡۚ ذَٰلِكَ لِمَنۡ خَافَ مَقَامِي وَخَافَ وَعِيدِ,و قطعاً شما را پس از آنان در زمین جای خواهیم داد. این [عذاب و پاداش] برای کسی است که از ایستادن [به هنگام حسابرسی‌] در پیشگاهِ من بترسد و از تهدیدم بهراسد».,
14,15,وَٱسۡتَفۡتَحُواْ وَخَابَ كُلُّ جَبَّارٍ عَنِيدٖ,و [پیامبران از الله] درخواست پیروزی [بر کافران را] کردند و [سرانجام] هر گردنکشِ ستیزه‌جویی، ناکام [و نابود] شد.,
14,16,مِّن وَرَآئِهِۦ جَهَنَّمُ وَيُسۡقَىٰ مِن مَّآءٖ صَدِيدٖ,[همان کسی كه‌] دوزخ پیش روى اوست و آبى از چرک خون‌آلود [دوزخیان] به وی می‌نوشانند.,
14,17,يَتَجَرَّعُهُۥ وَلَا يَكَادُ يُسِيغُهُۥ وَيَأۡتِيهِ ٱلۡمَوۡتُ مِن كُلِّ مَكَانٖ وَمَا هُوَ بِمَيِّتٖۖ وَمِن وَرَآئِهِۦ عَذَابٌ غَلِيظٞ,[آبی] که آن را جرعه‌جرعه می‌آشامد و [از فرطِ تعفن و تلخی،] فروبردنش آسان و گوارا نیست و مرگ از هر طرف به سویش رو می‌آورَد ولی نمی‌میرد و عذابی سخت [و سهمگین] پیش رویِ اوست.,
14,18,مَّثَلُ ٱلَّذِينَ كَفَرُواْ بِرَبِّهِمۡۖ أَعۡمَٰلُهُمۡ كَرَمَادٍ ٱشۡتَدَّتۡ بِهِ ٱلرِّيحُ فِي يَوۡمٍ عَاصِفٖۖ لَّا يَقۡدِرُونَ مِمَّا كَسَبُواْ عَلَىٰ شَيۡءٖۚ ذَٰلِكَ هُوَ ٱلضَّلَٰلُ ٱلۡبَعِيدُ,مَثل کسانی که به پروردگارشان کفر ورزیده‌اند، [این است که] اعمالشان همچون خاکستری است که در روز طوفانی باد شدیدی بر آن می‌وزد [و] از آنچه کرده‌اند، چیزی در دست ندارند. این، همان گمراهیِ دور و دراز است‌.,
