surah,ayah,arabic_text,translation,footnotes
70,1,سَأَلَ سَآئِلُۢ بِعَذَابٖ وَاقِعٖ,"Un demandeur a réclamé un châtiment inéluctable,",
70,2,لِّلۡكَٰفِرِينَ لَيۡسَ لَهُۥ دَافِعٞ,"pour les mécréants, que nul ne pourrait repousser,",
70,3,مِّنَ ٱللَّهِ ذِي ٱلۡمَعَارِجِ,"et qui vient d’Allah, le Maître des voies d’ascension.",
70,4,تَعۡرُجُ ٱلۡمَلَٰٓئِكَةُ وَٱلرُّوحُ إِلَيۡهِ فِي يَوۡمٖ كَانَ مِقۡدَارُهُۥ خَمۡسِينَ أَلۡفَ سَنَةٖ,Les Anges ainsi que l’Esprit montent vers Lui en un jour dont la durée est de cinquante mille ans.,
70,5,فَٱصۡبِرۡ صَبۡرٗا جَمِيلًا,"Supporte donc, d’une belle patience.",
70,6,إِنَّهُمۡ يَرَوۡنَهُۥ بَعِيدٗا,"Ils le (le châtiment) voient bien loin,",
70,7,وَنَرَىٰهُ قَرِيبٗا,"alors que Nous le voyons bien proche,",
70,8,يَوۡمَ تَكُونُ ٱلسَّمَآءُ كَٱلۡمُهۡلِ,le jour où le ciel sera comme du métal en fusion.,
70,9,وَتَكُونُ ٱلۡجِبَالُ كَٱلۡعِهۡنِ,"Et les montagnes comme de la laine,",
70,10,وَلَا يَسۡـَٔلُ حَمِيمٌ حَمِيمٗا,"où nul ami dévoué ne s’enquerra d’un ami,",
70,11,يُبَصَّرُونَهُمۡۚ يَوَدُّ ٱلۡمُجۡرِمُ لَوۡ يَفۡتَدِي مِنۡ عَذَابِ يَوۡمِئِذِۭ بِبَنِيهِ,"bien qu’ils se voient l’un l’autre. Le criminel aimerait pouvoir se racheter du châtiment de ce jour, en livrant ses enfants,",
70,12,وَصَٰحِبَتِهِۦ وَأَخِيهِ,"sa compagne, son frère,",
70,13,وَفَصِيلَتِهِ ٱلَّتِي تُـٔۡوِيهِ,"même son clan qui lui donnait asile,",
70,14,وَمَن فِي ٱلۡأَرۡضِ جَمِيعٗا ثُمَّ يُنجِيهِ,"et tout ce qui est sur la terre, tout, qui pourrait le sauver.",
70,15,كَلَّآۖ إِنَّهَا لَظَىٰ,Mais rien [ne le sauvera]. [L’Enfer] est un brasier.,
70,16,نَزَّاعَةٗ لِّلشَّوَىٰ,arrachant brutalement la peau du crâne.,
