surah,ayah,arabic_text,translation,footnotes
44,1,حمٓ,"1. Hâ, Mîm.",
44,2,وَٱلۡكِتَٰبِ ٱلۡمُبِينِ,2. Par le Livre explicite !,
44,3,إِنَّآ أَنزَلۡنَٰهُ فِي لَيۡلَةٖ مُّبَٰرَكَةٍۚ إِنَّا كُنَّا مُنذِرِينَ,"3. Nous l’avons fait descendre (en révélation) par une nuit bénie,[486] et Nous Nous devions d’avertir.",[486] La Nuit du Destin. 
44,4,فِيهَا يُفۡرَقُ كُلُّ أَمۡرٍ حَكِيمٍ,4. (En cette nuit) est arrêtée toute décision.[487],"[487] L’épithète « hakîm » حكيم veut dire ici, d’après Ibn Kathîr, « tout ordre formel, qui ne peut être remplacé ou modifié par un autre », d’où notre traduction par le participe « arrêtée »."
44,5,أَمۡرٗا مِّنۡ عِندِنَآۚ إِنَّا كُنَّا مُرۡسِلِينَ,"5. Cet Ordre émane de Nous. Car c’est Nous qui envoyons (les Messagers),",
44,6,رَحۡمَةٗ مِّن رَّبِّكَۚ إِنَّهُۥ هُوَ ٱلسَّمِيعُ ٱلۡعَلِيمُ,"6. par miséricorde de ton Seigneur, Lui Qui Entend tout et Lui l’Omniscient,",
44,7,رَبِّ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَمَا بَيۡنَهُمَآۖ إِن كُنتُم مُّوقِنِينَ,"7. Seigneur des cieux, de la terre et de ce qu’il y a entre eux, pour peu que vous en ayez la certitude.",
44,8,لَآ إِلَٰهَ إِلَّا هُوَ يُحۡيِۦ وَيُمِيتُۖ رَبُّكُمۡ وَرَبُّ ءَابَآئِكُمُ ٱلۡأَوَّلِينَ,"8. Il n’est point d’autre divinité que Lui. Il fait vivre et Il fait mourir, Lui votre Seigneur et le Seigneur de vos premiers ancêtres.",
44,9,بَلۡ هُمۡ فِي شَكّٖ يَلۡعَبُونَ,9. Mais ils sont dans le doute et ne font que s’amuser.,
44,10,فَٱرۡتَقِبۡ يَوۡمَ تَأۡتِي ٱلسَّمَآءُ بِدُخَانٖ مُّبِينٖ,"10. Attends donc le jour où le ciel fera venir une fumée bien visible,",
44,11,يَغۡشَى ٱلنَّاسَۖ هَٰذَا عَذَابٌ أَلِيمٞ,11. qui enveloppera les hommes : voilà donc un supplice très douloureux !,
44,12,رَّبَّنَا ٱكۡشِفۡ عَنَّا ٱلۡعَذَابَ إِنَّا مُؤۡمِنُونَ,"12. « Seigneur, s’écrieront-ils, débarrasse-nous du supplice, nous sommes (devenus) vraiment croyants. »",
44,13,أَنَّىٰ لَهُمُ ٱلذِّكۡرَىٰ وَقَدۡ جَآءَهُمۡ رَسُولٞ مُّبِينٞ,"13. À quoi leur sert-il (aujourd’hui) de se souvenir, quand un Messager explicite est déjà venu à eux ?",
44,14,ثُمَّ تَوَلَّوۡاْ عَنۡهُ وَقَالُواْ مُعَلَّمٞ مَّجۡنُونٌ,"14. Ils se sont détournés de lui en disant : « C’est qu’il a déjà été initié (à ce genre d’exhortations), et ce n’est qu’un fou ! »",
