surah,ayah,arabic_text,translation,footnotes
93,1,وَٱلضُّحَىٰ,1 Par le jour qui répand sa clarté !,
93,2,وَٱلَّيۡلِ إِذَا سَجَىٰ,2 Par la nuit qui étend son obscurité !,
93,3,مَا وَدَّعَكَ رَبُّكَ وَمَا قَلَىٰ,"3 Ton Seigneur ne t’a ni abandonné, ni détesté.",
93,4,وَلَلۡأٓخِرَةُ خَيۡرٞ لَّكَ مِنَ ٱلۡأُولَىٰ,4 L’au-delà te réserve une plus grande félicité.,
93,5,وَلَسَوۡفَ يُعۡطِيكَ رَبُّكَ فَتَرۡضَىٰٓ,5 Ton Seigneur t’accordera de quoi te combler.,
93,6,أَلَمۡ يَجِدۡكَ يَتِيمٗا فَـَٔاوَىٰ,"6 Ne t’a-t-Il pas, te trouvant orphelin, entouré d’attentions ?",
93,7,وَوَجَدَكَ ضَآلّٗا فَهَدَىٰ,"7 Ne t’a-t-Il pas, te trouvant ignorant, enseigné la vraie foi ?",
93,8,وَوَجَدَكَ عَآئِلٗا فَأَغۡنَىٰ,"8 Ne t’a-t-Il pas, te trouvant démuni, placé au-dessus du besoin ?",
93,9,فَأَمَّا ٱلۡيَتِيمَ فَلَا تَقۡهَرۡ,9 Prends donc garde de traiter durement l’orphelin,
93,10,وَأَمَّا ٱلسَّآئِلَ فَلَا تَنۡهَرۡ,10 ou de repousser le mendiant sans nul ménagement.,
93,11,وَأَمَّا بِنِعۡمَةِ رَبِّكَ فَحَدِّثۡ,11 Et proclame les grâces de ton Seigneur hautement !,
