surah,ayah,arabic_text,translation,footnotes
1,1,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"૧. અલ્લાહના નામથી, (શરૂ કરું છું), જે અત્યંત કૃપાળુ અને દયાળુ છે.",
1,2,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,"૨. દરેક પ્રકારની પ્રશંસા અલ્લાહ માટે જ છે, જે સમગ્ર સૃષ્ટિનો પરવરદિગાર (પાલનહાર) છે.",
1,3,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"૩. (જે) ઘણો જ કૃપાળુ, અત્યંત દયાળુ, (છે).",
1,4,مَٰلِكِ يَوۡمِ ٱلدِّينِ,૪. બદલાના દિવસ (કયામત) નો માલિક છે.,
1,5,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,૫. અમે ફકત તારી જ બંદગી કરીએ છીએ અને ફકત તારી જ પાસે મદદ માંગીએ છીએ.,
1,6,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,૬. અમને સત્ય (અને સાચો) માર્ગ બતાવ.,
1,7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"૭. તે લોકોનો માર્ગ, જેમના પર તે કૃપા કરી. તે લોકોનો (માર્ગ) ન બતાવ, જેમના પર તું ક્રોધિત થયો અને તેમનો પણ માર્ગ ન બતાવ, જેઓ પથભ્રષ્ટ છે.",
2,1,الٓمٓ,૧. અલિફ-લામ્-મીમ્ [1],"[1] આ સૂરતની શરૂઆતમાં વર્ણન થયેલ હુરૂફે મુકત્તઆત, તે હુરુફ કુરઆન મજીદને એક મોઅજિઝો (ચમત્કારિક વાળી) હોવાને દર્શાવે છે, અને તે મુશરિકો માટે એક ચેલેન્જ હતું, પરંતુ તેઓ તે ચેલેન્જનો જવાબ આપી ન શક્યા, અને આ શબ્દો અરબી ભાષાના શબ્દોનો સંગ્રહ છે, જેના દ્વારા અરબી ભાષા બને છે, જે એ વાતનો પુરાવો છે કે અરબના લોકો આના જેવા શબ્દો લાવવા પર અસમર્થ રહ્યા જો કે તેઓ અરબી ભાષામાં સૌથી વધુ નિષ્ણાત હતા, અને તે એ વાત તરફ ઈશારો કે કુરઆન અલ્લાહ તરફથી ઉતારવામાં આવ્યું છે."
2,2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,૨. આ કિતાબ (કુરઆન મજીદ)માં કોઇ શંકા નથી. એવા ડરવાવાળા લોકોને માર્ગદર્શન આપે છે.,
2,3,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"૩. જે લોકો ગૈબ ઉપર ઇમાન રાખે છે અને નમાઝની પાબંદી કરે છે અને અમારા આપેલા (માલ) માંથી (અલ્લાહના માર્ગમાં) ખર્ચ કરે છે,",
2,4,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,"૪. અને તેઓ, જે કંઈ પણ આપની તરફ અવતરિત કરવામાં આવ્યું છે, અને જે કંઇ પણ તમારાથી પહેલાના લોકો (પયગંબરો) પર અવતરિત કરવામાં આવ્યું તેના પર ઈમાન રાખે છે, અને તેઓ આખિરત ઉપર પણ સંપૂર્ણ યકીન ધરાવે છે.",
