surah,ayah,arabic_text,translation,footnotes
83,1,وَيۡلٞ لِّلۡمُطَفِّفِينَ,૧. વિનાશ છે માપતોલમાં ઘટાડો કરનારાઓ માટે.,
83,2,ٱلَّذِينَ إِذَا ٱكۡتَالُواْ عَلَى ٱلنَّاسِ يَسۡتَوۡفُونَ,"૨. આવા લોકો જ્યારે બીજા પાસેથી તોલીને લે છે, તો પૂરેપૂરૂ લે છે.",
83,3,وَإِذَا كَالُوهُمۡ أَو وَّزَنُوهُمۡ يُخۡسِرُونَ,"૩. અને જ્યારે બીજાને માપીને કે તોલીને આપે છે, તો ઓછુ આપે છે.",
83,4,أَلَا يَظُنُّ أُوْلَٰٓئِكَ أَنَّهُم مَّبۡعُوثُونَ,૪. શું તેઓ સમજતા નથી કે તેમને ફરી જીવિત કરવામાં આવશે.,
83,5,لِيَوۡمٍ عَظِيمٖ,૫. તે મહાન દિવસ માટે.,
83,6,يَوۡمَ يَقُومُ ٱلنَّاسُ لِرَبِّ ٱلۡعَٰلَمِينَ,૬. જે દિવસે દરેક લોકો પોતાના પાલનહારની સામે ઉભા હશે.,
83,7,كَلَّآ إِنَّ كِتَٰبَ ٱلۡفُجَّارِ لَفِي سِجِّينٖ,"૭. કદાપિ નહી, દુરાચારીઓના કર્મપત્ર સિજ્જીનમાં છે.",
83,8,وَمَآ أَدۡرَىٰكَ مَا سِجِّينٞ,૮. તમને શું ખબર કે સિજ્જીન શું છે?,
83,9,كِتَٰبٞ مَّرۡقُومٞ,"૯. (આ તો) એક લખેલી કિતાબ છે,",
83,10,وَيۡلٞ يَوۡمَئِذٖ لِّلۡمُكَذِّبِينَ,૧૦. તે દિવસે જુઠલાવનારા માટે વિનાશ છે.,
83,11,ٱلَّذِينَ يُكَذِّبُونَ بِيَوۡمِ ٱلدِّينِ,૧૧. જેઓ બદલાના દિવસને જુઠલાવે છે.,
83,12,وَمَا يُكَذِّبُ بِهِۦٓ إِلَّا كُلُّ مُعۡتَدٍ أَثِيمٍ,"૧૨. તેને ફકત તેઓ જ જુઠલાવે છે, જેઓ હદનું ઉલ્લંઘન કરનાર (અને) ગુનેહગાર હોય.",
83,13,إِذَا تُتۡلَىٰ عَلَيۡهِ ءَايَٰتُنَا قَالَ أَسَٰطِيرُ ٱلۡأَوَّلِينَ,"૧૩. જ્યારે તેની સામે અમારી આયતો પઢવામાં આવે છે, તો કહી દે છે કે આ તો પુર્વજોની કાલ્પનિક વાર્તાઓ છે.",
83,14,كَلَّاۖ بَلۡۜ رَانَ عَلَىٰ قُلُوبِهِم مَّا كَانُواْ يَكۡسِبُونَ,"૧૪. કદાપિ નહી, વાત એવી નથી, પરંતુ તેમના હૃદયો પર તેમના ખરાબ કર્મોના કાટ (ચઢી ગયો) છે.",
83,15,كَلَّآ إِنَّهُمۡ عَن رَّبِّهِمۡ يَوۡمَئِذٖ لَّمَحۡجُوبُونَ,"૧૫. કદાપિ નહી, આ લોકોને તે દિવસે પોતાના પાલનહારના (દિદારથી) છેટા રાખવામાં આવશે.",
83,16,ثُمَّ إِنَّهُمۡ لَصَالُواْ ٱلۡجَحِيمِ,૧૬. ફરી તે લોકો જહન્નમમાં દાખલ કરવામાં આવશે.,
83,17,ثُمَّ يُقَالُ هَٰذَا ٱلَّذِي كُنتُم بِهِۦ تُكَذِّبُونَ,"૧૭. પછી તેમને કહીં દેવામાં આવશે કે આ જ તે વસ્તુ છે, જેને તમે જુઠલાવતા હતા.",
83,18,كَلَّآ إِنَّ كِتَٰبَ ٱلۡأَبۡرَارِ لَفِي عِلِّيِّينَ,"૧૮. કદાપિ નહી, સદાચારીઓના કર્મપત્ર ઇલ્લિય્યીનમાં છે.",
83,19,وَمَآ أَدۡرَىٰكَ مَا عِلِّيُّونَ,૧૯. તમને શું ખબર કે ઇલ્લિય્યીન શું છે?,
83,20,كِتَٰبٞ مَّرۡقُومٞ,૨૦. (તે તો) એક લેખિત પુસ્તક છે.,
83,21,يَشۡهَدُهُ ٱلۡمُقَرَّبُونَ,૨૧. નિકટ (ફરિશ્તાઓ) તેની દેખરેખ કરી રહ્યા છે.,
83,22,إِنَّ ٱلۡأَبۡرَارَ لَفِي نَعِيمٍ,૨૨. નિ:શંક સદાચારીઓ (ખુબ જ) નેઅમતોમાં હશે.,
83,23,عَلَى ٱلۡأَرَآئِكِ يَنظُرُونَ,૨૩. ઉચ્ચ આસનો પર બેસી જોઈ રહ્યા હશે.,
83,24,تَعۡرِفُ فِي وُجُوهِهِمۡ نَضۡرَةَ ٱلنَّعِيمِ,૨૪. તમે તેમના ચહેરાઓ પરથી જ તેમની પ્રસન્નતાને ઓળખી લેશો.,
83,25,يُسۡقَوۡنَ مِن رَّحِيقٖ مَّخۡتُومٍ,૨૫. આ લોકોને સિલબંધ ઉત્તમ શરાબ પીવડાવવામાં આવશે.,
83,26,خِتَٰمُهُۥ مِسۡكٞۚ وَفِي ذَٰلِكَ فَلۡيَتَنَافَسِ ٱلۡمُتَنَٰفِسُونَ,૨૬. જેના પર કસ્તુરીનું સિલ હશે. અને જે વ્યક્તિ આ બધી નેઅમતોની પ્રાપ્તિ ઈચ્છતો હોય તો તેણે આગળ વધવું જોઈએ.,
83,27,وَمِزَاجُهُۥ مِن تَسۡنِيمٍ,૨૭. અને તેની મિલાવટ તસ્નીમની હશે.,
83,28,عَيۡنٗا يَشۡرَبُ بِهَا ٱلۡمُقَرَّبُونَ,૨૮. (એટલે કે) તે ઝરણું જેનું પાણી નિકટનાં લોકો પીશે.,
83,29,إِنَّ ٱلَّذِينَ أَجۡرَمُواْ كَانُواْ مِنَ ٱلَّذِينَ ءَامَنُواْ يَضۡحَكُونَ,૨૯. અપરાધીઓ (દુનિયામાં) ઇમાન વાળોઓની મજાક ઉડાવતા હતા.,
83,30,وَإِذَا مَرُّواْ بِهِمۡ يَتَغَامَزُونَ,૩૦. અને જ્યારે તેમની પાસેથી પસાર થતા તો એક-બીજાને આંખોના ઇશારા કરતા હતા.,
83,31,وَإِذَا ٱنقَلَبُوٓاْ إِلَىٰٓ أَهۡلِهِمُ ٱنقَلَبُواْ فَكِهِينَ,૩૧. અને જ્યારે પોતાના લોકો તરફ પાછા ફરતા તો હસી મજાક કરતા પાછા ફરતા હતા.,
83,32,وَإِذَا رَأَوۡهُمۡ قَالُوٓاْ إِنَّ هَٰٓؤُلَآءِ لَضَآلُّونَ,"૩૨. અને જ્યારે ઈમાનવાળાઓને જોતા તો કહેતા, ખરેખર આ જ લોકો ગુમરાહ છે.",
