surah,ayah,arabic_text,translation,footnotes
101,1,ٱلۡقَارِعَةُ,Mai ƙwanƙwasar (zukata da tsõro)!,
101,2,مَا ٱلۡقَارِعَةُ,Mẽnẽ ne mai ƙwanƙwasa?,
101,3,وَمَآ أَدۡرَىٰكَ مَا ٱلۡقَارِعَةُ,Kuma me ya sanar da kai abin da ake ce wa mai ƙwanƙwasa?,
101,4,يَوۡمَ يَكُونُ ٱلنَّاسُ كَٱلۡفَرَاشِ ٱلۡمَبۡثُوثِ,Rãnar da mutãne za su kasance kamar 'ya'yan fari mãsu wãtsuwa.,
101,5,وَتَكُونُ ٱلۡجِبَالُ كَٱلۡعِهۡنِ ٱلۡمَنفُوشِ,Kuma duwãtsu su kasance kamar gãshin sũfin da aka saɓe.,
101,6,فَأَمَّا مَن ثَقُلَتۡ مَوَٰزِينُهُۥ,"To, amma wanda ma'aunansa suka yi nauyi.",
101,7,فَهُوَ فِي عِيشَةٖ رَّاضِيَةٖ,"To, shi yana a cikin wata rayuwa yardadda.",
101,8,وَأَمَّا مَنۡ خَفَّتۡ مَوَٰزِينُهُۥ,Kuma amma wanda ma'aunansa suka yi sauƙi (bãbu nauyi).,
101,9,فَأُمُّهُۥ هَاوِيَةٞ,"To, uwarsa Hãwiya ce.",
101,10,وَمَآ أَدۡرَىٰكَ مَا هِيَهۡ,Kuma me ya sanar da kai mece ce ita?,
101,11,نَارٌ حَامِيَةُۢ,Wata wuta ce mai kuna.,
