surah,ayah,arabic,translation
1,,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"अल्लाह के नाम से, जो अत्यंत दयावान्, असीम दया वाला है।"
1,,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,"हर प्रकार की प्रशंसा उस अल्लाह[1] के लिए है, जो सारे संसारों का पालनहार[2] है।"
1,,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"जो अत्यंत दयावान्, असीम दया वाला[3] है।"
1,,مَٰلِكِ يَوۡمِ ٱلدِّينِ,जो बदले[4] के दिन का मालिक है।
1,,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,(ऐ अल्लाह!) हम तेरी ही इबादत करते हैं और तुझी से सहायता माँगते[5] हैं।
1,,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,हमें सीधे मार्ग पर चला।
1,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"उन लोगों का मार्ग, जिनपर तूने अनुग्रह किया।[6] उनका नहीं, जिनपर तेरा प्रकोप[7] हुआ और न ही उनका, जो गुमराह हैं।"
2,,الٓمٓ,"अलिफ़, लाम, मीम।"
2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,"यह (क़ुरआन) वह पुस्तक है, जिसमें कोई संदेह नहीं, परहेज़गारों के लिए सर्वथा मार्गदर्शन है।"
2,,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"वे लोग जो ग़ैब (परोक्ष)[1] पर ईमान लाते हैं, और नमाज़ की स्थापना करते हैं और जो कुछ हमने उन्हें दिया है, उसमें से ख़र्च करते हैं।"
2,,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,तथा जो उसपर ईमान लाते हैं जो तुम्हारी ओर उतारा गया और जो तुमसे पहले उतारा गया[2]  और आख़िरत[3]  पर वही लोग विश्वास रखते हैं।
2,,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,यही लोग अपने पालनहार के बताए हुए मार्ग पर हैं तथा यही लोग सफल हैं।
2,,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,"निःसंदेह[4]  जिन लोगों ने कुफ़्र किया, उनपर बराबर है, चाहे आपने उन्हें डराया हो या उन्हें न डराया हो, वे ईमान नहीं लाएँगे।"
2,,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ,अल्लाह ने उनके दिलों पर तथा उनके कानों पर मुहर लगा दी और उनकी आँखों पर भारी पर्दा है तथा उनके लिए बहुत बड़ी यातना है।
2,,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ,"और[5]  कुछ लोग ऐसे हैं, जो कहते हैं कि हम अल्लाह पर तथा आख़िरत के दिन पर ईमान लाए, हालाँकि वे हरगिज़ मोमिन नहीं।"
2,,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ,"वे अल्लाह तथा ईमान वालों से धोखाबाज़ी करते हैं। हालाँकि वे अपनी जानों के सिवा किसी को धोखा नहीं दे रहे, परंतु वे समझते नहीं।"
2,,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ,"उनके दिलों ही में एक रोग है, तो अल्लाह ने उन्हें रोग में और बढ़ा दिया और उनके लिए दर्दनाक यातना है, इस कारण कि वे झूठ बोलते थे।"
2,,وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ,"और जब उनसे कहा जाता है कि धरती में उपद्रव न करो, तो कहते हैं कि हम तो केवल सुधार करने वाले हैं।"
2,,أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ,"सावधान! निश्चय वही तो उपद्रव करने वाले हैं, परंतु वे नहीं समझते।"
2,,وَإِذَا قِيلَ لَهُمۡ ءَامِنُواْ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓاْ أَنُؤۡمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُۗ أَلَآ إِنَّهُمۡ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعۡلَمُونَ,"तथा[6]  जब उनसे कहा जाता है : ईमान लाओ जिस तरह लोग ईमान लाए हैं, तो कहते हैं : क्या हम ईमान लाएँ, जैसे मूर्ख ईमान लाए हैं? सुन लो! निःसंदेह वे स्वयं ही मूर्ख हैं, परंतु वे नहीं जानते।"
2,,وَإِذَا لَقُواْ ٱلَّذِينَ ءَامَنُواْ قَالُوٓاْ ءَامَنَّا وَإِذَا خَلَوۡاْ إِلَىٰ شَيَٰطِينِهِمۡ قَالُوٓاْ إِنَّا مَعَكُمۡ إِنَّمَا نَحۡنُ مُسۡتَهۡزِءُونَ,"तथा जब वे ईमान लाने वालों से मिलते हैं, तो कहते हैं कि हम ईमान ले आए और जब अकेले में अपने शैतानों (प्रमुखों) के साथ होते हैं, तो कहते हैं कि निःसंदेह हम तुम्हारे साथ हैं। हम तो केवल उपहास करने वाले हैं।"
2,,ٱللَّهُ يَسۡتَهۡزِئُ بِهِمۡ وَيَمُدُّهُمۡ فِي طُغۡيَٰنِهِمۡ يَعۡمَهُونَ,"अल्लाह उनका मज़ाक़ उड़ाता है और उन्हें ढील दे रहा है, अपनी सरकशी में भटकते फिरते हैं।"
2,,أُوْلَٰٓئِكَ ٱلَّذِينَ ٱشۡتَرَوُاْ ٱلضَّلَٰلَةَ بِٱلۡهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمۡ وَمَا كَانُواْ مُهۡتَدِينَ,"यही लोग हैं, जिन्होंने हिदायत (मार्गदर्शन) के बदले गुमराही खरीद ली। तो न उनके व्यापार ने लाभ दिया और न वे हिदायत पाने वाले बने।"
