surah,ayah,arabic_text,translation,footnotes
80,1,عَبَسَ وَتَوَلَّىٰٓ,उस (नबी) ने त्योरी चढ़ाई और मुँह फेर लिया।,
80,2,أَن جَآءَهُ ٱلۡأَعۡمَىٰ,इस कारण कि उनके पास अंधा आया।,
80,3,وَمَا يُدۡرِيكَ لَعَلَّهُۥ يَزَّكَّىٰٓ,और आपको क्या मालूम शायद वह पवित्रता प्राप्त कर ले।,
80,4,أَوۡ يَذَّكَّرُ فَتَنفَعَهُ ٱلذِّكۡرَىٰٓ,"या नसीहत ग्रहण करे, तो वह नसीहत उसे लाभ दे।",
80,5,أَمَّا مَنِ ٱسۡتَغۡنَىٰ,लेकिन जो बेपरवाह हो गया।,
80,6,فَأَنتَ لَهُۥ تَصَدَّىٰ,तो आप उसके पीछे पड़ रहे हैं।,
80,7,وَمَا عَلَيۡكَ أَلَّا يَزَّكَّىٰ,हालाँकि आपपर कोई दोष नहीं कि वह पवित्रता ग्रहण नहीं करता।,
80,8,وَأَمَّا مَن جَآءَكَ يَسۡعَىٰ,लेकिन जो व्यक्ति आपके पास दौड़ता हुआ आया।,
80,9,وَهُوَ يَخۡشَىٰ,और वह डर (भी) रहा है।,
80,10,فَأَنتَ عَنۡهُ تَلَهَّىٰ,तो आप उसकी ओर ध्यान नहीं देते।[1],"1. (1-10) भावार्थ यह है कि सत्य के प्रचारक का यह कर्तव्य है कि जो सत्य की खोज में हो, भले ही वह दरिद्र हो, उसी के सुधार पर ध्यान दे। और जो अभिमान के कारण सत्य की परवाह नहीं करते उनके पीछे समय न गवाँए। आपका यह दायित्व भी नहीं है कि उन्हें अपनी बात मनवा दें।"
80,11,كَلَّآ إِنَّهَا تَذۡكِرَةٞ,"ऐसा हरगिज़ नहीं चाहिए, यह (क़ुरआन) तो एक उपदेश है।",
80,12,فَمَن شَآءَ ذَكَرَهُۥ,"अतः जो चाहे, उसे याद करे।",
80,13,فِي صُحُفٖ مُّكَرَّمَةٖ,(यह क़ुरआन) सम्मानित सहीफ़ों (ग्रंथों) में है।,
80,14,مَّرۡفُوعَةٖ مُّطَهَّرَةِۭ,जो उच्च स्थान वाले तथा पवित्र हैं।,
80,15,بِأَيۡدِي سَفَرَةٖ,ऐसे लिखने वालों (फ़रिश्तों) के हाथों में हैं।,
80,16,كِرَامِۭ بَرَرَةٖ,जो माननीय और नेक हैं।[2],2. (11-16) इनमें क़ुरआन की महानता को बताया गया है कि यह एक स्मृति (याद दहानी) है। किसी पर थोपने के लिए नहीं आया है। बल्कि वह तो फ़रिश्तों के हाथों में स्वर्ग में एक पवित्र शास्त्र के अंदर सुरक्षित है। और वहीं से वह (क़ुरआन) इस संसार में नबी (सल्लल्लाहु अलैहि व सल्लम) पर उतारा जा रहा है।
80,17,قُتِلَ ٱلۡإِنسَٰنُ مَآ أَكۡفَرَهُۥ,"सर्वनाश हो मनुष्य का, वह कितना कृतघ्न (नाशुक्रा) है।",
80,18,مِنۡ أَيِّ شَيۡءٍ خَلَقَهُۥ,(अल्लाह ने) उसे किस चीज़ से पैदा किया?,
80,19,مِن نُّطۡفَةٍ خَلَقَهُۥ فَقَدَّرَهُۥ,"एक नुत्फ़े (वीर्य) से उसे पैदा किया, फिर विभिन्न चरणों में उसकी रचना की।",
80,20,ثُمَّ ٱلسَّبِيلَ يَسَّرَهُۥ,फिर उसके लिए रास्ता आसान कर दिया।,
80,21,ثُمَّ أَمَاتَهُۥ فَأَقۡبَرَهُۥ,"फिर उसे मृत्यु दी, फिर उसे क़ब्र में रखवाया।",
80,22,ثُمَّ إِذَا شَآءَ أَنشَرَهُۥ,"फिर जब वह चाहेगा, उसे उठाएगा।",
80,23,كَلَّا لَمَّا يَقۡضِ مَآ أَمَرَهُۥ,"हरगिज़ नहीं, अभी तक उसने उसे पूरा नहीं किया, जिसका अल्लाह ने उसे आदेश दिया था।[3]","3. (17-23) तक विश्वासहीनों पर धिक्कार है कि यदि वे अपने अस्तित्व पर विचार करें कि हमने कितनी तुच्छ वीर्य की बूँद से उसकी रचना की तथा अपनी दया से उसे चेतना और समझ दी। परंतु इन सब उपकारों को भूलकर कृतघ्न बना हुआ है, और उपासना अन्य की करता है।"
80,24,فَلۡيَنظُرِ ٱلۡإِنسَٰنُ إِلَىٰ طَعَامِهِۦٓ,अतः इनसान को चाहिए कि अपने भोजन को देखे।,
80,25,أَنَّا صَبَبۡنَا ٱلۡمَآءَ صَبّٗا,कि हमने ख़ूब पानी बरसाया।,
80,26,ثُمَّ شَقَقۡنَا ٱلۡأَرۡضَ شَقّٗا,फिर हमने धरती को विशेष रूप से फाड़ा।,
80,27,فَأَنۢبَتۡنَا فِيهَا حَبّٗا,फिर हमने उसमें अनाज उगाया।,
80,28,وَعِنَبٗا وَقَضۡبٗا,तथा अंगूर और (मवेशियों का) चारा।,
80,29,وَزَيۡتُونٗا وَنَخۡلٗا,तथा ज़ैतून और खजूर के पेड़।,
80,30,وَحَدَآئِقَ غُلۡبٗا,तथा घने बाग़।,
80,31,وَفَٰكِهَةٗ وَأَبّٗا,तथा फल और चारा।,
