surah,ayah,arabic_text,translation,footnotes
56,1,إِذَا وَقَعَتِ ٱلۡوَاقِعَةُ,Apabila terjadi hari Kiamat.,
56,2,لَيۡسَ لِوَقۡعَتِهَا كَاذِبَةٌ,Terjadinya tidak dapat didustakan (disangkal).,
56,3,خَافِضَةٞ رَّافِعَةٌ,(Kejadian itu) merendahkan (satu golongan) dan meninggikan (golongan yang lain).,
56,4,إِذَا رُجَّتِ ٱلۡأَرۡضُ رَجّٗا,"Apabila bumi diguncangkan sedahsyat-dahsyatnya,",
56,5,وَبُسَّتِ ٱلۡجِبَالُ بَسّٗا,"dan gunung-gunung dihancur luluhkan sehancur-hancurnya,",
56,6,فَكَانَتۡ هَبَآءٗ مُّنۢبَثّٗا,"maka jadilah ia debu yang berterbangan,",
56,7,وَكُنتُمۡ أَزۡوَٰجٗا ثَلَٰثَةٗ,"dan kamu menjadi tiga golongan,",
56,8,فَأَصۡحَٰبُ ٱلۡمَيۡمَنَةِ مَآ أَصۡحَٰبُ ٱلۡمَيۡمَنَةِ,"yaitu golongan kanan,825) alangkah mulianya golongan kanan itu,",*825) Orang-orang yang menerima buku catatan amal mereka dengan tangan kanan.
56,9,وَأَصۡحَٰبُ ٱلۡمَشۡـَٔمَةِ مَآ أَصۡحَٰبُ ٱلۡمَشۡـَٔمَةِ,"dan golongan kiri,826) alangkah sengsaranya golongan kiri itu,",*826) Orang-orang yang menerima buku catatan amal mereka dengan tangan kiri.
56,10,وَٱلسَّٰبِقُونَ ٱلسَّٰبِقُونَ,"dan orang-orang yang paling dahulu (beriman), merekalah yang paling dahulu (masuk surga).",
56,11,أُوْلَٰٓئِكَ ٱلۡمُقَرَّبُونَ,"mereka itulah orang yang dekat (kepada Allah),",
56,12,فِي جَنَّٰتِ ٱلنَّعِيمِ,"Berada dalam surga kenikmatan,",
56,13,ثُلَّةٞ مِّنَ ٱلۡأَوَّلِينَ,"segolongan besar dari orang-orang yang terdahulu,827)",*827) Umat nabi-nabi sebelum Nabi Muhammad -ṣallallāhu 'alaihi wa sallam- dan generasi awal dari umat Islam. Dan yang dimaksud orang yang kemudian ialah umat Nabi Muhammad -ṣallallāhu 'alaihi wa sallam- yang datang di akhir zaman.
56,14,وَقَلِيلٞ مِّنَ ٱلۡأٓخِرِينَ,dan segolongan kecil dari orang-orang yang kemudian.,
56,15,عَلَىٰ سُرُرٖ مَّوۡضُونَةٖ,"Mereka berada di atas dipan-dipan yang bertahtakan emas dan permata,",
56,16,مُّتَّكِـِٔينَ عَلَيۡهَا مُتَقَٰبِلِينَ,mereka bersandar di atasnya berhadap-hadapan.,
