surah,ayah,arabic_text,translation,footnotes
32,1,الٓمٓ,Alif Lām Mīm ,
32,2,تَنزِيلُ ٱلۡكِتَٰبِ لَا رَيۡبَ فِيهِ مِن رَّبِّ ٱلۡعَٰلَمِينَ,Turunnya Al-Qur`ān yang tidak ada keraguan padanya (adalah) dari Tuhan semesta alam.,
32,3,أَمۡ يَقُولُونَ ٱفۡتَرَىٰهُۚ بَلۡ هُوَ ٱلۡحَقُّ مِن رَّبِّكَ لِتُنذِرَ قَوۡمٗا مَّآ أَتَىٰهُم مِّن نَّذِيرٖ مِّن قَبۡلِكَ لَعَلَّهُمۡ يَهۡتَدُونَ,"Tetapi mengapa mereka (orang kafir) mengatakan, ""Dia Muhammad mengada-adakannya"". Sebenarnya, Al-Qur`ān itu adalah kebenaran (yang datang) dari Tuhan-mu agar kamu memberi peringatan kepada kaum yang belum datang kepada mereka orang yang memberi peringatan sebelum kamu; mudah-mudahan mereka mendapat petunjuk.",
32,4,ٱللَّهُ ٱلَّذِي خَلَقَ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضَ وَمَا بَيۡنَهُمَا فِي سِتَّةِ أَيَّامٖ ثُمَّ ٱسۡتَوَىٰ عَلَى ٱلۡعَرۡشِۖ مَا لَكُم مِّن دُونِهِۦ مِن وَلِيّٖ وَلَا شَفِيعٍۚ أَفَلَا تَتَذَكَّرُونَ,"Allah-lah yang menciptakan langit dan bumi dan apa yang ada di antara keduanya dalam enam masa, kemudian Dia bersemayam di atas arasy 1189.  Tidak ada bagi kamu selain dari-Nya seorang penolong pun dan tidak (pula) seorang pemberi syafaat 1190.  Maka apakah kamu tidak memperhatikan?",1189.  Lihat catatan kaki nomor 548. 1190.  Lihat arti syafaat pada catatan kaki nomor 46. 
32,5,يُدَبِّرُ ٱلۡأَمۡرَ مِنَ ٱلسَّمَآءِ إِلَى ٱلۡأَرۡضِ ثُمَّ يَعۡرُجُ إِلَيۡهِ فِي يَوۡمٖ كَانَ مِقۡدَارُهُۥٓ أَلۡفَ سَنَةٖ مِّمَّا تَعُدُّونَ,"Dia mengatur urusan dari langit ke bumi, kemudian (urusan) itu naik kepada-Nya dalam satu hari yang kadarnya (lamanya) adalah seribu tahun menurut perhitunganmu 1191.","1191.  Maksud ""urusan itu naik kepada-Nya"" ialah beritanya yang dibawa oleh malaikat.  Ayat ini suatu tamsil bagi kebesaran Allah Subḥānahu wa Ta‘ālā dan keagungan-Nya. "
32,6,ذَٰلِكَ عَٰلِمُ ٱلۡغَيۡبِ وَٱلشَّهَٰدَةِ ٱلۡعَزِيزُ ٱلرَّحِيمُ,"Yang demikian itu ialah Tuhan Yang mengetahui yang gaib dan yang nyata, Yang Maha Perkasa lagi Maha Penyayang,",
32,7,ٱلَّذِيٓ أَحۡسَنَ كُلَّ شَيۡءٍ خَلَقَهُۥۖ وَبَدَأَ خَلۡقَ ٱلۡإِنسَٰنِ مِن طِينٖ,Yang membuat segala sesuatu yang Dia ciptakan sebaik-baiknya dan Yang memulai penciptaan manusia dari tanah.,
32,8,ثُمَّ جَعَلَ نَسۡلَهُۥ مِن سُلَٰلَةٖ مِّن مَّآءٖ مَّهِينٖ,"Kemudian, Dia menjadikan keturunannya dari sari pati air yang hina (air mani).",
32,9,ثُمَّ سَوَّىٰهُ وَنَفَخَ فِيهِ مِن رُّوحِهِۦۖ وَجَعَلَ لَكُمُ ٱلسَّمۡعَ وَٱلۡأَبۡصَٰرَ وَٱلۡأَفۡـِٔدَةَۚ قَلِيلٗا مَّا تَشۡكُرُونَ,"Kemudian, Dia menyempurnakan dan meniupkan ke dalam (tubuh)nya roh (ciptaan)-Nya dan Dia menjadikan bagi kamu pendengaran, penglihatan, dan hati, (tetapi) kamu sedikit sekali bersyukur.",
32,10,وَقَالُوٓاْ أَءِذَا ضَلَلۡنَا فِي ٱلۡأَرۡضِ أَءِنَّا لَفِي خَلۡقٖ جَدِيدِۭۚ بَلۡ هُم بِلِقَآءِ رَبِّهِمۡ كَٰفِرُونَ,"Dan mereka berkata, ""Apakah bila kami telah lenyap (hancur) dalam tanah, kami benar-benar akan berada dalam ciptaan yang baru1192.  Bahkan (sebenarnya), mereka ingkar akan menemui Tuhan-nya.","1192.  Maksudnya, dihidupkan kembali untuk menerima balasan Tuhan pada Hari Kiamat. "
32,11,۞ قُلۡ يَتَوَفَّىٰكُم مَّلَكُ ٱلۡمَوۡتِ ٱلَّذِي وُكِّلَ بِكُمۡ ثُمَّ إِلَىٰ رَبِّكُمۡ تُرۡجَعُونَ,"Katakanlah, ""Malaikat maut yang diserahi untuk (mencabut nyawa)mu akan mematikanmu, kemudian hanya kepada Tuhan-mulah kamu akan dikembalikan.",
32,12,وَلَوۡ تَرَىٰٓ إِذِ ٱلۡمُجۡرِمُونَ نَاكِسُواْ رُءُوسِهِمۡ عِندَ رَبِّهِمۡ رَبَّنَآ أَبۡصَرۡنَا وَسَمِعۡنَا فَٱرۡجِعۡنَا نَعۡمَلۡ صَٰلِحًا إِنَّا مُوقِنُونَ,"Dan (alangkah ngerinya), jika sekiranya kamu melihat mereka ketika orang-orang yang berdosa itu menundukkan kepalanya di hadapan Tuhan-nya, (mereka berkata), ""Ya Tuhan kami, kami telah melihat dan mendengar, maka kembalikanlah kami (ke dunia), kami akan mengerjakan amal saleh; sesungguhnya kami adalah orang-orang yang yakin"".",
32,13,وَلَوۡ شِئۡنَا لَأٓتَيۡنَا كُلَّ نَفۡسٍ هُدَىٰهَا وَلَٰكِنۡ حَقَّ ٱلۡقَوۡلُ مِنِّي لَأَمۡلَأَنَّ جَهَنَّمَ مِنَ ٱلۡجِنَّةِ وَٱلنَّاسِ أَجۡمَعِينَ,"Dan kalau Kami menghendaki, niscaya Kami akan berikan kepada tiap-tiap jiwa petunjuk (bagi)nya, akan tetapi telah tetaplah perkataan dari pada-Ku, ""Sesungguhnya akan Aku penuhi neraka jahanam itu dengan jin dan manusia bersama-sama.",
32,14,فَذُوقُواْ بِمَا نَسِيتُمۡ لِقَآءَ يَوۡمِكُمۡ هَٰذَآ إِنَّا نَسِينَٰكُمۡۖ وَذُوقُواْ عَذَابَ ٱلۡخُلۡدِ بِمَا كُنتُمۡ تَعۡمَلُونَ,"Maka rasailah olehmu (siksa ini) disebabkan kamu melupakan akan pertemuan dengan harimu ini (hari kiamat).  Sesungguhnya Kami telah melupakan kamu (pula) dan rasakanlah siksa yang kekal disebabkan apa yang selalu kamu kerjakan"".",
32,15,إِنَّمَا يُؤۡمِنُ بِـَٔايَٰتِنَا ٱلَّذِينَ إِذَا ذُكِّرُواْ بِهَا خَرُّواْۤ سُجَّدٗاۤ وَسَبَّحُواْ بِحَمۡدِ رَبِّهِمۡ وَهُمۡ لَا يَسۡتَكۡبِرُونَ۩,"Sesungguhnya orang yang beriman dengan ayat-ayat Kami adalah orang-orang yang apabila diperingatkan dengan ayat-ayat (Kami) mereka menyungkur sujud1193 dan bertasbih serta memuji Tuhan-nya, sedang mereka tidak menyombongkan diri.","1193.  Maksudnya, mereka sujud tunduk patuh kepada Allah Subḥānahu wa Ta‘ālā serta khusyuk.  Disunahkan mengerjakan sujud tilawah, apabila membaca atau mendengar ayat-ayat sajdah yang seperti ini."
32,16,تَتَجَافَىٰ جُنُوبُهُمۡ عَنِ ٱلۡمَضَاجِعِ يَدۡعُونَ رَبَّهُمۡ خَوۡفٗا وَطَمَعٗا وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"Lambung mereka jauh dari tempat tidurnya1194, sedang mereka berdoa kepada Tuhan-nya dengan rasa takut dan harap dan mereka menafkahkan sebagian dari rezeki yang kami berikan kepada mereka."," 1194.  Maksudnya, mereka tidak tidur pada waktu biasanya orang tidur untuk mengerjakan salat malam. "
32,17,فَلَا تَعۡلَمُ نَفۡسٞ مَّآ أُخۡفِيَ لَهُم مِّن قُرَّةِ أَعۡيُنٖ جَزَآءَۢ بِمَا كَانُواْ يَعۡمَلُونَ,"Seorang pun tidak mengetahui apa yang disembunyikan untuk mereka, yaitu (bermacam-macam nikmat) yang menyedapkan padangan mata sebagai balasan terhadap apa yang telah mereka kerjakan.",
32,18,أَفَمَن كَانَ مُؤۡمِنٗا كَمَن كَانَ فَاسِقٗاۚ لَّا يَسۡتَوُۥنَ,Maka apakah orang beriman seperti orang yang fasik (kafir)? Mereka tidak sama.,
32,19,أَمَّا ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ فَلَهُمۡ جَنَّٰتُ ٱلۡمَأۡوَىٰ نُزُلَۢا بِمَا كَانُواْ يَعۡمَلُونَ,"Adapun orang-orang yang beriman dan mengerjakan amal-amal saleh, maka bagi mereka surga-surga tempat kediaman sebagai pahala terhadap apa yang mereka kerjakan.",
