surah,ayah,arabic_text,translation,footnotes
85,1,وَٱلسَّمَآءِ ذَاتِ ٱلۡبُرُوجِ,1. Demi langit yang mempunyai gugusan bintang.,
85,2,وَٱلۡيَوۡمِ ٱلۡمَوۡعُودِ,2. Dan demi hari yang dijanjikan.,
85,3,وَشَاهِدٖ وَمَشۡهُودٖ,3. Demi yang menyaksikan dan yang disaksikan.,
85,4,قُتِلَ أَصۡحَٰبُ ٱلۡأُخۡدُودِ,"4. Binasalah orang-orang yang membuat parit (yaitu para pembesar Najran di Yaman),",
85,5,ٱلنَّارِ ذَاتِ ٱلۡوَقُودِ,"5. yang berapi (yang mempunyai) kayu bakar,",
85,6,إِذۡ هُمۡ عَلَيۡهَا قُعُودٞ,"6. ketika mereka duduk di sekitarnya,",
85,7,وَهُمۡ عَلَىٰ مَا يَفۡعَلُونَ بِٱلۡمُؤۡمِنِينَ شُهُودٞ,7. sedang mereka menyaksikan apa yang mereka perbuat terhadap orang-orang mukmin.,
85,8,وَمَا نَقَمُواْ مِنۡهُمۡ إِلَّآ أَن يُؤۡمِنُواْ بِٱللَّهِ ٱلۡعَزِيزِ ٱلۡحَمِيدِ,"8. Dan mereka menyiksa orang-orang mukmin itu hanya karena (orang-orang mukmin itu) beriman kepada Allah Yang Mahaperkasa, Maha Terpuji,",
85,9,ٱلَّذِي لَهُۥ مُلۡكُ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِۚ وَٱللَّهُ عَلَىٰ كُلِّ شَيۡءٖ شَهِيدٌ,9. Yang memiliki kerajaan langit dan bumi. Dan Allah Maha Menyaksikan segala sesuatu.,
85,10,إِنَّ ٱلَّذِينَ فَتَنُواْ ٱلۡمُؤۡمِنِينَ وَٱلۡمُؤۡمِنَٰتِ ثُمَّ لَمۡ يَتُوبُواْ فَلَهُمۡ عَذَابُ جَهَنَّمَ وَلَهُمۡ عَذَابُ ٱلۡحَرِيقِ,"10. Sungguh, orang-orang yang mendatangkan cobaan (bencana, membunuh, menyiksa) kepada orang-orang mukmin laki-laki dan perempuan, lalu mereka tidak bertaubat, maka mereka akan mendapat azab Jahannam dan mereka akan mendapat azab (neraka) yang membakar.",
85,11,إِنَّ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُمۡ جَنَّٰتٞ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُۚ ذَٰلِكَ ٱلۡفَوۡزُ ٱلۡكَبِيرُ,"11. Sungguh, orang-orang yang beriman dan mengerjakan kebajikan, mereka akan mendapat surga yang mengalir di bawahnya sungai-sungai, itulah kemenangan yang agung.",
85,12,إِنَّ بَطۡشَ رَبِّكَ لَشَدِيدٌ,"12. Sungguh, azab Tuhanmu sangat keras.",
85,13,إِنَّهُۥ هُوَ يُبۡدِئُ وَيُعِيدُ,"13. Sungguh, Dialah yang memulai penciptaan (makhluk) dan yang menghidupkannya (kembali).",
85,14,وَهُوَ ٱلۡغَفُورُ ٱلۡوَدُودُ,"14. Dan Dialah Yang Maha Pengampun, Maha Pengasih.",
85,15,ذُو ٱلۡعَرۡشِ ٱلۡمَجِيدُ,"15. Yang memiliki Arasy, lagi Mahamulia,",
85,16,فَعَّالٞ لِّمَا يُرِيدُ,16. Mahakuasa berbuat apa yang Dia kehendaki.,
85,17,هَلۡ أَتَىٰكَ حَدِيثُ ٱلۡجُنُودِ,"17. Sudahkah sampai kepadamu berita tentang bala tentara (penentang),",
85,18,فِرۡعَوۡنَ وَثَمُودَ,18. (Yaitu) Fir'aun dan Ṡamūd?,
85,19,بَلِ ٱلَّذِينَ كَفَرُواْ فِي تَكۡذِيبٖ,"19. Memang orang-orang kafir (selalu) mendustakan,",
85,20,وَٱللَّهُ مِن وَرَآئِهِم مُّحِيطُۢ,20. Padahal Allah mengepung dari belakang mereka (sehingga tidak dapat lolos).,
85,21,بَلۡ هُوَ قُرۡءَانٞ مَّجِيدٞ,"21. Bahkan (yang didustakan itu) ialah Al-Qur`ān yang mulia,",
85,22,فِي لَوۡحٖ مَّحۡفُوظِۭ,22. Yang (tersimpan) dalam (tempat) yang terjaga (Lauḥ Maḥfuẓ).,
