surah,ayah,arabic,translation
1,,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,慈悲あまねく*慈愛深き*アッラー*の御名において。
1,,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,全創造物の主*、アッラー*に称賛*あれ、
1,,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,慈悲あまねく慈愛深きお方、
1,,مَٰلِكِ يَوۡمِ ٱلدِّينِ,報いの日*の支配者（に）。
1,,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,私たちはあなただけを崇拝*し，あなただけにお力添えを乞います[1]。
1,,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,私たちを、まっすぐな道[1]へとお導きください。
1,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,あなたが恩恵をお授けになった者たち[1]、つまり、（あなたの）お怒りを受けるでもなく、迷うでもない者たち[2]の道へ。[3]
2,,الٓمٓ,アリフ・ラーム・ミーム。[1]
2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,それ（クルアーン*）は疑惑の余地のない啓典、（アッラー*を）畏れる*者たちにとっての導きである。
2,,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,（彼らは）不可視の世界*を信じ、礼拝を遵守し*、われら*が彼らに授けたものから（施しのために）費やす[1]者たち。
2,,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,また（使徒*よ）、あなたに下されたもの（クルアーン*）と、あなた以前に下されたもの（啓典）を信じ、来世をこそ確信する者たち。
2,,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,それらの者たちは、彼らの主*からの導きの上にある者たちである。そしてそれらの者たちこそは、成功者なのだ。
2,,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,（使徒*よ）本当に、不信仰に陥った*者たちは、あなたが彼らに警告しようと警告しまいと同じことで、信じはしない。
2,,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ,アッラー*は彼らの心と聴覚を塞がれたのであり、彼らの視覚には覆いがかけられている[1]。そして彼らには、厳しい懲罰があるのだ。
2,,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ,また人々の中には、信仰者でもないのに、「私たちはアッラー*と最後の日*を信じる」と言う（偽信）者*がいる。
2,,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ,彼らは、アッラーと信仰する者たちを欺いている（と思っている）。（実際は）気付かずに、自らを欺いているに外ならないのに[1]。
2,,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ,彼らの心の中には病[1]があり、アッラー*は彼らに（その）病を上乗せされた。そして彼らには、彼らが嘘をついていたことゆえの、痛ましい懲罰があるのだ。
2,,وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ,また彼らは、「地上で腐敗*を働いてはならない」と言われれば、「私たちは外でもない、改善者だ」と言った。
2,,أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ,本当に彼らこそは、腐敗を働く者たちではないか。しかし彼らは、気づいていないのだ。
2,,وَإِذَا قِيلَ لَهُمۡ ءَامِنُواْ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓاْ أَنُؤۡمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُۗ أَلَآ إِنَّهُمۡ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعۡلَمُونَ,また彼らは、「人々（信仰者たち）が信仰したように、信仰せよ」と言われると、言った。「愚か者たちが信じたように、私たちも信じると言うのか？」本当に彼らこそ、愚か者なのではないか。しかし彼らには、分からないのだ。
2,,وَإِذَا لَقُواْ ٱلَّذِينَ ءَامَنُواْ قَالُوٓاْ ءَامَنَّا وَإِذَا خَلَوۡاْ إِلَىٰ شَيَٰطِينِهِمۡ قَالُوٓاْ إِنَّا مَعَكُمۡ إِنَّمَا نَحۡنُ مُسۡتَهۡزِءُونَ,また、彼らは信仰する者たちに会えば、「私たちは信じる」と言った。そして、彼らのシャイターン*達[1]とだけになれば、（彼らにこう）言ったのだ。「本当に私たちは、あなた方と共にある。私たちは、ただ（彼らを）愚弄する者なのである」。
2,,ٱللَّهُ يَسۡتَهۡزِئُ بِهِمۡ وَيَمُدُّهُمۡ فِي طُغۡيَٰنِهِمۡ يَعۡمَهُونَ,アッラー*が彼らを愚弄されるのだ[1]。そしてかれは、彼らが彷徨うままに、彼らの放埓さに更なる拍車をおかけになる。
2,,أُوْلَٰٓئِكَ ٱلَّذِينَ ٱشۡتَرَوُاْ ٱلضَّلَٰلَةَ بِٱلۡهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمۡ وَمَا كَانُواْ مُهۡتَدِينَ,それらの者たちは導きと引き換えに、迷妄を買った者たち。そして彼らの売買は実を結ばなかったのであり、彼らは導かれた者ではなかったのである。
2,,مَثَلُهُمۡ كَمَثَلِ ٱلَّذِي ٱسۡتَوۡقَدَ نَارٗا فَلَمَّآ أَضَآءَتۡ مَا حَوۡلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمۡ وَتَرَكَهُمۡ فِي ظُلُمَٰتٖ لَّا يُبۡصِرُونَ,彼ら（偽信者*）の状態は、火を灯して（それが）自分の回りを照らしたかと思いきや、アッラー*がその明かりを消し去られ、闇の中に何も見えないまま放置された者のようである。[1]
2,,صُمُّۢ بُكۡمٌ عُمۡيٞ فَهُمۡ لَا يَرۡجِعُونَ,（彼らは真理において）聾で、唖で、盲人[1]であり、（迷妄から信仰へと）戻ることがない。
2,,أَوۡ كَصَيِّبٖ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٞ وَرَعۡدٞ وَبَرۡقٞ يَجۡعَلُونَ أَصَٰبِعَهُمۡ فِيٓ ءَاذَانِهِم مِّنَ ٱلصَّوَٰعِقِ حَذَرَ ٱلۡمَوۡتِۚ وَٱللَّهُ مُحِيطُۢ بِٱلۡكَٰفِرِينَ,あるいは（彼らは）、闇と雷鳴[1]と稲光を伴う、天からの大雨（の中にある者たち）のよう。彼らは死を恐れ、電ゆえに指でその耳を塞ぐ[2]。アッラー*は、不信仰者*たちを悉く包囲される*お方。
2,,يَكَادُ ٱلۡبَرۡقُ يَخۡطَفُ أَبۡصَٰرَهُمۡۖ كُلَّمَآ أَضَآءَ لَهُم مَّشَوۡاْ فِيهِ وَإِذَآ أَظۡلَمَ عَلَيۡهِمۡ قَامُواْۚ وَلَوۡ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمۡعِهِمۡ وَأَبۡصَٰرِهِمۡۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ,稲光は、彼らの視覚を奪わんばかり。彼らは（それが）彼らを照らす度に歩を進め、暗闇が彼らを覆うと立ち止まる。そして、もしアッラー*がお望みなら、彼らの聴覚と視覚をお取り去りになったのである。本当にアッラー*は、全てのことがお出来のお方なのだから。
2,,يَٰٓأَيُّهَا ٱلنَّاسُ ٱعۡبُدُواْ رَبَّكُمُ ٱلَّذِي خَلَقَكُمۡ وَٱلَّذِينَ مِن قَبۡلِكُمۡ لَعَلَّكُمۡ تَتَّقُونَ,人々よ、あなた方と、それ以前の者たちを創造されたあなた方の主*（アッラー*）を崇拝*するのだ。それはあなた方が、敬虔*になるためである。
2,,ٱلَّذِي جَعَلَ لَكُمُ ٱلۡأَرۡضَ فِرَٰشٗا وَٱلسَّمَآءَ بِنَآءٗ وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءٗ فَأَخۡرَجَ بِهِۦ مِنَ ٱلثَّمَرَٰتِ رِزۡقٗا لَّكُمۡۖ فَلَا تَجۡعَلُواْ لِلَّهِ أَندَادٗا وَأَنتُمۡ تَعۡلَمُونَ,あなた方のために大地を敷物とされ、空を屋根とされ、天からは（雨）水をお降らしになり、あなた方の糧とすべく、それにより（様々な）果実を実らせられたお方を。ならば（アッラー*が唯一の主*であり、崇拝*すべきお方だと）知りつつ、アッラー*に同位者を設けて（崇拝*して）はならない。
2,,وَإِن كُنتُمۡ فِي رَيۡبٖ مِّمَّا نَزَّلۡنَا عَلَىٰ عَبۡدِنَا فَأۡتُواْ بِسُورَةٖ مِّن مِّثۡلِهِۦ وَٱدۡعُواْ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِن كُنتُمۡ صَٰدِقِينَ,（不信仰者*たちよ、）もしあなた方が、われら*がわれら*の僕（ムハンマド*）に下したもの（クルアーン*）について疑惑を抱いているのなら、それと同等のスーラ*を一つでもよいから創作し、アッラー*以外のあなた方の証人（の助け）を呼んでみるがいい。もしあなた方が、本当のことを言っているというのならば[1]。
2,,فَإِن لَّمۡ تَفۡعَلُواْ وَلَن تَفۡعَلُواْ فَٱتَّقُواْ ٱلنَّارَ ٱلَّتِي وَقُودُهَا ٱلنَّاسُ وَٱلۡحِجَارَةُۖ أُعِدَّتۡ لِلۡكَٰفِرِينَ,そして、もしそう出来ないのなら——あなた方は絶対にそう出来ないのだが——、（預言者*への信仰とアッラー*への服従によって、）その燃料が人間と石である（地獄の）炎から身を守るのだ[1]。それは不信仰者*たちのために準備されている。
2,,وَبَشِّرِ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ أَنَّ لَهُمۡ جَنَّٰتٖ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُۖ كُلَّمَا رُزِقُواْ مِنۡهَا مِن ثَمَرَةٖ رِّزۡقٗا قَالُواْ هَٰذَا ٱلَّذِي رُزِقۡنَا مِن قَبۡلُۖ وَأُتُواْ بِهِۦ مُتَشَٰبِهٗاۖ وَلَهُمۡ فِيهَآ أَزۡوَٰجٞ مُّطَهَّرَةٞۖ وَهُمۡ فِيهَا خَٰلِدُونَ,また（使徒*よ）、信仰して正しい行い*を行う者たちには、彼らのために、その下から河川が流れる楽園があるという吉報を伝えよ。かれらはそこで果実の糧を授かるたびに「これは、私たちが以前授かっていたものだ」と言う——彼らには、似たものが授けられるのだ[1]――。またそこには彼らのために、純潔な妻[2]たちがいる。彼らはそこに永遠に住むのである。
2,,۞ إِنَّ ٱللَّهَ لَا يَسۡتَحۡيِۦٓ أَن يَضۡرِبَ مَثَلٗا مَّا بَعُوضَةٗ فَمَا فَوۡقَهَاۚ فَأَمَّا ٱلَّذِينَ ءَامَنُواْ فَيَعۡلَمُونَ أَنَّهُ ٱلۡحَقُّ مِن رَّبِّهِمۡۖ وَأَمَّا ٱلَّذِينَ كَفَرُواْ فَيَقُولُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَٰذَا مَثَلٗاۘ يُضِلُّ بِهِۦ كَثِيرٗا وَيَهۡدِي بِهِۦ كَثِيرٗاۚ وَمَا يُضِلُّ بِهِۦٓ إِلَّا ٱلۡفَٰسِقِينَ,本当にアッラー*は、蚊やそれ以上の（取るに足らない）ものでも、譬えとされることを恥じたりはなされない[1]。信仰する者たちはといえば、それが主*からの真理であるということを知る。そして一方、不信仰に陥った*者たちは、「アッラー*は、この譬えで何を望んだのか？」などと言う。かれはそれ（試練）によって多くの者を迷わせ、また多くの者を導かれるのだ。かれが迷わせられるのは、放逸な者たちだけである。
2,,ٱلَّذِينَ يَنقُضُونَ عَهۡدَ ٱللَّهِ مِنۢ بَعۡدِ مِيثَٰقِهِۦ وَيَقۡطَعُونَ مَآ أَمَرَ ٱللَّهُ بِهِۦٓ أَن يُوصَلَ وَيُفۡسِدُونَ فِي ٱلۡأَرۡضِۚ أُوْلَٰٓئِكَ هُمُ ٱلۡخَٰسِرُونَ,（彼らは）アッラー*との契約[1]をその確約後に破り、アッラー*が繋ぎとめられるよう命じられたものを断って[2]、地上で腐敗*を働く者たち。それらの者たちこそは、損失者である。
2,,كَيۡفَ تَكۡفُرُونَ بِٱللَّهِ وَكُنتُمۡ أَمۡوَٰتٗا فَأَحۡيَٰكُمۡۖ ثُمَّ يُمِيتُكُمۡ ثُمَّ يُحۡيِيكُمۡ ثُمَّ إِلَيۡهِ تُرۡجَعُونَ,（シルク*の徒よ、）あなた方はどうして、アッラー*を否定するのか？かれは、（創造される以前、）死んでいる状態にあったあなた方に生命をお授けけになり、やがてあなた方を死なせ給い、そして（また復活の日*には）あなた方に生をお授けになり、それからあなた方はかれの御許に戻される[1]というのに？
2,,هُوَ ٱلَّذِي خَلَقَ لَكُم مَّا فِي ٱلۡأَرۡضِ جَمِيعٗا ثُمَّ ٱسۡتَوَىٰٓ إِلَى ٱلسَّمَآءِ فَسَوَّىٰهُنَّ سَبۡعَ سَمَٰوَٰتٖۚ وَهُوَ بِكُلِّ شَيۡءٍ عَلِيمٞ,かれは地上にある全てのものをあなた方のために創造され、それから天（の創造）をお望みになり、七層の天を完成されたお方。そしてかれは、全てのことをご存知のお方なのである。
2,,وَإِذۡ قَالَ رَبُّكَ لِلۡمَلَٰٓئِكَةِ إِنِّي جَاعِلٞ فِي ٱلۡأَرۡضِ خَلِيفَةٗۖ قَالُوٓاْ أَتَجۡعَلُ فِيهَا مَن يُفۡسِدُ فِيهَا وَيَسۡفِكُ ٱلدِّمَآءَ وَنَحۡنُ نُسَبِّحُ بِحَمۡدِكَ وَنُقَدِّسُ لَكَۖ قَالَ إِنِّيٓ أَعۡلَمُ مَا لَا تَعۡلَمُونَ,（使徒*よ、）あなたの主*が天使*たちに、「本当にわれは、地上に継承者[1]を置こう」と仰せられた時のこと（を、人々に思い起こさせよ）。彼ら（天使*たち）は申し上げた。「あなたはそこで腐敗を働き、血を流すものを（継承者として）置かれるのですか？私たちはあなたへの称賛*と共に（あなたを）称え*、あなたを神聖なお方として崇めていますのに」。かれは仰せられた。「本当にわれは、あなた方が知らないことを知っているのだ」。
2,,وَعَلَّمَ ءَادَمَ ٱلۡأَسۡمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمۡ عَلَى ٱلۡمَلَٰٓئِكَةِ فَقَالَ أَنۢبِـُٔونِي بِأَسۡمَآءِ هَٰٓؤُلَآءِ إِن كُنتُمۡ صَٰدِقِينَ,かれはアーダム*に、（物の）名を全てお教えになった。それからそれらを天使*たちに示して、仰せられた。「これらの物の名を、われに告げてみよ。もしあなた方が、真実を語っているというのであれば」。
2,,قَالُواْ سُبۡحَٰنَكَ لَا عِلۡمَ لَنَآ إِلَّا مَا عَلَّمۡتَنَآۖ إِنَّكَ أَنتَ ٱلۡعَلِيمُ ٱلۡحَكِيمُ,彼らは申し上げた。「あなたに称え*あれ。あなたが私たちに教えて下さったもの以外、私たちには知識などございません。あなたこそは全知者、英知あふれる*お方なのですから」。
2,,قَالَ يَٰٓـَٔادَمُ أَنۢبِئۡهُم بِأَسۡمَآئِهِمۡۖ فَلَمَّآ أَنۢبَأَهُم بِأَسۡمَآئِهِمۡ قَالَ أَلَمۡ أَقُل لَّكُمۡ إِنِّيٓ أَعۡلَمُ غَيۡبَ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَأَعۡلَمُ مَا تُبۡدُونَ وَمَا كُنتُمۡ تَكۡتُمُونَ,かれらは仰せられた。「アーダム*よ、彼ら（天使*たち）にそれらの名を告げてやるがよい」。そして彼（アーダム*）がそれらを彼らに告げた時、かれは仰せられた。「一体われは、あなた方に言わなかったのか？われこそは諸天と大地における不可視の世界*も、あなた方が露わにすることも隠すことも知っているのだ、ということを」。
2,,وَإِذۡ قُلۡنَا لِلۡمَلَٰٓئِكَةِ ٱسۡجُدُواْ لِأٓدَمَ فَسَجَدُوٓاْ إِلَّآ إِبۡلِيسَ أَبَىٰ وَٱسۡتَكۡبَرَ وَكَانَ مِنَ ٱلۡكَٰفِرِينَ,われら*が天使*たちに「アーダム*にサジダ*せよ[1]」と言い、そして彼らがサジダ*した時のこと（を思い起こさせよ）。但しイブリース*は、別だった。彼は（サジダ*を）拒絶し、驕り高ぶり、不信仰者*となった。[2]
2,,وَقُلۡنَا يَٰٓـَٔادَمُ ٱسۡكُنۡ أَنتَ وَزَوۡجُكَ ٱلۡجَنَّةَ وَكُلَا مِنۡهَا رَغَدًا حَيۡثُ شِئۡتُمَا وَلَا تَقۡرَبَا هَٰذِهِ ٱلشَّجَرَةَ فَتَكُونَا مِنَ ٱلظَّٰلِمِينَ,そしてわれら*は言った。「アーダム*よ、あなたとあなたの妻は楽園[1]に住んで、その中のどこでも望む所から快く存分に食べるがよい。そして、この木[2]には近づいて（その実を食べて）はならない。（そうすれば）あなた方は、不正*者になってしまうから」。
2,,فَأَزَلَّهُمَا ٱلشَّيۡطَٰنُ عَنۡهَا فَأَخۡرَجَهُمَا مِمَّا كَانَا فِيهِۖ وَقُلۡنَا ٱهۡبِطُواْ بَعۡضُكُمۡ لِبَعۡضٍ عَدُوّٞۖ وَلَكُمۡ فِي ٱلۡأَرۡضِ مُسۡتَقَرّٞ وَمَتَٰعٌ إِلَىٰ حِينٖ,するとシャイターン*は、それ（木）で二人を（唆して足を）滑らさせ、彼らがいた場所から追い出してしまった[1]。われら*は言った。「あなた方は（シャイターン*と）互いに敵となって、（楽園から）落ちて行け。そしてあなた方には地上で、暫しの[2]住まいと楽しみがある」。
2,,فَتَلَقَّىٰٓ ءَادَمُ مِن رَّبِّهِۦ كَلِمَٰتٖ فَتَابَ عَلَيۡهِۚ إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ,それからアーダム*は、彼の主*から御言葉[1]を授かった。そして（その御言葉で悔悟し）、かれらはその悔悟をお受け入れになった。本当にかれこそは、よく悔悟をお受け入れになる*お方、慈愛深い*お方なのだから。
2,,قُلۡنَا ٱهۡبِطُواْ مِنۡهَا جَمِيعٗاۖ فَإِمَّا يَأۡتِيَنَّكُم مِّنِّي هُدٗى فَمَن تَبِعَ هُدَايَ فَلَا خَوۡفٌ عَلَيۡهِمۡ وَلَا هُمۡ يَحۡزَنُونَ,われら*は言った、「あなた方は皆、そこ（楽園）から落ちて行け。そして、もしあなた方にわが御許から導き（使徒*と啓典）が到来した時、わが導きに従う者があれば、彼らには恐れもなければ、悲しむこともない[1]。
2,,وَٱلَّذِينَ كَفَرُواْ وَكَذَّبُواْ بِـَٔايَٰتِنَآ أُوْلَٰٓئِكَ أَصۡحَٰبُ ٱلنَّارِۖ هُمۡ فِيهَا خَٰلِدُونَ,そして、われら*の御徴[1]を否定し、それを嘘とした者たちは（地獄の）業火の民。かれらはそこに、永遠に留まるのだ」。
2,,يَٰبَنِيٓ إِسۡرَٰٓءِيلَ ٱذۡكُرُواْ نِعۡمَتِيَ ٱلَّتِيٓ أَنۡعَمۡتُ عَلَيۡكُمۡ وَأَوۡفُواْ بِعَهۡدِيٓ أُوفِ بِعَهۡدِكُمۡ وَإِيَّٰيَ فَٱرۡهَبُونِ,イスラーイールの子ら*よ、われがあなた方に授けたわが恩恵を思い起こし、われとの契約を全うせよ[1]。（そうすれば）われも、あなた方との契約を全うしよう[2]。そして、われだけを恐れるのだ。
2,,وَءَامِنُواْ بِمَآ أَنزَلۡتُ مُصَدِّقٗا لِّمَا مَعَكُمۡ وَلَا تَكُونُوٓاْ أَوَّلَ كَافِرِۭ بِهِۦۖ وَلَا تَشۡتَرُواْ بِـَٔايَٰتِي ثَمَنٗا قَلِيلٗا وَإِيَّٰيَ فَٱتَّقُونِ,また、われがあなた方の許にあるものの確証として下したもの（クルアーン*）を、信じよ。それを否定する者たちの先駆けとなってはならない。そして、われの御徴と引き換えに僅かな値打ちのものを買ったりせず、われだけを畏れ*よ。
