surah,ayah,arabic_text,translation,footnotes
69,1,ٱلۡحَآقَّةُ,真実（である復活の日*）、,
69,2,مَا ٱلۡحَآقَّةُ,真実（である復活の日*）とは何か？,
69,3,وَمَآ أَدۡرَىٰكَ مَا ٱلۡحَآقَّةُ,（使徒*よ、）あなたに、真実（である復活の日*）が何かということを知らせるものは、何か？,
69,4,كَذَّبَتۡ ثَمُودُ وَعَادُۢ بِٱلۡقَارِعَةِ,サムード*とアード*は、（恐怖による）衝撃（である復活の日*）を噓呼ばわりした。,
69,5,فَأَمَّا ثَمُودُ فَأُهۡلِكُواْ بِٱلطَّاغِيَةِ,それでサムード*はといえば、甚だしいものによって[1]滅ぼされた。,[1]　この「甚だしいものによって」には、「（轟きの）一声によって」「罪ゆえに」「雌ラクダを屠（ほふ）った者（高壁章７７とその訳注を参照）ゆえに」といった解釈がある（イブン・カスィール＊；2０８参照）。尚、サムード*に下された懲罰の詳細については、頻出名・用語解説の「サムード*」の項を参照。
69,6,وَأَمَّا عَادٞ فَأُهۡلِكُواْ بِرِيحٖ صَرۡصَرٍ عَاتِيَةٖ,またアード*はといえば、凄まじい咆哮の暴風によって滅ぼされた。,
69,7,سَخَّرَهَا عَلَيۡهِمۡ سَبۡعَ لَيَالٖ وَثَمَٰنِيَةَ أَيَّامٍ حُسُومٗاۖ فَتَرَى ٱلۡقَوۡمَ فِيهَا صَرۡعَىٰ كَأَنَّهُمۡ أَعۡجَازُ نَخۡلٍ خَاوِيَةٖ,かれ（アッラー*）はそれ（暴風）で彼らを、七晩と八昼に渡って続けざまに制圧した。あなたはその民がその（暴風の）中で、まるで空洞になったナツメヤシの木の根幹のようになぎ倒されているのを見る。,
69,8,فَهَلۡ تَرَىٰ لَهُم مِّنۢ بَاقِيَةٖ,あなたは彼らの内、一人でも（その懲罰から生き）残った者を見出すのか？,
69,9,وَجَآءَ فِرۡعَوۡنُ وَمَن قَبۡلَهُۥ وَٱلۡمُؤۡتَفِكَٰتُ بِٱلۡخَاطِئَةِ,また、フィルアウン*とそれ以前の（不信仰）者*、転覆した町々[1]は、罪[2]を犯した。,[1]　「転覆した町々」については、悔悟章７０の訳注を参照。それが滅ぼされた時の様子については、フード*章８2－８３、アル＝ヒジュル章７３－７４を参照。 [2]　この「罪」は、不信仰、シルク*、醜行などのこと（ムヤッサル５６７頁参照）。
69,10,فَعَصَوۡاْ رَسُولَ رَبِّهِمۡ فَأَخَذَهُمۡ أَخۡذَةٗ رَّابِيَةً,彼らは自分たちの主*の使徒*に逆らった。それで、かれ（（アッラー*）は途轍もない罰で彼らを罰した。,
69,11,إِنَّا لَمَّا طَغَا ٱلۡمَآءُ حَمَلۡنَٰكُمۡ فِي ٱلۡجَارِيَةِ,本当にわれら*は、（洪水で）水が溢れた時、あなた方（の先祖であるヌーフ*と、彼と共にあった者たち）を、走るもの（船）に乗せて運んだ。[1],[1]　この出来事の描写は、フード*章４０－４８に詳しい。
69,12,لِنَجۡعَلَهَا لَكُمۡ تَذۡكِرَةٗ وَتَعِيَهَآ أُذُنٞ وَٰعِيَةٞ,（それは、）われら*がそれ[1]をあなた方への教訓とし、分別ある耳がそれを分別（し、記憶）するためである。,[1]　「それ」とは、信仰者が救われ、不信仰者*は溺（おぼ）れ死んだという、その出来事のことを指す（前掲書、同頁参照）。
69,13,فَإِذَا نُفِخَ فِي ٱلصُّورِ نَفۡخَةٞ وَٰحِدَةٞ,角笛に一吹き、吹き込まれ、[1],[1]　これは、一回目の吹き込みのこと（前掲書、同頁参照）。家畜章７３の訳注も参照。
69,14,وَحُمِلَتِ ٱلۡأَرۡضُ وَٱلۡجِبَالُ فَدُكَّتَا دَكَّةٗ وَٰحِدَةٗ,大地と山々が（元の場所から）運ばれ、それらが一撃のもと粉々にされる時、[1],[1]　復活の日*の天変地異の様子については洞窟章４７、ター・ハー章1０５－1０７、蟻章８８、山章９－1０、出来事章５－６、衣を纏（まと）う 者章1４、階段章８－９、消息章2０、巻き込む章３、衝撃章４－５なども参照。
69,15,فَيَوۡمَئِذٖ وَقَعَتِ ٱلۡوَاقِعَةُ,その日、（復活の日*という）出来事は起こる。,
69,16,وَٱنشَقَّتِ ٱلسَّمَآءُ فَهِيَ يَوۡمَئِذٖ وَاهِيَةٞ,また天は裂け、それはその日脆くなる。,
69,17,وَٱلۡمَلَكُ عَلَىٰٓ أَرۡجَآئِهَاۚ وَيَحۡمِلُ عَرۡشَ رَبِّكَ فَوۡقَهُمۡ يَوۡمَئِذٖ ثَمَٰنِيَةٞ,そして天使*は（天の）その方々にあり、八名（の天使*）がその日、あなたの主*の御座[1]をその上に担ぐ。[2],[1]　「御座」については、高壁章５４の訳注を参照。 [2]　同様の状況を示すアーヤ*として、雌牛章21０とその訳注、識別章2５、暁章22も参照。
69,18,يَوۡمَئِذٖ تُعۡرَضُونَ لَا تَخۡفَىٰ مِنكُمۡ خَافِيَةٞ,（人々よ、）その日、あなた方は（清算と報いへと）差し出されるのだ。あなた方のいかなる秘め事も、（アッラー*から）隠しおおせはしない。,
69,19,فَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ بِيَمِينِهِۦ فَيَقُولُ هَآؤُمُ ٱقۡرَءُواْ كِتَٰبِيَهۡ,自分の（行いの）帳簿を右手に渡された者はといえば、（嬉々として、こう）言う。「お取り下さい、我が帳簿をお読み下さい。[1],[1]　高壁章８の訳注も参照。また、この時の様子については夜の旅章1３－1４、７1とその訳注、洞窟章４９、割れる章７以降なども参照。
69,20,إِنِّي ظَنَنتُ أَنِّي مُلَٰقٍ حِسَابِيَهۡ,私は、我が清算と面会することを、（現世で）確信していたのですから」。,
69,21,فَهُوَ فِي عِيشَةٖ رَّاضِيَةٖ,彼は、満足する生活の中にある、,
69,22,فِي جَنَّةٍ عَالِيَةٖ,高き楽園の中。,
69,23,قُطُوفُهَا دَانِيَةٞ,その果実の房は、手近にある。,
69,24,كُلُواْ وَٱشۡرَبُواْ هَنِيٓـَٔۢا بِمَآ أَسۡلَفۡتُمۡ فِي ٱلۡأَيَّامِ ٱلۡخَالِيَةِ,（彼らには、こう言われる。）「過ぎ去った（現世での）日々において、あなた方が既に行った（正しい）ことゆえ、おいしく食べ、飲むがよい」。,
69,25,وَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ بِشِمَالِهِۦ فَيَقُولُ يَٰلَيۡتَنِي لَمۡ أُوتَ كِتَٰبِيَهۡ,そして、自分の（行いの）帳簿を左手に渡された者[1]はといえば、（悔しがって、こう）言う。「我が帳簿など渡されることがなかったら、よかったのに。,[1]　割れる章1０と、その訳注も参照。
69,26,وَلَمۡ أَدۡرِ مَا حِسَابِيَهۡ,我が清算など、知らなければよかった。,
69,27,يَٰلَيۡتَهَا كَانَتِ ٱلۡقَاضِيَةَ,あれが終結であれば、よかったのに。[1],[1]　つまり復活などなく、現世での死で全てが終わっていればよかったのに、ということ（ムヤッサル５６７頁参照）。
69,28,مَآ أَغۡنَىٰ عَنِّي مَالِيَهۡۜ,我が財産は、私の役に立たなかった。,
69,29,هَلَكَ عَنِّي سُلۡطَٰنِيَهۡ,（言い訳に出来る）我が根拠[1]は、私から消え失せてしまったのだ」。,[1]　「根拠」ではなく、「王権、力」といった少数派の見解もある（アル＝バガウィー５：1４８参照）。
69,30,خُذُوهُ فَغُلُّوهُ,（地獄の番人たちに、こう言われる。）「彼を捕まえ、（枷で）縛りつけよ。,
69,31,ثُمَّ ٱلۡجَحِيمَ صَلُّوهُ,それから彼を地獄に入れて、炙ってやれ。,
69,32,ثُمَّ فِي سِلۡسِلَةٖ ذَرۡعُهَا سَبۡعُونَ ذِرَاعٗا فَٱسۡلُكُوهُ,それから、七十腕尺[1]の長さの鎖の中に、彼を巻き入れよ。,[1]　アル＝ハサン*は言った。「それがいかなる（基準による）腕尺かは、アッラー*が最もよくご存知である」（前掲書、同頁参照）。
69,33,إِنَّهُۥ كَانَ لَا يُؤۡمِنُ بِٱللَّهِ ٱلۡعَظِيمِ,本当に彼は、この上なく偉大な*アッラー*を信じておらず、,
69,34,وَلَا يَحُضُّ عَلَىٰ طَعَامِ ٱلۡمِسۡكِينِ,貧者*たちに食べ物を施すことを、勧めてもいなかったのだから。,
69,35,فَلَيۡسَ لَهُ ٱلۡيَوۡمَ هَٰهُنَا حَمِيمٞ,ゆえにこの日、彼にはそこで（懲罰から守ってくれる）、近しい者もいなければ、,
69,36,وَلَا طَعَامٌ إِلَّا مِنۡ غِسۡلِينٖ,（地獄の徒の体から出る）膿[1]ぐらいしか、食べ物もない。,[1]　この「膿（ギスリーン）」には、「地獄の徒が食べる木」「地獄の徒の血肉」「ザックームの木（夜の旅章６０「呪われた木」の訳注を参照）」といった解釈もある（アル＝クルトゥビー1８：2７３参照）。
69,37,لَّا يَأۡكُلُهُۥٓ إِلَّا ٱلۡخَٰطِـُٔونَ,それを食べるのは、（不信仰による）罪深い者たちのみである」。,
69,38,فَلَآ أُقۡسِمُ بِمَا تُبۡصِرُونَ,われはまさに、あなた方が見えるものにおいて、誓う。[1],[1]　この誓いについては、整列者章1の訳注を参照。
69,39,وَمَا لَا تُبۡصِرُونَ,また、あなた方が見えないものにおいて（、誓う）。,
69,40,إِنَّهُۥ لَقَوۡلُ رَسُولٖ كَرِيمٖ,本当にそれ（クルアーン*）は、まさしく高貴なる使徒*の（読誦する、アッラー*の）言葉。,
69,41,وَمَا هُوَ بِقَوۡلِ شَاعِرٖۚ قَلِيلٗا مَّا تُؤۡمِنُونَ,そしてそれは、詩人の言葉などではない。あなた方が信じることの、少ないことよ。,
69,42,وَلَا بِقَوۡلِ كَاهِنٖۚ قَلِيلٗا مَّا تَذَكَّرُونَ,また、占い師[1]の言葉でもない。あなた方が教訓を受けることの、少ないことよ。,[1]　「占い師」については、山章2９の訳注を参照。
69,43,تَنزِيلٞ مِّن رَّبِّ ٱلۡعَٰلَمِينَ,（クルアーン*は）全創造物の主*アッラー*からの、降示なのである。,
69,44,وَلَوۡ تَقَوَّلَ عَلَيۡنَا بَعۡضَ ٱلۡأَقَاوِيلِ,もし、彼（ムハンマド*）がわれら*に対し、いくらかでも（われら*が言っていない）言葉を捏造したのであれば、,
