surah,ayah,arabic_text,translation,footnotes
101,1,ٱلۡقَارِعَةُ,អាល់ករីអះ។,
101,2,مَا ٱلۡقَارِعَةُ,តើអាល់ករីអះជាអ្វី ?,
101,3,وَمَآ أَدۡرَىٰكَ مَا ٱلۡقَارِعَةُ,តើអ្វីដែលធ្វើឱ្យអ្នកដឹងថា អាល់ករីអះជាអ្វីនោះ?,
101,4,يَوۡمَ يَكُونُ ٱلنَّاسُ كَٱلۡفَرَاشِ ٱلۡمَبۡثُوثِ,គឺជាថ្ងៃដែលមនុស្សលោកប្រៀបដូចជាហ្វូងសត្វមេអំបៅ ដែលហើរប្រសេចប្រសាច។,
101,5,وَتَكُونُ ٱلۡجِبَالُ كَٱلۡعِهۡنِ ٱلۡمَنفُوشِ,ហើយភ្នំទាំងឡាយប្រៀបដូចជារោមសត្វដែលត្រូវគេធ្វើឱ្យប៉ើង។,
101,6,فَأَمَّا مَن ثَقُلَتۡ مَوَٰزِينُهُۥ,ហើយរីឯអ្នកណាដែលភ្នែកជញ្ជីងរបស់គេធ្ងន់(ខាងអំពើល្អ)នោះ។,
101,7,فَهُوَ فِي عِيشَةٖ رَّاضِيَةٖ,គឺគេនឹងស្ថិតក្នុងការរស់នៅប្រកបដោយក្ដីពេញចិត្ដ(នៅ ក្នុងឋានសួគ៌)។,
101,8,وَأَمَّا مَنۡ خَفَّتۡ مَوَٰزِينُهُۥ,ហើយចំណែកឯអ្នកណាដែលភ្នែកជញ្ជីងរបស់គេស្រាល (ខាងអំពើល្អ)នោះ។,
101,9,فَأُمُّهُۥ هَاوِيَةٞ,ទីលំនៅរបស់គេគឺនរកហាវីយ៉ះ(រណ្ដៅនរកដ៏ជ្រៅ)។,
101,10,وَمَآ أَدۡرَىٰكَ مَا هِيَهۡ,តើអ្វីដែលធ្វើឱ្យអ្នកដឹងថាវាជាអ្វីនោះ?,
101,11,نَارٌ حَامِيَةُۢ,វាគឺជាភ្លើងនរកដ៏សែនក្ដៅ។,
