surah,ayah,arabic,translation
1,,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,ಪರಮ ದಯಾಮಯನೂ ಕರುಣಾನಿಧಿಯೂ ಆದ ಅಲ್ಲಾಹನ ನಾಮದಿಂದ.[1]
1,,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,ಸರ್ವಲೋಕಗಳ ಪರಿಪಾಲಕನಾದ[1] ಅಲ್ಲಾಹನಿಗೆ ಸರ್ವಸ್ತುತಿ.[2]
1,,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"ಪರಮ ದಯಾಮಯ, ಕರುಣಾನಿಧಿ,[1]"
1,,مَٰلِكِ يَوۡمِ ٱلدِّينِ,ಪ್ರತಿಫಲದ ದಿನದ ಒಡೆಯ.[1]
1,,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,ನಾವು ನಿನ್ನನ್ನು ಮಾತ್ರ ಆರಾಧಿಸುತ್ತೇವೆ;[1] ಮತ್ತು ನಿನ್ನಿಂದ ಮಾತ್ರ ಸಹಾಯ ಬೇಡುತ್ತೇವೆ.[2]
1,,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,ನಮಗೆ ನೇರ ಮಾರ್ಗವನ್ನು ತೋರಿಸು.
1,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,ನೀನು ಅನುಗ್ರಹಿಸಿದವರ ಮಾರ್ಗವನ್ನು. (ನಿನ್ನ) ಕೋಪಕ್ಕೆ ಪಾತ್ರರಾದವರ ಮಾರ್ಗವನ್ನಲ್ಲ; ದಾರಿತಪ್ಪಿದವರ ಮಾರ್ಗವನ್ನೂ ಅಲ್ಲ.[1]
2,,الٓمٓ,ಅಲಿಫ್-ಲಾಮ್-ಮೀಮ್.[1]
2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,ಈ ಗ್ರಂಥದಲ್ಲಿ ಯಾವುದೇ ಸಂದೇಹವಿಲ್ಲ; ಇದು ದೇವಭಯವುಳ್ಳವರಿಗೆ ಸನ್ಮಾರ್ಗವನ್ನು ತೋರಿಸುತ್ತದೆ.
2,,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"ಅವರು (ದೇವಭಯವುಳ್ಳವರು) ಯಾರೆಂದರೆ, ಅದೃಶ್ಯ ವಿಷಯಗಳಲ್ಲಿ[1] ವಿಶ್ವಾಸವಿಡುವವರು, ನಮಾಝ್ ಸಂಸ್ಥಾಪಿಸುವವರು ಮತ್ತು ನಾವು ಅವರಿಗೆ ಒದಗಿಸಿದ (ಧನದಿಂದ) ಖರ್ಚು ಮಾಡುವವರು."
