surah,ayah,arabic_text,translation,footnotes
80,1,عَبَسَ وَتَوَلَّىٰٓ,ಅವರು (ಪ್ರವಾದಿ) ಮುಖ ಸಿಂಡರಿಸಿದರು ಮತ್ತು ವಿಮುಖರಾದರು.,
80,2,أَن جَآءَهُ ٱلۡأَعۡمَىٰ,ಒಬ್ಬ ಕುರುಡ ಅವರ ಬಳಿಗೆ ಬಂದರು ಎಂಬ ಕಾರಣದಿಂದ.[1],"[1] ಒಮ್ಮೆ ಪ್ರವಾದಿಯವರು (ಅವರ ಮೇಲೆ ಅಲ್ಲಾಹನ ಕೃಪೆ ಮತ್ತು ಶಾಂತಿಯಿರಲಿ) ಕುರೈಷ್ ಮುಖಂಡರಿಗೆ ಧರ್ಮದ ವಿಷಯಗಳನ್ನು ಹೇಳಿಕೊಟ್ಟು ಇಸ್ಲಾಂಗೆ ಆಮಂತ್ರಿಸುತ್ತಿದ್ದಾಗ, ಅವರ ಅನುಯಾಯಿಗಳಲ್ಲಿ ಒಬ್ಬರಾದ ಇಬ್ನ್ ಉಮ್ಮ್ ಮಕ್ತೂಮ್ (ಅಲ್ಲಾಹು ಅವರ ಬಗ್ಗೆ ಸಂಪ್ರೀತನಾಗಲಿ) ಅಲ್ಲಿಗೆ ಬಂದು ಏನೋ ಕೇಳಿದರು. ಅವರು ಕುರುಡರಾಗಿದ್ದರು. ಆದರೆ ಪ್ರವಾದಿಯವರು (ಅವರ ಮೇಲೆ ಅಲ್ಲಾಹನ ಕೃಪೆ ಮತ್ತು ಶಾಂತಿಯಿರಲಿ) ಅವರ ಕಡೆಗೆ ಗಮನಹರಿಸದೆ ಕುರೈಷ್ ಮುಖಂಡರಿಗೆ ಆಮಂತ್ರಣ ನೀಡುವುದನ್ನು ಮುಂದುವರಿಸಿದರು. ಇದನ್ನು ಇಲ್ಲಿ ವಿಮರ್ಶಿಸಲಾಗಿದೆ."
80,3,وَمَا يُدۡرِيكَ لَعَلَّهُۥ يَزَّكَّىٰٓ,(ಪ್ರವಾದಿಯವರೇ!) ನಿಮಗೇನು ಗೊತ್ತು? ಆ ಕುರುಡರು ಪರಿಶುದ್ಧತೆಯನ್ನು ಪಡೆಯಬಹುದು.,
80,4,أَوۡ يَذَّكَّرُ فَتَنفَعَهُ ٱلذِّكۡرَىٰٓ,"ಅಥವಾ ಉಪದೇಶಕ್ಕೆ ಕಿವಿಗೊಟ್ಟು, ಆ ಉಪದೇಶವು ಅವರಿಗೆ ಪ್ರಯೋಜನವಾಗಬಹುದು.",
80,5,أَمَّا مَنِ ٱسۡتَغۡنَىٰ,"ಆದರೆ ಯಾರು ತನ್ನನ್ನು ತಾನೇ ಸ್ವಯಂ-ಪರ್ಯಾಪ್ತನೆಂದು ಪರಿಗಣಿಸುತ್ತಾನೋ,",
80,6,فَأَنتَ لَهُۥ تَصَدَّىٰ,ಅವನ ಕಡೆಗೆ ನೀವು ಪೂರ್ಣ ಗಮನ ಹರಿಸಿದಿರಿ.[1],[1] ಅಂದರೆ ನೀವು ಕುರೈಷ್ ಮುಖಂಡನ ಕಡೆಗೆ ಪೂರ್ಣ ಗಮನ ಹರಿಸಿದಿರಿ.
80,7,وَمَا عَلَيۡكَ أَلَّا يَزَّكَّىٰ,ಅವನು ಪರಿಶುದ್ಧತೆಯನ್ನು ಪಡೆಯದಿದ್ದರೆ ನಿಮಗೇನೂ ದೋಷವಿಲ್ಲ.,
80,8,وَأَمَّا مَن جَآءَكَ يَسۡعَىٰ,"ಆದರೆ ಯಾರು ನಿಮ್ಮ ಬಳಿಗೆ ಓಡುತ್ತಾ ಬಂದರೋ,",
80,9,وَهُوَ يَخۡشَىٰ,"ಅಲ್ಲಾಹನನ್ನು ಭಯಪಡುವ ಸ್ಥಿತಿಯಲ್ಲಿ,",
80,10,فَأَنتَ عَنۡهُ تَلَهَّىٰ,ಅವರ ಬಗ್ಗೆ ನೀವು ಅಸಡ್ಡೆ ತೋರಿದಿರಿ.,
80,11,كَلَّآ إِنَّهَا تَذۡكِرَةٞ,ಅಲ್ಲ. ನಿಶ್ಚಯವಾಗಿಯೂ ಇದು (ಕುರ್‌ಆನ್) ಒಂದು ಉಪದೇಶವಾಗಿದೆ.,
80,12,فَمَن شَآءَ ذَكَرَهُۥ,ಇಚ್ಛೆಯುಳ್ಳವರು ಅದರಿಂದ ಉಪದೇಶ ಪಡೆಯಲಿ.,
80,13,فِي صُحُفٖ مُّكَرَّمَةٖ,ಅದು ಪ್ರತಿಷ್ಠಿತ ಗ್ರಂಥದಲ್ಲಿದೆ.,
80,14,مَّرۡفُوعَةٖ مُّطَهَّرَةِۭ,ಉನ್ನತವಾದ ಮತ್ತು ಪರಿಶುದ್ಧವಾದ (ಗ್ರಂಥದಲ್ಲಿ).,
80,15,بِأَيۡدِي سَفَرَةٖ,ಅದು ದೇವದೂತರುಗಳ ಕೈಗಳಲ್ಲಿವೆ.,
80,16,كِرَامِۭ بَرَرَةٖ,ಗಣ್ಯರು ಮತ್ತು ನೀತಿವಂತರಾದ (ದೇವದೂತರುಗಳು).,
80,17,قُتِلَ ٱلۡإِنسَٰنُ مَآ أَكۡفَرَهُۥ,ಮನುಷ್ಯನ ಮೇಲೆ ಅಲ್ಲಾಹನ ಶಾಪವಿರಲಿ! ಅವನು ಎಷ್ಟೊಂದು ಕೃತಜ್ಞತೆಯಿಲ್ಲದವನಾಗಿ ಬಿಟ್ಟಿದ್ದಾನೆ!,
