surah,ayah,arabic_text,translation,footnotes
38,1,صٓۚ وَٱلۡقُرۡءَانِ ذِي ٱلذِّكۡرِ,بە (صاد) دەخوێنرێتەوە خوازاناترە بە ماناکەی بۆ زانیاری زیاتر سەیر سەرەتای سورەتی (البقرة) بکە سوێند بە قورئانی خاوەن ڕێز و پەند و ئامۆژگاری ,
38,2,بَلِ ٱلَّذِينَ كَفَرُواْ فِي عِزَّةٖ وَشِقَاقٖ,بەڵام ئەوانەی بێ باوەڕن ڕۆ چوون، لە خۆبەگەورە زانین و دژایەتیدا (بەرانبەر ئیسلام و شوێن کەوتووانی) ,
38,3,كَمۡ أَهۡلَكۡنَا مِن قَبۡلِهِم مِّن قَرۡنٖ فَنَادَواْ وَّلَاتَ حِينَ مَنَاصٖ,چەندەھا گەلمان پێش ئەوان ( پێش کافرانی مەککە) لەناو برد ئەمجا ھاواریان کرد لە حاڵێکدا کاتی ڕزگار بوون نەمابوو ,
38,4,وَعَجِبُوٓاْ أَن جَآءَهُم مُّنذِرٞ مِّنۡهُمۡۖ وَقَالَ ٱلۡكَٰفِرُونَ هَٰذَا سَٰحِرٞ كَذَّابٌ,سەریان سوڕدەما کە ترسێنەرێکیان لە خۆیان بۆ ھاتووە وە بێ باوەڕان دەیانووت ئەم (پێغەمبەرە) جادوگەرێکی زۆر درۆزنە ,
38,5,أَجَعَلَ ٱلۡأٓلِهَةَ إِلَٰهٗا وَٰحِدًاۖ إِنَّ هَٰذَا لَشَيۡءٌ عُجَابٞ,ئایا ئەو (پێغەمبەرە) ھەموو خواکانی کردوەتە یەك خوا بەڕِاستی ئەمە (کەیەك خوا ببێت) شتێکی زۆر سەرسوڕھێنەرە ,
38,6,وَٱنطَلَقَ ٱلۡمَلَأُ مِنۡهُمۡ أَنِ ٱمۡشُواْ وَٱصۡبِرُواْ عَلَىٰٓ ءَالِهَتِكُمۡۖ إِنَّ هَٰذَا لَشَيۡءٞ يُرَادُ,وە گەورەکانی (قوڕەیش لەگەڵ پێغەمبەر قسەیان کرد و ھەڵسان) بە پەلە دەرچوون (بەخەڵکیان ووت) بڕۆن و خۆگربن لەسەر (پەرستنی) خواکانتان بەڕاستی ئەمەی (موحەممەد ﷺ) دەیڵێت) شتێکە لە ئێوە داوا کراوە (ھەتا ببێتە گەورەی ھەموو عەرەب) ,
38,7,مَا سَمِعۡنَا بِهَٰذَا فِي ٱلۡمِلَّةِ ٱلۡأٓخِرَةِ إِنۡ هَٰذَآ إِلَّا ٱخۡتِلَٰقٌ,ئەمەمان نەبیستووە لە کۆتا ئایندا (کە نەسرانیە) ئەمە تەنھا شتێکی ھەڵبەستراوە ,
38,8,أَءُنزِلَ عَلَيۡهِ ٱلذِّكۡرُ مِنۢ بَيۡنِنَاۚ بَلۡ هُمۡ فِي شَكّٖ مِّن ذِكۡرِيۚ بَل لَّمَّا يَذُوقُواْ عَذَابِ,ئایا چۆن وەحی لە ناو ھەموومان دا بۆ ئەو (موحەممەد ﷺ) دابەزێنراوە (نەخێر ڕاست ناکەن) بەڵکو ئەوانە لە گوماندان لە قورئانەکەی من (نەخێر وانیە) بەڵکو ئەوانە ھێشتا سزای منیان نەچەشتووە (بۆیە باوەڕناھێنن) ,
38,9,أَمۡ عِندَهُمۡ خَزَآئِنُ رَحۡمَةِ رَبِّكَ ٱلۡعَزِيزِ ٱلۡوَهَّابِ,یان خەزێنەکانی بەزەیی پەروەردگاری زاڵ و باڵادەست و بەخشندەت لای ئەوانە؟ ,
38,10,أَمۡ لَهُم مُّلۡكُ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَمَا بَيۡنَهُمَاۖ فَلۡيَرۡتَقُواْ فِي ٱلۡأَسۡبَٰبِ,یان دەسەڵات و پاشایی ئاسمانەکان و زەوی و ئەوەی لە نێوانیاندایە ھی ئەوانە (ئەگەر وایە) دەبا بەرز ببنەوە لە ناو ھۆکارەکانی بەرز بوونەوەدا (تا دەگەنە عەرش ئەمجا وەحی دابەزێنن بۆ ھەر کەسێك خۆیان دەیانەوێت) ,
