surah,ayah,arabic_text,translation,footnotes
51,1,وَٱلذَّٰرِيَٰتِ ذَرۡوٗا,(Топуракты) тозгута желген шамалдарга ант!,
51,2,فَٱلۡحَٰمِلَٰتِ وِقۡرٗا,Көп сууга (жамгырга) кош бойлуу болгон булуттарга ант!,
51,3,فَٱلۡجَٰرِيَٰتِ يُسۡرٗا,Жеңил сызып жүрүүчүлөргө (кемелерге) ант!,
51,4,فَٱلۡمُقَسِّمَٰتِ أَمۡرًا,(Аллахтын тапшырмасы менен ааламдык) иштерди бөлүштүрүүчү периштелерге ант!,
51,5,إِنَّمَا تُوعَدُونَ لَصَادِقٞ,"(Оо, пенделер!) Силерге убада кылынган нерсе[1] – бул чындык!","[1] Аллах бизге Өзунун Китебинде Кыямат болушун, ал Күндө ар бир пенде өзүнүн дүйнөлүк жашоосу жөнүндө жооп беришин убада кылган."
51,6,وَإِنَّ ٱلدِّينَ لَوَٰقِعٞ,Жана Кыямат сөзсүз болуучу!,
51,7,وَٱلسَّمَآءِ ذَاتِ ٱلۡحُبُكِ,Кооз-көркөм асманга ант!,
51,8,إِنَّكُمۡ لَفِي قَوۡلٖ مُّخۡتَلِفٖ,"(Эй, мушриктер) силердин айткан-дегениңер аныгында туруксуз (сөздөр).",
51,9,يُؤۡفَكُ عَنۡهُ مَنۡ أُفِكَ,Андан (Курандан) бурулган адам(ды чындыктан) буруп коюлат.,
51,10,قُتِلَ ٱلۡخَرَّٰصُونَ,Жалганчыларга өлүм!,
51,11,ٱلَّذِينَ هُمۡ فِي غَمۡرَةٖ سَاهُونَ,Алар наадандык толкундарында адашкандар!,
51,12,يَسۡـَٔلُونَ أَيَّانَ يَوۡمُ ٱلدِّينِ,"(Сени сынап, жалганчыга чыгаруу үчүн): «Кыямат Күн качан?» - деп сурашат.",
51,13,يَوۡمَ هُمۡ عَلَى ٱلنَّارِ يُفۡتَنُونَ,Ал Күнү тозокто азап тартышат!,
51,14,ذُوقُواْ فِتۡنَتَكُمۡ هَٰذَا ٱلَّذِي كُنتُم بِهِۦ تَسۡتَعۡجِلُونَ,(Анан аларга) «Азабыңарды тарткыла! Силер («качан-качан» деп) шаштырган күнүңөр – ушул» (деп айтылат).,
51,15,إِنَّ ٱلۡمُتَّقِينَ فِي جَنَّٰتٖ وَعُيُونٍ,"(Ал эми) такыба кишилер бейиштерде, булактарда,",
51,16,ءَاخِذِينَ مَآ ءَاتَىٰهُمۡ رَبُّهُمۡۚ إِنَّهُمۡ كَانُواْ قَبۡلَ ذَٰلِكَ مُحۡسِنِينَ,"Раббиси берген сыйлыктарды алышып. (Себеби), алар буга чейин (дүйнө жашоосунда) жакшылык (сооп иш) кылуучу болушкан.",
51,17,كَانُواْ قَلِيلٗا مِّنَ ٱلَّيۡلِ مَا يَهۡجَعُونَ,Алар түндөсү бир аз эле укташкан.,
51,18,وَبِٱلۡأَسۡحَارِ هُمۡ يَسۡتَغۡفِرُونَ,"Таң мезгилдеринде (намаз окушуп, Раббисинен) кечирим сурашкан.[1]","[1] Садий бул аяттагы «таң мезгилдерин» пенденин дубасы сөзсүз кабыл боло турган, түндүн үчтөн экиси өтүп, үчтөн бири калгандагы убакыт дейт. Анткени, пайгамбарыбыз (с.а.в) көбүнчө дал ушул убакытта «тахажжуд» намазын окуп, Багымдатка чейин дуба-ибадат менен машгул болгон."
