surah,ayah,arabic_text,translation,footnotes
69,1,ٱلۡحَآقَّةُ,1. Mokolo ya Sólo.,
69,2,مَا ٱلۡحَآقَّةُ,2. Nini nde mokolo ya Sólo?,
69,3,وَمَآ أَدۡرَىٰكَ مَا ٱلۡحَآقَّةُ,3. Eloko nini ekolakisa yo mokolo ya sólo nde nini?,
69,4,كَذَّبَتۡ ثَمُودُ وَعَادُۢ بِٱلۡقَارِعَةِ,4. Bato ya mboka Thamúd na Aad baboyaki kondimela likambo ya somo.,
69,5,فَأَمَّا ثَمُودُ فَأُهۡلِكُواْ بِٱلطَّاغِيَةِ,"5. Mpona bato ya Thamúd, babebisamaki na tangba ya makasi.",
69,6,وَأَمَّا عَادٞ فَأُهۡلِكُواْ بِرِيحٖ صَرۡصَرٍ عَاتِيَةٖ,"6. Mpe mpona bato ya aad, babebisamaki na mopepe ya makasi,",
69,7,سَخَّرَهَا عَلَيۡهِمۡ سَبۡعَ لَيَالٖ وَثَمَٰنِيَةَ أَيَّامٍ حُسُومٗاۖ فَتَرَى ٱلۡقَوۡمَ فِيهَا صَرۡعَىٰ كَأَنَّهُمۡ أَعۡجَازُ نَخۡلٍ خَاوِيَةٖ,"7. Mabe wana ekwelaki bango butu sambo na mikolo mwambe, okomona sé bibembe ya bato, bakomi lokola biteni ya nagh’l(1) ya kokata kata.",1 Nagh’l: Bótala Al-An’ám: 99.
69,8,فَهَلۡ تَرَىٰ لَهُم مِّنۢ بَاقِيَةٖ,8. Boye okomona ata eloko etikali?,
69,9,وَجَآءَ فِرۡعَوۡنُ وَمَن قَبۡلَهُۥ وَٱلۡمُؤۡتَفِكَٰتُ بِٱلۡخَاطِئَةِ,"9. Falo na baye bazalaki liboso naye na bato ya mboka bikweisama, bayaki na mabe.",
69,10,فَعَصَوۡاْ رَسُولَ رَبِّهِمۡ فَأَخَذَهُمۡ أَخۡذَةٗ رَّابِيَةً,"10. Mpe baboyaki kondima na motindami ya Nkolo na bango, kasi azuisaki bango kozuama ya mawa te.",
69,11,إِنَّا لَمَّا طَغَا ٱلۡمَآءُ حَمَلۡنَٰكُمۡ فِي ٱلۡجَارِيَةِ,"11. Ya soló, tango mayi etondaki, biso nde tomatisaki bino okati ya masuwa.",
69,12,لِنَجۡعَلَهَا لَكُمۡ تَذۡكِرَةٗ وَتَعِيَهَآ أُذُنٞ وَٰعِيَةٞ,12. Mpo totiya yango etikala elembo mpo bato bakoka kokanisa.,
69,13,فَإِذَا نُفِخَ فِي ٱلصُّورِ نَفۡخَةٞ وَٰحِدَةٞ,"13. Mpe tango bakofula na kelelo mbala moko,",
