surah,ayah,arabic_text,translation,footnotes
87,1,سَبِّحِ ٱسۡمَ رَبِّكَ ٱلۡأَعۡلَى,"1. S anzola kombo ya Nkolo nayo oyo azali na likolo koleka,",
87,2,ٱلَّذِي خَلَقَ فَسَوَّىٰ,"2. Oyo akela mpe akokisa,",
87,3,وَٱلَّذِي قَدَّرَ فَهَدَىٰ,"3. Mpe atia mokano mpe akamba o nzela ya nsemba,",
87,4,وَٱلَّذِيٓ أَخۡرَجَ ٱلۡمَرۡعَىٰ,"4. Mpe oyo abimisa matiti,",
87,5,فَجَعَلَهُۥ غُثَآءً أَحۡوَىٰ,5. Mpe apesi yango langi ya mayi ya mpondu.,
87,6,سَنُقۡرِئُكَ فَلَا تَنسَىٰٓ,"6. Tokotangisa yo na lolenge ete obosana te,",
87,7,إِلَّا مَا شَآءَ ٱللَّهُۚ إِنَّهُۥ يَعۡلَمُ ٱلۡجَهۡرَ وَمَا يَخۡفَىٰ,"7. Sé na oyo ye moko Allah alingi, Nde ayebi maye mazali polele mpe maye mabombama.",
87,8,وَنُيَسِّرُكَ لِلۡيُسۡرَىٰ,8. Mpe tokolakisa yo nzela ya pete.,
87,9,فَذَكِّرۡ إِن نَّفَعَتِ ٱلذِّكۡرَىٰ,9. Pesa liteya na baye ekosalisa bango.,
87,10,سَيَذَّكَّرُ مَن يَخۡشَىٰ,10. Oyo azali na bobangi nde akokanisa.,
87,11,وَيَتَجَنَّبُهَا ٱلۡأَشۡقَى,11. Oyo Akomitia mosika na yango ye nde moto ya mpasi.,
87,12,ٱلَّذِي يَصۡلَى ٱلنَّارَ ٱلۡكُبۡرَىٰ,12. Oyo akozika na moto ya monene.,
87,13,ثُمَّ لَا يَمُوتُ فِيهَا وَلَا يَحۡيَىٰ,13. O’nteyi na yango akokufa te mpe akozala na bomoyi te.,
87,14,قَدۡ أَفۡلَحَ مَن تَزَكَّىٰ,"14. Asili kolonga oyo amipetoli,",
87,15,وَذَكَرَ ٱسۡمَ رَبِّهِۦ فَصَلَّىٰ,15. Akanisi kombo ya Nkolo naye mpe asambeli.,
87,16,بَلۡ تُؤۡثِرُونَ ٱلۡحَيَوٰةَ ٱلدُّنۡيَا,"16. Kasi bino bolingi na bolingo makasi bomoyi ya nsé,",
87,17,وَٱلۡأٓخِرَةُ خَيۡرٞ وَأَبۡقَىٰٓ,17. Nzoka nde bomoyi ya lobi nde ezali malamu mpe ekowumelaka seko.,
87,18,إِنَّ هَٰذَا لَفِي ٱلصُّحُفِ ٱلۡأُولَىٰ,18. Ya sôló oyo esila kokomama na mikanda ya yambo.,
87,19,صُحُفِ إِبۡرَٰهِيمَ وَمُوسَىٰ,19. Mikanda ya Ibrâhîm mpe ya Mûssa.,
