surah,ayah,arabic_text,translation,footnotes
80,1,عَبَسَ وَتَوَلَّىٰٓ,"1. Jis (t. y. Pranašas ﷺ ) susiraukė ir nusigręžė,",
80,2,أَن جَآءَهُ ٱلۡأَعۡمَىٰ,2. nes atėjo pas jį aklasis (įsiterpdamas).,
80,3,وَمَا يُدۡرِيكَ لَعَلَّهُۥ يَزَّكَّىٰٓ,"3. Tačiau (Muchammedai ﷺ ) iš kur tu gali žinoti, galbūt jis galėtų apsivalyti (nuo nuodėmių)",
80,4,أَوۡ يَذَّكَّرُ فَتَنفَعَهُ ٱلذِّكۡرَىٰٓ,4. arba jam būtų priminta ir priminimas duotų jam naudos?,
80,5,أَمَّا مَنِ ٱسۡتَغۡنَىٰ,"5. Tam, kuris mąsto, kad jam nieko nereikia,",
80,6,فَأَنتَ لَهُۥ تَصَدَّىٰ,6. jam tu skiri dėmesį.,
80,7,وَمَا عَلَيۡكَ أَلَّا يَزَّكَّىٰ,"7. Ir ne tau (kaltė), jei jis neapsivalys (nuo netikėjimo; tu esi tik Pasiuntinys, tavo pareiga yra tik perduoti Allaho Žinią).",
80,8,وَأَمَّا مَن جَآءَكَ يَسۡعَىٰ,"8. Tačiau tam, kuris atėjo pas tave siekdamas (žinių)",
80,9,وَهُوَ يَخۡشَىٰ,"9. bijodamas (Allaho ir Jo bausmės),",
80,10,فَأَنتَ عَنۡهُ تَلَهَّىٰ,10. tam tu esi nedėmesingas.,
80,11,كَلَّآ إِنَّهَا تَذۡكِرَةٞ,"11. Ne, iš tiesų, tai (t. y. šios eilutės) yra Priminimas,",
80,12,فَمَن شَآءَ ذَكَرَهُۥ,"12. tad kas nori, lai prisimena tai.",
80,13,فِي صُحُفٖ مُّكَرَّمَةٖ,"13. (Tai įrašyta) garbinguose ritinėliuose (Al-Lauh al-Mahfuz),",
80,14,مَّرۡفُوعَةٖ مُّطَهَّرَةِۭ,"14. išaukštintuose ir ištyrintuose,",
80,15,بِأَيۡدِي سَفَرَةٖ,"15. (nešamuose) pasiuntinių-angelų rankose,",
80,16,كِرَامِۭ بَرَرَةٖ,16. kilnių ir pareigingų.,
80,17,قُتِلَ ٱلۡإِنسَٰنُ مَآ أَكۡفَرَهُۥ,"17. Pražuvęs (t. y. prakeiktas) yra žmogus, koks netikintis jis yra!",
80,18,مِنۡ أَيِّ شَيۡءٍ خَلَقَهُۥ,18. Iš kokio daikto (t. y. medžiagos) Jis sukūrė jį?,
80,19,مِن نُّطۡفَةٍ خَلَقَهُۥ فَقَدَّرَهُۥ,"19. Iš Nutfa (vyro ir moters skysčių lašelių) Jis sukūrė jį ir nustatė jam tinkamas proporcijas,",
80,20,ثُمَّ ٱلسَّبِيلَ يَسَّرَهُۥ,"20. paskui Jis palengvino jam kelią,",
80,21,ثُمَّ أَمَاتَهُۥ فَأَقۡبَرَهُۥ,21. paskui Jis numarina jį ir suteikia jam kapą.,
80,22,ثُمَّ إِذَا شَآءَ أَنشَرَهُۥ,"22. Tada, kai Jis panorės, Jis prikels jį.",
80,23,كَلَّا لَمَّا يَقۡضِ مَآ أَمَرَهُۥ,"23. Ne, jis (t. y. žmogus) dar neįvykdė to, ką Jis jam įsakė.",
80,24,فَلۡيَنظُرِ ٱلۡإِنسَٰنُ إِلَىٰ طَعَامِهِۦٓ,24. Tad lai žmonija pažiūri į savo maistą –,
80,25,أَنَّا صَبَبۡنَا ٱلۡمَآءَ صَبّٗا,"25. kaip Mes nuleidome vandenį liūtimis,",
80,26,ثُمَّ شَقَقۡنَا ٱلۡأَرۡضَ شَقّٗا,"26. paskui Mes perskėlėme žemę, padarydami plyšius (joje su daigais),",
80,27,فَأَنۢبَتۡنَا فِيهَا حَبّٗا,27. ir išauginome joje javus,
80,28,وَعِنَبٗا وَقَضۡبٗا,"28. ir vynuoges, ir žolynus (pašarui),",
80,29,وَزَيۡتُونٗا وَنَخۡلٗا,"29. ir alyvuoges, ir palmes,",
80,30,وَحَدَآئِقَ غُلۡبٗا,"30. ir tankių krūmynų sodus,",
80,31,وَفَٰكِهَةٗ وَأَبّٗا,"31. ir vaisius, ir žolę",
80,32,مَّتَٰعٗا لَّكُمۡ وَلِأَنۡعَٰمِكُمۡ,32. jūsų ir jūsų besiganančių galvijų naudojimui (t. y. aprūpinimui).,
80,33,فَإِذَا جَآءَتِ ٱلصَّآخَّةُ,33. Bet kai ateis as-Sakha (antrasis papūtimas į Ragą Prisikėlimo Dieną).,
80,34,يَوۡمَ يَفِرُّ ٱلۡمَرۡءُ مِنۡ أَخِيهِ,34. Tą Dieną žmogus bėgs nuo savo brolio,
80,35,وَأُمِّهِۦ وَأَبِيهِ,"35. ir savo motinos, ir savo tėvo,",
80,36,وَصَٰحِبَتِهِۦ وَبَنِيهِ,"36. ir savo žmonos, ir savo vaikų.",
80,37,لِكُلِّ ٱمۡرِيٕٖ مِّنۡهُمۡ يَوۡمَئِذٖ شَأۡنٞ يُغۡنِيهِ,37. nes kiekvienam žmogui Tą Dieną bus jam pačiam užtektinos bėdos.,
80,38,وُجُوهٞ يَوۡمَئِذٖ مُّسۡفِرَةٞ,38. (Kai kurie) veidai Tą Dieną bus šviesūs (tikrų tikinčiųjų islamo monoteizmą) –,
80,39,ضَاحِكَةٞ مُّسۡتَبۡشِرَةٞ,"39. besijuokiantys, džiūgaujantys dėl gerų žinių (Rojaus).",
80,40,وَوُجُوهٞ يَوۡمَئِذٍ عَلَيۡهَا غَبَرَةٞ,40. O ant (kitų) veidų Tą Dieną bus dulkės.,
80,41,تَرۡهَقُهَا قَتَرَةٌ,41. Juodumas dengs juos.,
