surah,ayah,arabic_text,translation,footnotes
67,1,تَبَٰرَكَ ٱلَّذِي بِيَدِهِ ٱلۡمُلۡكُ وَهُوَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٌ,1. Благословен е Тој во Чијашто рака е власта – Тој може сè!,
67,2,ٱلَّذِي خَلَقَ ٱلۡمَوۡتَ وَٱلۡحَيَوٰةَ لِيَبۡلُوَكُمۡ أَيُّكُمۡ أَحۡسَنُ عَمَلٗاۚ وَهُوَ ٱلۡعَزِيزُ ٱلۡغَفُورُ,"2. Тој што ги даде смртта и животот за да ве искуша кој од вас подобро ќе постапува; Тој е Силниот, Тој што простува,",
67,3,ٱلَّذِي خَلَقَ سَبۡعَ سَمَٰوَٰتٖ طِبَاقٗاۖ مَّا تَرَىٰ فِي خَلۡقِ ٱلرَّحۡمَٰنِ مِن تَفَٰوُتٖۖ فَٱرۡجِعِ ٱلۡبَصَرَ هَلۡ تَرَىٰ مِن فُطُورٖ,"3. Тој што седумте неба едни врз други ги создаде како слоеви – ти во тоа што Семилосниот го создава не гледаш никаков несклад, па повторно погледни да не видиш некаков недостаток,",
67,4,ثُمَّ ٱرۡجِعِ ٱلۡبَصَرَ كَرَّتَيۡنِ يَنقَلِبۡ إِلَيۡكَ ٱلۡبَصَرُ خَاسِئٗا وَهُوَ حَسِيرٞ,"4. потоа повторно двапати погледни, погледот ќе ти се врати истоштен и уморен.",
67,5,وَلَقَدۡ زَيَّنَّا ٱلسَّمَآءَ ٱلدُّنۡيَا بِمَصَٰبِيحَ وَجَعَلۡنَٰهَا رُجُومٗا لِّلشَّيَٰطِينِۖ وَأَعۡتَدۡنَا لَهُمۡ عَذَابَ ٱلسَّعِيرِ,"5. Ние најблиското небо со сјајни светилки го украсивме и ги направивме оган за гаѓање на шејтаните, за коишто подготвивме страдање во огнот.",
67,6,وَلِلَّذِينَ كَفَرُواْ بِرَبِّهِمۡ عَذَابُ جَهَنَّمَۖ وَبِئۡسَ ٱلۡمَصِيرُ,"6. А за тиe што не веруваат во својот Господар, им припаѓа казна во Џехенемот, а тој е ужасно престојувалиште!",
67,7,إِذَآ أُلۡقُواْ فِيهَا سَمِعُواْ لَهَا شَهِيقٗا وَهِيَ تَفُورُ,"7. Кога во него ќе бидат фрлени, бучењето негово ќе го чујат, и тој ќе врие,",
67,8,تَكَادُ تَمَيَّزُ مِنَ ٱلۡغَيۡظِۖ كُلَّمَآ أُلۡقِيَ فِيهَا فَوۡجٞ سَأَلَهُمۡ خَزَنَتُهَآ أَلَمۡ يَأۡتِكُمۡ نَذِيرٞ,"8. скоро да се распадне од бес. Кога и да се фрли група на луѓе во него, стражарите во него ќе ги запрашаат: „Зарем никој не доаѓаше да ве опоменува?“",
67,9,قَالُواْ بَلَىٰ قَدۡ جَآءَنَا نَذِيرٞ فَكَذَّبۡنَا وَقُلۡنَا مَا نَزَّلَ ٱللَّهُ مِن شَيۡءٍ إِنۡ أَنتُمۡ إِلَّا فِي ضَلَٰلٖ كَبِيرٖ,"9. „Да, доаѓаше тој што нè опоменуваше“ – ќе одговорат – „а ние негиравме и велевме: ,Аллах не објавил ништо, вие сте во голема заблуда!‘“",
67,10,وَقَالُواْ لَوۡ كُنَّا نَسۡمَعُ أَوۡ نَعۡقِلُ مَا كُنَّا فِيٓ أَصۡحَٰبِ ٱلسَّعِيرِ,"10. И ќе речат: „Да слушавме или да размислувавме, немаше да бидеме меѓу жителите на огнот!“",
67,11,فَٱعۡتَرَفُواْ بِذَنۢبِهِمۡ فَسُحۡقٗا لِّأَصۡحَٰبِ ٱلسَّعِيرِ,"11. И тие ќе ги признаат своите гревови – па, жителите на Џехенемот огнен далеку нека бидат од нас!",
67,12,إِنَّ ٱلَّذِينَ يَخۡشَوۡنَ رَبَّهُم بِٱلۡغَيۡبِ لَهُم مَّغۡفِرَةٞ وَأَجۡرٞ كَبِيرٞ,"12. За тие коишто од Господарот свој се плашат, дури и кога никој не ги гледа, има прошка и награда голема!",
67,13,وَأَسِرُّواْ قَوۡلَكُمۡ أَوِ ٱجۡهَرُواْ بِهِۦٓۖ إِنَّهُۥ عَلِيمُۢ بِذَاتِ ٱلصُّدُورِ,13. Било да зборувате вие тивко или гласно – па Тој сигурно ги знае мислите сечии!,
67,14,أَلَا يَعۡلَمُ مَنۡ خَلَقَ وَهُوَ ٱللَّطِيفُ ٱلۡخَبِيرُ,"14. А како и не би знаел Тој што создава, Тој што сè детално знае, Којшто за сè е известен.",
