surah,ayah,arabic_text,translation,footnotes
85,1,وَٱلسَّمَآءِ ذَاتِ ٱلۡبُرُوجِ,നക്ഷത്രമണ്ഡലങ്ങളുള്ള ആകാശം തന്നെയാണ സത്യം,
85,2,وَٱلۡيَوۡمِ ٱلۡمَوۡعُودِ,വാഗ്ദാനം ചെയ്യപ്പെട്ട ആ ദിവസം തന്നെയാണ സത്യം.,
85,3,وَشَاهِدٖ وَمَشۡهُودٖ,സാക്ഷിയും സാക്ഷ്യം വഹിക്കപ്പെടുന്ന കാര്യവും തന്നെയാണ സത്യം.,
85,4,قُتِلَ أَصۡحَٰبُ ٱلۡأُخۡدُودِ,ആ കിടങ്ങിന്‍റെ ആള്‍ക്കാര്‍ നശിച്ചു പോകട്ടെ.,
85,5,ٱلنَّارِ ذَاتِ ٱلۡوَقُودِ,അതായത് വിറകു നിറച്ച തീയുടെ ആള്‍ക്കാര്‍.,
85,6,إِذۡ هُمۡ عَلَيۡهَا قُعُودٞ,അവര്‍ അതിങ്കല്‍ ഇരിക്കുന്നവരായിരുന്ന സന്ദര്‍ഭം.,
85,7,وَهُمۡ عَلَىٰ مَا يَفۡعَلُونَ بِٱلۡمُؤۡمِنِينَ شُهُودٞ,സത്യവിശ്വാസികളെക്കൊണ്ട് തങ്ങള്‍ ചെയ്യുന്നതിന് അവര്‍ ദൃക്‌സാക്ഷികളായിരുന്നു.(1),1) ധാരാളം വിറക് ശേഖരിച്ച് അഗ്നികുണ്ഡമൊരുക്കി സത്യവിശ്വാസികളെ അതിലേക്ക് എറിയുകയും അവര്‍ വെന്തെരിയുന്നത് കണ്ട്‌ രസിക്കുകയും ചെയ്തിരുന്ന ക്രൂരഹൃദയരായ മര്‍ദകന്മാര്‍ പൂര്‍വകാലത്ത് ഉണ്ടായിരുന്നു.
85,8,وَمَا نَقَمُواْ مِنۡهُمۡ إِلَّآ أَن يُؤۡمِنُواْ بِٱللَّهِ ٱلۡعَزِيزِ ٱلۡحَمِيدِ,പ്രതാപശാലിയും സ്തുത്യര്‍ഹനുമായ അല്ലാഹുവില്‍ അവര്‍ വിശ്വസിക്കുന്നു എന്നത് മാത്രമായിരുന്നു അവരുടെ (സത്യവിശ്വാസികളുടെ) മേല്‍ അവര്‍ (മര്‍ദ്ദകര്‍) ചുമത്തിയ കുറ്റം.,
85,9,ٱلَّذِي لَهُۥ مُلۡكُ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِۚ وَٱللَّهُ عَلَىٰ كُلِّ شَيۡءٖ شَهِيدٌ,ആകാശങ്ങളുടെയും ഭൂമിയുടെയും മേല്‍ ആധിപത്യം ഉള്ളവനുമായ (അല്ലാഹുവില്‍). അല്ലാഹു എല്ലാ കാര്യത്തിനും സാക്ഷിയാകുന്നു.,
85,10,إِنَّ ٱلَّذِينَ فَتَنُواْ ٱلۡمُؤۡمِنِينَ وَٱلۡمُؤۡمِنَٰتِ ثُمَّ لَمۡ يَتُوبُواْ فَلَهُمۡ عَذَابُ جَهَنَّمَ وَلَهُمۡ عَذَابُ ٱلۡحَرِيقِ,"സത്യവിശ്വാസികളെയും സത്യവിശ്വാസിനികളെയും മര്‍ദ്ദിക്കുകയും, പിന്നീട് പശ്ചാത്തപിക്കാതിരിക്കുകയും ചെയ്തവരാരോ അവര്‍ക്കു നരകശിക്ഷയുണ്ട്‌. തീര്‍ച്ച. അവര്‍ക്ക് ചുട്ടുകരിക്കുന്ന ശിക്ഷയുണ്ട്‌.",
85,11,إِنَّ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُمۡ جَنَّٰتٞ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُۚ ذَٰلِكَ ٱلۡفَوۡزُ ٱلۡكَبِيرُ,വിശ്വസിക്കുകയും സല്‍കര്‍മ്മങ്ങള്‍ പ്രവര്‍ത്തിക്കുകയും ചെയ്തവരാരോ അവര്‍ക്ക് താഴ്ഭാഗത്തുകൂടി അരുവികള്‍ ഒഴുകുന്ന സ്വര്‍ഗത്തോപ്പുകളുണ്ട്‌; തീര്‍ച്ച. അതത്രെ വലിയ വിജയം.,
85,12,إِنَّ بَطۡشَ رَبِّكَ لَشَدِيدٌ,തീര്‍ച്ചയായും നിന്‍റെ രക്ഷിതാവിന്‍റെ പിടുത്തം കഠിനമായത് തന്നെയാകുന്നു.,
85,13,إِنَّهُۥ هُوَ يُبۡدِئُ وَيُعِيدُ,തീര്‍ച്ചയായും അവന്‍ തന്നെയാണ് ആദ്യമായി ഉണ്ടാക്കുന്നതും ആവര്‍ത്തിച്ച് ഉണ്ടാക്കുന്നതും.,
85,14,وَهُوَ ٱلۡغَفُورُ ٱلۡوَدُودُ,അവന്‍ ഏറെ പൊറുക്കുന്നവനും ഏറെ സ്നേഹമുള്ളവനുമാകുന്നു.,
85,15,ذُو ٱلۡعَرۡشِ ٱلۡمَجِيدُ,"സിംഹാസനത്തിന്‍റെ ഉടമയും, മഹത്വമുള്ളവനും.",
85,16,فَعَّالٞ لِّمَا يُرِيدُ,താന്‍ ഉദ്ദേശിക്കുന്നതെന്തോ അത് തികച്ചും പ്രാവര്‍ത്തികമാക്കുന്നവനുമാണ്‌.,
85,17,هَلۡ أَتَىٰكَ حَدِيثُ ٱلۡجُنُودِ,ആ സൈന്യങ്ങളുടെ വര്‍ത്തമാനം നിനക്ക് വന്നുകിട്ടിയിരിക്കുന്നോ?,
85,18,فِرۡعَوۡنَ وَثَمُودَ,അഥവാ ഫിര്‍ഔന്‍റെയും ഥമൂദിന്‍റെയും (വര്‍ത്തമാനം).,
85,19,بَلِ ٱلَّذِينَ كَفَرُواْ فِي تَكۡذِيبٖ,"അല്ല, സത്യനിഷേധികള്‍ നിഷേധിച്ചു തള്ളുന്നതിലാകുന്നു ഏര്‍പെട്ടിട്ടുള്ളത്‌.",
85,20,وَٱللَّهُ مِن وَرَآئِهِم مُّحِيطُۢ,അല്ലാഹു അവരുടെ പിന്‍വശത്തുകൂടി (അവരെ) വലയം ചെയ്തുകൊണ്ടിരിക്കുന്നവനാകുന്നു.,
85,21,بَلۡ هُوَ قُرۡءَانٞ مَّجِيدٞ,"അല്ല, അത് മഹത്വമേറിയ ഒരു ഖുര്‍ആനാകുന്നു.",
85,22,فِي لَوۡحٖ مَّحۡفُوظِۭ,സംരക്ഷിതമായ ഒരു ഫലകത്തിലാണ് അതുള്ളത്‌.(2),2) അല്ലാഹുവിന്റെ വചനങ്ങള്‍ രേഖപ്പെടുത്തിയിട്ടുള്ളതും അവന്റെ സവിശേഷ പരിരക്ഷയിലിരിക്കുന്നതുമായ ഒരു രേഖയത്രെ 'അല്ലൗഹുല്‍ മഹ്ഫൂദ്വ്.'
