surah,ayah,arabic,translation
1,,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"Ne Wẽnd yʋʋrã barka, sẽn yaa yols yaleng Soabã, n yaa Yolsdã, la d sɩngd d tʋʋmdã."
1,,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,"Pẽgr gill la bark pʋʋsem be ne Wẽnde, bõn-naandsã gill Soabã."
1,,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"A Dũni gũbg-n-yols Nɑɑbã, a Yɑoolem raarã welg-n-yols Nɑabã."
1,,مَٰلِكِ يَوۡمِ ٱلدِّينِ,"Yẽ la Nɑɑba, Diĩnã rolb rɑɑre."
1,,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,"Foo bɑl lɑ d tũudɑ, lɑ Foo bɑl lɑ d kot sõngre."
1,,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,Kãndg tõnd n tʋg so-tɩrgã.
1,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"B rãmb nins Fo sẽn mɑɑn neema b zugã sore, zẽng tɩ pɑ b sẽn gẽ-b rãmbã sore, pɑ sẽn menembã sore."
2,,الٓمٓ,"Alɩf, Lɑɑm, Miim.[1]"
2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,"Ad Gaf ningã, sik kɑ ɑ pʋgẽ ye, a yɑɑ kãndgr ne Wẽn-zoɛtbã."
2,,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"B rãmb nins sẽn kõt sɩd ne yel-soondsã, lɑ b yɑlsd ne pʋʋsgã, lɑ bũmb ning Tõnd sẽn lok-ba, b yãkdame n nɑfdẽ."
2,,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,"Lɑ b rãmb nins sẽn kõt sɩd ne bũmb ning sẽn sik n kõ foo wã, lɑ sẽn sik tɩ reng taoore, lɑ bãmb mɑɑnd bãng-n-wãɑk ne Yaoolem rãarã."
