surah,ayah,arabic_text,translation,footnotes
90,1,لَآ أُقۡسِمُ بِهَٰذَا ٱلۡبَلَدِ,M na wẽend ne tẽn-kãngã!,
90,2,وَأَنتَ حِلُّۢ بِهَٰذَا ٱلۡبَلَدِ,Lɑ sɑkdɑ ne foo f sẽn mɑɑn fãɑ tẽn-kãngã.,
90,3,وَوَالِدٖ وَمَا وَلَدَ,"La M wẽen ne roagda, la a sẽn rog bũmb ningã.",
90,4,لَقَدۡ خَلَقۡنَا ٱلۡإِنسَٰنَ فِي كَبَدٍ,Sɩd la hakɩɩka D naana ninsaal t'a be yaams pʋgẽ.,
90,5,أَيَحۡسَبُ أَن لَّن يَقۡدِرَ عَلَيۡهِ أَحَدٞ,A tẽedame tɩ ned ba a yembr pa tõe-a ye.,
90,6,يَقُولُ أَهۡلَكۡتُ مَالٗا لُّبَدًا,"A yetame:""M halka arzεk wʋsgo""",
90,7,أَيَحۡسَبُ أَن لَّمۡ يَرَهُۥٓ أَحَدٌ,A tẽedame tɩ ned ba a yembr pa ne-a ye.,
90,8,أَلَمۡ نَجۡعَل لَّهُۥ عَيۡنَيۡنِ,Tõnd pa maan nin a yiib n kõ-a sɩdɑ?,
90,9,وَلِسَانٗا وَشَفَتَيۡنِ,La zɩlemd la no-bɩt a yiibu?,
90,10,وَهَدَيۡنَٰهُ ٱلنَّجۡدَيۡنِ,La M kãndg-a soy a yiibã?,
90,11,فَلَا ٱقۡتَحَمَ ٱلۡعَقَبَةَ,A pɑ nɑ n gãndg gidrã (so-toogã) n pɑɑm n tɑ Arzẽnɑ.,
90,12,وَمَآ أَدۡرَىٰكَ مَا ٱلۡعَقَبَةُ,La bõe n wilgd foo bõe la gidr gãndgre.,
90,13,فَكُّ رَقَبَةٍ,Yaa yamb lodg n bas burkĩndi.,
90,14,أَوۡ إِطۡعَٰمٞ فِي يَوۡمٖ ذِي مَسۡغَبَةٖ,"Ma rɩlgre, kom raare.",
90,15,يَتِيمٗا ذَا مَقۡرَبَةٍ,Kɩɩb sẽn yaa rog-pẽta.,
90,16,أَوۡ مِسۡكِينٗا ذَا مَتۡرَبَةٖ,Ma nimbãan-ned (mɩskɩɩn) sẽn yaa tom-vũnumda.,
90,17,ثُمَّ كَانَ مِنَ ٱلَّذِينَ ءَامَنُواْ وَتَوَاصَوۡاْ بِٱلصَّبۡرِ وَتَوَاصَوۡاْ بِٱلۡمَرۡحَمَةِ,"Rẽ poorẽ a yɩɩme n be neb nins sẽn kõt sɩdã pʋgẽ, la b sagl taab ne sugri, la b sagl taab ne yolsgo.",
90,18,أُوْلَٰٓئِكَ أَصۡحَٰبُ ٱلۡمَيۡمَنَةِ,Bãmb rãmb la Rɩtg rãmba.,
90,19,وَٱلَّذِينَ كَفَرُواْ بِـَٔايَٰتِنَا هُمۡ أَصۡحَٰبُ ٱلۡمَشۡـَٔمَةِ,"La neb nins sẽn kɩɩs-b Tõnd tagmas-rãmbã, bãmb la goabgã rãmba.",
90,20,عَلَيۡهِمۡ نَارٞ مُّؤۡصَدَةُۢ,Bug võgends n be b zugẽ.,
