surah,ayah,arabic_text,translation,footnotes
1,1,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,ߊߟߊ߫ ߕߐ߮ ߟߊ߫߸ ߡߊ߬ߤߌ߬ߣߊ߬ߟߊ߫ ߟߋ߬ ߤߌߣߟߊ߫ ߟߋ߬,
1,2,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,ߕߊ߲߬ߘߏ ߊߟߊ߫ ߦߋ߫ ߸ ߖߊ߯ߓߊ ߟߎ߫ ߡߊ߰ߙߌ ߟߋ߬,
1,3,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,ߡߊ߬ߤߌ߬ߣߊ߬ߟߊ߫ ߟߋ߬ ߤߌߣߟߊ߫ ߟߋ߬,
1,4,مَٰلِكِ يَوۡمِ ٱلدِّينِ,ߛߙߊ߬ߟߌ ߟߏ߲ ߡߊ߲߬ߛߊ ߟߋ߬,
1,5,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,ߊ߲ ߧߴߌߟߋ ߟߋ߫ ߓߊ߬ߕߏ߬ ߟߊ߫ ߸ ߊ߲ ߧߴߌߟߋ ߟߋ߬ ߡߊߕߙߊ߫ ߟߊ߫,
1,6,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,ߖߊ߰ߣߌ߲߬ ߊ߲ ߞߊ߲ߘߊ߫ ߛߌߟߊ߫ ߕߋߟߋ߲ߣߍ߲߫ ߓߐߚߐ ߞߊ߲߬,
1,7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,ߌ ߣߍߡߊߣߍ߲߫ ߡߍ߲ ߠߎ߫ ߡߊ߬ ߏ߬ ߟߎ߬ ߟߊ߫ ߛߌߟߊ ߟߋ߬ ߞߏ߫ ߦߋ߫ ߸ ߡߐߣߍ߫ ߞߍߣߍ߲߫ ߡߍ߲ ߠߎ߫ ߡߊ߬ ߏ߬ ߟߎ߬ ߕߊ ߞߏ߫ ߕߍ߫ ߸ ߝߟߌ߬ߓߊ߰ߒߕߋ ߟߎ߬ ߝߣߊ߫ ߕߊ ߞߏ߫ ߕߍ߫,
2,1,الٓمٓ,ߊ ߟ ߡ,
2,2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,ߟߍߙߊ ߡߍ߲ ߦߋ߫ ߣߌ߲߬ ߛߌߞߊ߫ ߕߍ߫ ߊ߬ ߘߐ߫ ߸ ߝߊ߲ߕߊ߲ߞߟߊ ߟߎ߬ ߞߊ߲ߘߊ߫ ߝߋ߲ ߠߋ߬,
2,3,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,ߡߍ߲ ߠߎ߬ ߦߋ߫ ߟߊ߫ ߟߊ߫ ߞߏ߫ ߘߏ߰ߣߍ߲ ߠߊ߫ ߞߊ߬ߣߌ߲߫ ߞߊ߬ ߛߊߟߌ ߟߐ߬ ߸ ߊ߬ ߣߴߊ߲ ߞߵߊ߬ߟߎ߫ ߤߊ߬ߙߌ߬ߖߍ߰ ߝߋ߲ ߡߍ߲ ߠߊ߫߸ ߊ߬ߟߎ߬ ߦߴߏ߬ ߘߏ߲߬ ߠߊ߫ ߘߟߊ߫,
2,4,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,ߊ߬ ߣߌ߫ ߡߍ߲ ߠߎ߬ ߟߊߣߍ߲߫ ߟߍߙߊ ߟߊ߫ ߡߍ߲ ߠߊߖߌ߰ߣߴߌ ߡߊ߬߸ ߊ߬ ߣߌ߫ ߡߍ߲ ߠߊߖߌ߰ߣߴߌ ߢߍ߫ ߸ ߊ߬ߟߎ߬ ߟߊߣߍ߲߫ ߟߊߞߌߙߊߞߏ ߝߣߊ߫ ߟߊ߫,
2,5,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,ߏ߬ ߟߎ߬ ߦߋ߫ ߞߊ߲ߘߦߊ߫ ߟߋ߫ ߞߊ߲߬ ߞߊ߬ ߝߘߴߊ߬ߟߎ߫ ߡߊ߰ߙߌ ߟߊ߫߸ ߒ߬ߓߊ߬ ߏ߬ ߟߎ߫ ߟߋ߬ ߛߎߘߊ߲ߓߊ߮ ߟߎ߬ ߘߌ߫,
2,6,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,ߡߍ߲ ߠߎ߫ ߓߊ߲߬ߣߍ߲߬ ߛߊ߫߸ ߌ ߞߊ߬ ߖߊ߬ߛߙߋ߬ߡߟߊ߫ ߞߍ߫ ߏ߬ ߟߎ߬ ߦߋ߫ ߓߊ߬߸ ߥߟߊ߫ ߌ ߡߊ߫ ߖߊ߬ߛߙߋ߬ߡߊ߬ߟߊ߫ ߞߍ߫ ߊ߬ߟߎ߬ ߦߋ߫ ߸ ߏ߬ ߓߍ߯ ߞߊ߫ ߞߊ߲߫ ߊ߬ߟߎ߫ ߡߊ߬، ߓߊ ߊ߬ߟߎ߬ ߕߍߣߊ߬ ߟߊ߫ ߟߴߊ߬ ߟߊ߫,
2,7,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ,ߊߟߊ߫ ߣߵߏ߬ ߟߎ߫ ߛߣߐ߬ߡߍ ߣߴߊ߬ߟߎ߬ ߕߟߏߘߋ߲ ߠߎ߬ ߟߊߣߘߐ߫ ߟߊ߫ ߟߋ߬ ߸ ߞߊ߬ ߝߊ߬ߙߊ ߞߍ߫ ߊ߬ߟߎ߬ ߢߊ ߟߎ߫ ߞߊ߲߬، ߖߊ߲߰ߞߕߊ߬ߓߊ߫ ߦߴߏ߬ ߟߎ߫ ߟߋ߬ ߦߋ߫,
2,8,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ,ߡߐ߱ ߟߎ߬ ߘߏ߫ ߓߍ߫ ߸ ߏ߬ ߦߴߊ߬ ߝߐ߫ ߟߊ߫ ߟߋ߫ ߕߋ߲߬ ߞߏ߫ ߒ߬ߠߎ߬ ߟߊߣߍ߲߫ ߊߟߊ߫ (ߞߏ) ߟߊ߫߸ ߊ߬ ߣߌ߫ ߟߏ߲ߠߊߓߊ߲ ߠߊ߫߸ ߞߵߊ߬ ߕߘߍ߬ ߟߊߒߠߦߊߓߊ߯ ߟߎ߫ ߕߍ߫,
2,9,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ,ߏ߬ ߟߎ߬ ߦߋ߫ ߊߟߊ߫ ߟߋ߬ ߜߍߙߍ߲ߞߍ ߞߊ߲߬ ߏ߬ ߘߌ߫ ߸ ߊ߬ ߣߌ߫ ( ߊߟߊߞߏ) ߟߊߒߠߦߊߓߊ߮ ߟߎ߬ ߸ ߊ߬ߟߎ߫ ߘߏ߲߬ ߕߍ߫ ߜߍߙߍ߲ߞߍߟߌ ߏ߬ ߞߍ߫ ߟߊ߫ ߝߏߦߌ߬ ߟߴߊ߬ߟߎ߫ ߖߍ߬ߘߍ ߞߐ߫ ߸ ߞߏ߬ߣߵߊ߬ߟߎ߬ ߕߴߏ ߞߊ߬ߟߊߡߊ߬,
2,10,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ,ߖߌ߰ߙߌ߬ߖߐ߯ߙߐ ߟߴߏ߬ ߟߎ߫ ߛߣߐ߬ߡߍ ߘߐ߫ ߸ ߊߟߊ߫ ߞߵߊ߬ߟߎ߬ ߟߊ߫ ߖߌ߰ߙߌ߬ߖߐ߯ߙߐ ߡߊߞߊ߬ߝߴߏ߬ ߟߋ ߘߐ߫، ߖߊ߲߰ߞߕߊ߬ ߘߌߡߌ߲ߣߍ߲߫ ߊ߬ߟߎ߬ ߦߋ߫ ߞߊ߬ߡߊߛߐ߬ߘߐ߲߫ ߊ߬ߟߎ߬ ߟߊ߫ ߥߎߦߊߝߐ ߝߍ߬,
2,11,وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ,ߊ߬ ߓߊ߯ ߊ߬ ߝߐ߫ ߏ߬ ߟߎ߬ ߦߋ߫ ߸ ߞߏ߫ ߊߟߎ߫ ߞߊߣߊ߬ ߕߌߢߍߟߌ ߞߍ߫ ߘߎ߱ ߞߣߐ߫ (ߘߋ߬)߸ ߊ߬ߟߎ߬ ߘߴߊ߬ ߝߐ߫ ߞߏ߫ ߒ ߞߏ߫ ߒ߬ߠߎ߬ ߦߋ߫ ߞߏߘߐߓߍ߲ߠߊ ߟߎ߫ ߟߋ߬ ߘߌ߫ ߞߍ߬,
