surah,ayah,arabic_text,translation,footnotes
44,1,حمٓ,ߤ߭ ߡ,
44,2,وَٱلۡكِتَٰبِ ٱلۡمُبِينِ,ߊ߰ ߒ ߣߌ߫ ߟߍߙߊ߫ ߘߐߜߍ ߕߍ߫,
44,3,إِنَّآ أَنزَلۡنَٰهُ فِي لَيۡلَةٖ مُّبَٰرَكَةٍۚ إِنَّا كُنَّا مُنذِرِينَ,ߒ߬ߠߎ߫ ߟߋ߫ ߞߵߊ߬ ߟߊߖߌ߰ ߛߎ߫ ߓߊ߲ߓߊ߲ߣߍ߲ ߘߐ߫ ߒ߬ߠߎ߫ ߘߏ߲߬ ߞߍߣߍ߲߫ ߖߊ߬ߛߙߋ߬ߡߊ߬ߟߌ߬ߟߊ ߟߎ߫ ߟߋ߬ ߘߌ߫,
44,4,فِيهَا يُفۡرَقُ كُلُّ أَمۡرٍ حَكِيمٍ,ߞߏߢߊ߫ ߥߘߋ߬ߥߘߋ߬ߦߊ߬ߣߍ߲ ߓߍ߯ ߦߋ߫ ߝߊߙߊ߲ߝߊߛߌ߫ ߟߴߏ߬ ߟߋ ߘߐ߫,
44,5,أَمۡرٗا مِّنۡ عِندِنَآۚ إِنَّا كُنَّا مُرۡسِلِينَ,ߟߐ߬ߓߟߏߡߵߊ߬ ߟߊ߫ ߞߊ߬ ߝߘߊ߫ ߒ߬ߠߎ߬ ߟߊ߫ ߸ ߒ߬ߠߎ߫ ߘߏ߲߬ ߞߍߣߍ߲߫ ߗߋߟߌߓߊ߮ ߟߎ߫ ߟߋ߬ ߘߌ߫,
44,6,رَحۡمَةٗ مِّن رَّبِّكَۚ إِنَّهُۥ هُوَ ٱلسَّمِيعُ ٱلۡعَلِيمُ,ߤߌߣߊߓߟߏߡߊ߬ ߞߊ߬ ߝߊߘߴߌ ߡߊ߰ߙߌ ߟߊ߫ ߸ ߓߊ ߏ߬ ߟߋ ߡߍ߲ߠߌ߲ߠߊ ߘߌ߫ ߟߐ߲ߠߌ߲ߠߊ ߟߋ߬,
44,7,رَبِّ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَمَا بَيۡنَهُمَآۖ إِن كُنتُم مُّوقِنِينَ,ߛߊ߲ ߠߎ߬ ߣߌ߫ ߘߎ߱ ߡߊ߰ߙߌ ߣߴߏ߬ ߝߌ߬ߟߊ ߕߍ ߡߊ߰ߙߌ ߟߋ߬ ߸ ߣߴߊ߬ ߕߘߍ߬ ߘߴߊߟߎ߫ ߦߋ߫ ߟߊߒߠߦߊߓߊ߯ ߟߎ߫ ߘߌ߫,
44,8,لَآ إِلَٰهَ إِلَّا هُوَ يُحۡيِۦ وَيُمِيتُۖ رَبُّكُمۡ وَرَبُّ ءَابَآئِكُمُ ٱلۡأَوَّلِينَ,ߡߊ߰ߙߌ߬ ߜߘߍ߫ ߕߍ߫ ߊ߬ߟߋ ߞߐ߫ ߸ ߊ߬ߟߋ ߟߋ߫ ߟߊ߬ߣߌ߬ߡߦߊ߬ߟߌ ߣߌ߫ ߟߊ߬ߣߌ߬ߒ߬ߕߊ߲߬ߧߊ߬ߟߌ ߞߍ߫ ߟߊ߫ ߸ ߊߟߎ߫ ߡߊ߰ߙߌ ߣߴߊߟߎ߫ ߝߊ߬ ߝߟߐ ߟߎ߫ ߡߊ߰ߙߌ ߞߊ߬ߣߌ߲߫,
44,9,بَلۡ هُمۡ فِي شَكّٖ يَلۡعَبُونَ,ߞߏ߬ߣߌ߲߬ ߍ߲߬ߍ߲߫ ߸ ߊ߬ߟߎ߬ ߦߋ߫ ߞߎߛߎ߲ ߘߐ߫ ߕߏߟߏ߲ߞߍ ߟߊ߫ ߌߦߋ߫,
44,10,فَٱرۡتَقِبۡ يَوۡمَ تَأۡتِي ٱلسَّمَآءُ بِدُخَانٖ مُّبِينٖ,ߒ߬ߓߊ߬ ߌߟߋ ߦߋ߫ ߡߊ߬ߞߐ߬ߣߐ߲߬ߠߌ߲ ߞߍ߫ ߗߐ߫ ߸ ߛߊ߲ ߣߊ߬ߕߐ߫ ߛߌ߬ߛߌ߬ ߘߐ߬ߜߍ ߘߌ߫ ߟߏ߲ ߡߍ߲,
44,11,يَغۡشَى ٱلنَّاسَۖ هَٰذَا عَذَابٌ أَلِيمٞ,ߞߊ߬ ߡߐ߱ ߟߎ߫ ߞߎ߲߬ߠߊߝߌ߲߬ ، ( ߊ߬ ߘߌ߫ ߝߐ߫ ) ߞߏ߫ ߣߌ߲߬ ߦߋ߫ ߖߊ߲߰ߞߕߊ߬ ߘߌߡߌ߲ߣߍ߲߫ ߠߋ߬ ߘߌ߫ ߘߋ߬,
44,12,رَّبَّنَا ٱكۡشِفۡ عَنَّا ٱلۡعَذَابَ إِنَّا مُؤۡمِنُونَ,ߊ߲ ߡߊ߰ߙߌ ߸ ߖߊ߲߰ߞߕߊ ߣߌ߲߬ ߟߊߥߌ߬ߟߌ߫ ߒ߬ ߞߊ߲߬ ߸ ߓߊߏ߬ ߟߊߒߠߦߊߓߊ߮ ߟߵߊ߲ ߘߌ߫,
44,13,أَنَّىٰ لَهُمُ ٱلذِّكۡرَىٰ وَقَدۡ جَآءَهُمۡ رَسُولٞ مُّبِينٞ,ߖߊ߲߬ߓߌߟߊ ߞߍߕߐ߫ ߞߏߢߊ߬ ߟߴߊ߬ߟߎ߬ ߦߋ߫ ߘߌ߬ ߞߋߟߊ߫ ߘߐߜߍ ߣߊ߭ ߞߐ ߘߐ߫ ߊ߬ߟߎ߫ ߡߊ߬؟,
44,14,ثُمَّ تَوَلَّوۡاْ عَنۡهُ وَقَالُواْ مُعَلَّمٞ مَّجۡنُونٌ,ߏ߬ ߞߐ߫ ߊ߬ߟߎ߫ ߞߵߊ߬ߟߎ߬ ߞߐߘߏ߲߬ ߞߵߊ߬ ߝߐ߫ ߞߴߏ߬ ߦߋ߫ ( ߡߐ߰ ) ߟߊߓߌ߬ߟߊ߬ߣߍ߲߫ ߝߊ߬ߕߐ ߘߏ߫ ߟߋ߬ ߘߌ߫,
