surah,ayah,arabic_text,translation,footnotes
91,1,وَٱلشَّمۡسِ وَضُحَىٰهَا,1. En bij de zon en haar ochtendgloren.,
91,2,وَٱلۡقَمَرِ إِذَا تَلَىٰهَا,2. En bij de maan die haar (de zon) volgt.,
91,3,وَٱلنَّهَارِ إِذَا جَلَّىٰهَا,3. En bij de dag als het de helderheid (van de zon) laat zien.,
91,4,وَٱلَّيۡلِ إِذَا يَغۡشَىٰهَا,4. En bij de nacht als die haar verbergt.,
91,5,وَٱلسَّمَآءِ وَمَا بَنَىٰهَا,5. En bij de hemel en Degene Die het gebouwd heeft.,
91,6,وَٱلۡأَرۡضِ وَمَا طَحَىٰهَا,6. En bij de aarde en Hij Die haar uitgespreid heeft.,
91,7,وَنَفۡسٖ وَمَا سَوَّىٰهَا,7. En bij de ziel en Hij Die hem de perfecte verhoudingen heeft gegeven.,
91,8,فَأَلۡهَمَهَا فُجُورَهَا وَتَقۡوَىٰهَا,8. Toen toonde Hij haar (de ziel) het slechte en bracht haar vrees bij (voor Hem).,
91,9,قَدۡ أَفۡلَحَ مَن زَكَّىٰهَا,"9. Voorzeker, degene die haar reinigt (van zonden), zal succes kennen.",
91,10,وَقَدۡ خَابَ مَن دَسَّىٰهَا,"10. En voorzeker, degene die haar schade berokkent (d.m.v. zonden), zal falen.",
91,11,كَذَّبَتۡ ثَمُودُ بِطَغۡوَىٰهَآ,11. Thamoed ontkenden (hun profeten) door hun tirannie.,
91,12,إِذِ ٱنۢبَعَثَ أَشۡقَىٰهَا,12. Toen de meest verdorven man onder hen naar voren kwam.,
91,13,فَقَالَ لَهُمۡ رَسُولُ ٱللَّهِ نَاقَةَ ٱللَّهِ وَسُقۡيَٰهَا,13. Maar de boodschapper van Allah zei tegen hen: “Wees voorzichtig! Vrees de kwade afloop. Dit is de kamelin van Allah!” (Schaad haar niet) en verhinder haar niet te drinken!”,
91,14,فَكَذَّبُوهُ فَعَقَرُوهَا فَدَمۡدَمَ عَلَيۡهِمۡ رَبُّهُم بِذَنۢبِهِمۡ فَسَوَّىٰهَا,"14. Toen verwierpen zij hem en doodden haar. Dus vernietigde hun Heer hen door de zonde die zij begingen, en maakte hen met de grond gelijk.",
91,15,وَلَا يَخَافُ عُقۡبَٰهَا,15. En Hij vreest niet de gevolgen daarvan.,
