surah,ayah,arabic,translation
1,,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,Maqaa Rabbii Akkaan Mararfataa Akkaan Rahmata Godhaa Taheetiin.{1}
1,,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,Faaruun hundi tan Rabbii Gooftaa aalamaati.
1,,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,Akkaan mararfataa akkaan rahmata godhaa.
1,,مَٰلِكِ يَوۡمِ ٱلدِّينِ,Abbaa (mootii) guyyaa murtii.
1,,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,Si qofa gabbarra; Si qofatti gargaarsifannas.
1,,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,Daandii sirraawaatti nu qajeelchi.
1,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"Karaa warra isaan irratti tola ooltee; kan warra irratti dallanamee kanhintahin, kan jallattootaa (kan hintahin) (nu qajeelchi) {2} {3}"
2,,الٓمٓ,"Alif, Laam, Miim {1}{2}"
2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,Kitaabni kuni [Rabbiin biraa ta’uu isaa keessatti] mamiin isa keessa hin jirreedha; warra Rabbiin sodaataniif qajeelfama.
2,,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"Isaannan ""Ghaybitti"" (wantoota miiraan hin dhaqqabamnetti) amanan, kan salaata sirnaan salaataniifi waan Nuti isaaniif arjoomne irraa kennataniidha."
2,,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,Ammas isaan warra waan gara keetti buufameefi waan si dura buufametti amananiifi isaan Aakhiraa dhugoomsaniidha.
2,,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,Warri sun qajeelfama Rabbii isaanii biraa ta’e irra jiru. Ammas warri sun isaanumatu milkaawoodha.
