surah,ayah,arabic_text,translation,footnotes
40,1,حمٓ,Haa Miim.,
40,2,تَنزِيلُ ٱلۡكِتَٰبِ مِنَ ٱللَّهِ ٱلۡعَزِيزِ ٱلۡعَلِيمِ,"Buufamni kitaabichaa Rabbii injifataa, beekaa ta’e irraayi.",
40,3,غَافِرِ ٱلذَّنۢبِ وَقَابِلِ ٱلتَّوۡبِ شَدِيدِ ٱلۡعِقَابِ ذِي ٱلطَّوۡلِۖ لَآ إِلَٰهَ إِلَّا هُوَۖ إِلَيۡهِ ٱلۡمَصِيرُ,"Araaramaa dilii, qeebalaa tawbaa, (abbaa) adabbii cimaa, abbaa arjummaa (irraayyi). Isa malee dhugaan gabbaramaan hin jiru; deebiin gara Isaati.",
40,4,مَا يُجَٰدِلُ فِيٓ ءَايَٰتِ ٱللَّهِ إِلَّا ٱلَّذِينَ كَفَرُواْ فَلَا يَغۡرُرۡكَ تَقَلُّبُهُمۡ فِي ٱلۡبِلَٰدِ,Keeyyattoota Rabbii keessatti warra kafaran malee eenyulleen hin falmu. Dachii keessa gara gaggaluun isaanii si hin dagin.,
40,5,كَذَّبَتۡ قَبۡلَهُمۡ قَوۡمُ نُوحٖ وَٱلۡأَحۡزَابُ مِنۢ بَعۡدِهِمۡۖ وَهَمَّتۡ كُلُّ أُمَّةِۭ بِرَسُولِهِمۡ لِيَأۡخُذُوهُۖ وَجَٰدَلُواْ بِٱلۡبَٰطِلِ لِيُدۡحِضُواْ بِهِ ٱلۡحَقَّ فَأَخَذۡتُهُمۡۖ فَكَيۡفَ كَانَ عِقَابِ,Isaan dura ummanni Nuuhiifi gareewwan isaan boodaas sobsiisanii jiru. Ummanni hundi ergamaa isaanii qabuuf yaadaniiru. Sobaan falmanii dhugaa balleessufis yaalan.  isaan qabe. adabbiin kiyya akkam ta’e laata!,
40,6,وَكَذَٰلِكَ حَقَّتۡ كَلِمَتُ رَبِّكَ عَلَى ٱلَّذِينَ كَفَرُوٓاْ أَنَّهُمۡ أَصۡحَٰبُ ٱلنَّارِ,Akkuma kanatti jechi Rabbii keetii isaan kafaran irratti ‘dhugumatti. isaan warra ibiddaati (ta’uun’ mirkanoofte).,
40,7,ٱلَّذِينَ يَحۡمِلُونَ ٱلۡعَرۡشَ وَمَنۡ حَوۡلَهُۥ يُسَبِّحُونَ بِحَمۡدِ رَبِّهِمۡ وَيُؤۡمِنُونَ بِهِۦ وَيَسۡتَغۡفِرُونَ لِلَّذِينَ ءَامَنُواْۖ رَبَّنَا وَسِعۡتَ كُلَّ شَيۡءٖ رَّحۡمَةٗ وَعِلۡمٗا فَٱغۡفِرۡ لِلَّذِينَ تَابُواْ وَٱتَّبَعُواْ سَبِيلَكَ وَقِهِمۡ عَذَابَ ٱلۡجَحِيمِ,Isaan (malaykonni) Arshii baadhataniifi isaan naannawa isaa jiranis Gooftaa isaanii faarsuun qulqulleessu; Isattis ni amanu; isaan amananiifis (akkana jechuun) araarama kadhatu: “Rabbii keenya! Ati rahmataafi beekumsaan waan hunda wal geessee jirta; isaan tawbataniifi karaa kee hordofaniif araarami. adabbii jahiim irraas isaan tiksi.,
40,8,رَبَّنَا وَأَدۡخِلۡهُمۡ جَنَّٰتِ عَدۡنٍ ٱلَّتِي وَعَدتَّهُمۡ وَمَن صَلَحَ مِنۡ ءَابَآئِهِمۡ وَأَزۡوَٰجِهِمۡ وَذُرِّيَّٰتِهِمۡۚ إِنَّكَ أَنتَ ٱلۡعَزِيزُ ٱلۡحَكِيمُ,"(Yaa) Rabbii keenya! Jannata qubannaa kan waadaa isaaniif galte isaan seensisi; namoota tolan kan abbootii isaanii irraa tahanis, warreen isaaniitiifi ilmaan isaanii irraa ta’anis (seensisi). Ati sumatu injifataa, ogeessa.",
40,9,وَقِهِمُ ٱلسَّيِّـَٔاتِۚ وَمَن تَقِ ٱلسَّيِّـَٔاتِ يَوۡمَئِذٖ فَقَدۡ رَحِمۡتَهُۥۚ وَذَٰلِكَ هُوَ ٱلۡفَوۡزُ ٱلۡعَظِيمُ,Hamtuulee irraas isaan eegi. Nama hamtuu irraa eegde dhugumatti guyyaa san rahmata isaaf gootee jirta. Suni isumatu milkii guddaadha.”,
40,10,إِنَّ ٱلَّذِينَ كَفَرُواْ يُنَادَوۡنَ لَمَقۡتُ ٱللَّهِ أَكۡبَرُ مِن مَّقۡتِكُمۡ أَنفُسَكُمۡ إِذۡ تُدۡعَوۡنَ إِلَى ٱلۡإِيمَٰنِ فَتَكۡفُرُونَ,"Warri kafaran itti lallabama “jibbaa Rabbii, kan yeroo gara iimaanaa waamamtanii isin kafartan (Inni isin jibbutu) jibbaa mataa keessanii (kan har’a of jibbitan) irra guddaadha”.  jechuun itti lallabama.",
40,11,قَالُواْ رَبَّنَآ أَمَتَّنَا ٱثۡنَتَيۡنِ وَأَحۡيَيۡتَنَا ٱثۡنَتَيۡنِ فَٱعۡتَرَفۡنَا بِذُنُوبِنَا فَهَلۡ إِلَىٰ خُرُوجٖ مِّن سَبِيلٖ,"Ni jedhan: “yaa Gooftaa keenya! Yeroo lama nu ajjeefteeti yeroo lama nu jiraachifte. Amma balleessaalee keenya fudhanneerraa, karaan (rakkoo hamaa kana irraa) ittiin baanu wahii jiraa?”",
40,12,ذَٰلِكُم بِأَنَّهُۥٓ إِذَا دُعِيَ ٱللَّهُ وَحۡدَهُۥ كَفَرۡتُمۡ وَإِن يُشۡرَكۡ بِهِۦ تُؤۡمِنُواْۚ فَٱلۡحُكۡمُ لِلَّهِ ٱلۡعَلِيِّ ٱلۡكَبِيرِ,"Kun waan isin yeroo Rabbiin kophaa Isaa waamamu kafartanii, yeroo Isatti qindeeffame immoo amantaniifi. Murtiin kan Rabbii ol ta’aa, guddaati.",
