surah,ayah,arabic_text,translation,footnotes
92,1,وَٱلَّيۡلِ إِذَا يَغۡشَىٰ,Halkaniin (nan kakadha); yeroo (inni) haguuge.,
92,2,وَٱلنَّهَارِ إِذَا تَجَلَّىٰ,Guyyaanis yeroo inni mul'ate;,
92,3,وَمَا خَلَقَ ٱلذَّكَرَ وَٱلۡأُنثَىٰٓ,Isa kormaafi dhalaa uumeenis;,
92,4,إِنَّ سَعۡيَكُمۡ لَشَتَّىٰ,"Dhugumatti, dalagaan keessan adda adda (wal dhaba).",
92,5,فَأَمَّا مَنۡ أَعۡطَىٰ وَٱتَّقَىٰ,"Ammoo Namni kennatee Rabbiin sodaate,",
92,6,وَصَدَّقَ بِٱلۡحُسۡنَىٰ,"Islaamummaas dhugoomse,",
92,7,فَسَنُيَسِّرُهُۥ لِلۡيُسۡرَىٰ,(Karaa) laaftuuf isa laaffisuuf jirra.,
92,8,وَأَمَّا مَنۢ بَخِلَ وَٱسۡتَغۡنَىٰ,"Ammoo Nama don’oomee of ga’e,",
92,9,وَكَذَّبَ بِٱلۡحُسۡنَىٰ,"Islaamummaa sobsiise,",
92,10,فَسَنُيَسِّرُهُۥ لِلۡعُسۡرَىٰ,(Karaa) jabduuf isa laaffisuuf jirra.,
92,11,وَمَا يُغۡنِي عَنۡهُ مَالُهُۥٓ إِذَا تَرَدَّىٰٓ,Yeroo inni (ibiddatti) kufu qabeenyi isaa isa hin fayyadu.,
92,12,إِنَّ عَلَيۡنَا لَلۡهُدَىٰ,Karaa qajeelaa ifa galchuun (mul'isuun) Nurra jira.,
92,13,وَإِنَّ لَنَا لَلۡأٓخِرَةَ وَٱلۡأُولَىٰ,Aakhiraafi addunyaan keenya.,
92,14,فَأَنذَرۡتُكُمۡ نَارٗا تَلَظَّىٰ,Ibidda qabsiifamaa ta'e isin sodaachise.,
92,15,لَا يَصۡلَىٰهَآ إِلَّا ٱلۡأَشۡقَى,Hoonga’aa malee ishee hin seenu.,
92,16,ٱلَّذِي كَذَّبَ وَتَوَلَّىٰ,Kan sobsiisee gara gale (malee).,
92,17,وَسَيُجَنَّبُهَا ٱلۡأَتۡقَى,Namni Rabbiin sodaatu immoo ishee irraa fageeffamuuf jira.,
92,18,ٱلَّذِي يُؤۡتِي مَالَهُۥ يَتَزَكَّىٰ,Kan qabeenya isaa qulqulleeffachuuf kennu.,
92,19,وَمَا لِأَحَدٍ عِندَهُۥ مِن نِّعۡمَةٖ تُجۡزَىٰٓ,Haala isa bira nama tokkoof galanni galfamu hin jirreen (kan kennatu).,
92,20,إِلَّا ٱبۡتِغَآءَ وَجۡهِ رَبِّهِ ٱلۡأَعۡلَىٰ,Fuula Gooftaa isaa ol aanaa ta'e barbaachaaf malee (hin kennu).,
92,21,وَلَسَوۡفَ يَرۡضَىٰ,"Dhugumatti, inni fuulduratti jaalachuuf jira.",
