surah,ayah,arabic,translation
1,,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,1਼ ਸ਼ੁਰੂ (ਕਰਦਾ ਹਾਂ) ਅੱਲਾਹ ਦੇ ਨਾਂ ਨਾਲ ਜਿਹੜਾ ਅਤਿਅੰਤ ਮਿਹਰਬਾਨ ਅਤੇ ਰਹਿਮ ਫ਼ਰਮਾਉਣ ਵਾਲਾ ਹੈ।
1,,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,2਼ ਸਾਰੀਆਂ ਤਾਰੀਫ਼ਾਂ ਤੇ ਸ਼ੁਕਰਾਨੇ ਉਸ ਅੱਲਾਹ ਲਈ ਹਨ ਜਿਹੜਾ ਕੁੱਲ ਜਹਾਨਾਂ ਦਾ ਰੱਬ ਹੈ। 2
1,,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,3਼ ਅਤਿਅੰਤ ਮਿਹਰਬਾਨ ਤੇ ਰਹਿਮ ਫ਼ਰਮਾਉਣ ਵਾਲਾ ਹੈ।
1,,مَٰلِكِ يَوۡمِ ٱلدِّينِ,4਼ ਬਦਲੇ ਵਾਲੇ ਦਿਨ (ਕਿਆਮਤ) ਦਾ ਮਾਲਿਕ ਹੈ।
1,,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,5਼ ਅਸੀਂ ਤੇਰੀ ਹੀ ਇਬਾਦਤ ਕਰਦੇ ਹਾਂ ਅਤੇ ਤੇਥੋਂ ਹੀ (ਹਰ ਪ੍ਰਕਾਰ ਦੀ) ਮਦਦ ਚਾਹੁੰਦੇ ਹਾਂ।
1,,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,6਼ (ਹੇ ਅੱਲਾਹ!) ਸਾਨੂ ਸਿੱਧਾ ਰਾਹ ਵਿਖਾ। 3
1,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"7਼ ਉਹਨਾਂ ਲੋਕਾਂ ਦੀ ਰਾਹ ਜਿਨ੍ਹਾਂ ਨੂ ਨੂੰ ਤੂੰ ਇਨਾਮ ਬਖ਼ਸ਼ਿਆ,1 ਜਿਨ੍ਹਾਂ ’ਤੇ ਤੇਰਾ ਕਰੋਪ (ਅਜ਼ਾਬ) ਨਹੀਂ ਹੋਇਆ ਅਤੇ ਨਾ ਹੀ (ਸਿੱਧੀ ਰਾਹ ਤੋਂ) ਭਟਕੇ ਹੋਏ ਸੀ। 2"
2,,الٓمٓ,"1਼ ਅਲਿਫ਼, ਲਾਮ, ਮੀਮ।"
2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,"2਼ ਇਹ (ਕੁਰਆਨ, ਅੱਲਾਹ ਦੀ) ਕਿਤਾਬ ਹੈ, ਜਿਸ ਵਿਚ ਰਤਾ ਵੀ ਕੋਈ ਸ਼ੱਕ ਨਹੀਂ (ਕਿ ਇਹ) ਮੁੱਤਕੀਨ 1 (ਰੱਬ ਤੋਂ ਡਰਨ ਵਾਲਿਆਂ) ਲਈ ਹਿਦਾਇਤ (ਦਾ ਸਾਧਨ) ਹੈ।"
2,,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"3਼ ਉਹ, ਜਿਹੜੇ ਗ਼ੈਬੁ 2 ਉੱਤੇ ਈਮਾਨ ਰੱਖਦੇ ਹਨ ਅਤੇ ਨਮਾਜ਼ 3 ਕਾਇਮ ਕਰਦੇ ਹਨ ਅਤੇ ਜੋ ਵੀ ਅਸੀਂ ਉਹਨਾਂ ` (ਮਾਲ) ਦਿੱਤਾ ਹੈ ਉਸ ਵਿੱਚੋਂ (ਅੱਲਾਹ ਦੀ ਰਾਹ ਵਿਚ) ਖ਼ਰਚ ਕਰਦੇ ਹਨ।1"
