surah,ayah,arabic_text,translation,footnotes
44,1,حمٓ,"1਼ ਹਾ, ਮੀਮ।",
44,2,وَٱلۡكِتَٰبِ ٱلۡمُبِينِ,"2਼ ਸਪਸ਼ਟ (ਰੌਸ਼ਨ) ਕਿਤਾਬ, .ਕੁਰਆਨ ਦੀ ਸੁੰਹ।",
44,3,إِنَّآ أَنزَلۡنَٰهُ فِي لَيۡلَةٖ مُّبَٰرَكَةٍۚ إِنَّا كُنَّا مُنذِرِينَ,3਼ ਅਸਾਂ ਇਸ (.ਕੁਰਆਨ) ਨੂੰ ਇਕ ਬਰਕਤਾਂ ਵਾਲੀ ਰਾਤ ਵਿਚ ਉਤਾਰਿਆ ਹੈ। ਬੇਸ਼ਕ ਅਸੀਂ (ਇਸ .ਕੁਰਆਨ ਰਾਹੀਂ ਅਜ਼ਾਬ ਤੋਂ) ਡਰਾਉਣ ਵਾਲੇ ਹਾਂ।,
44,4,فِيهَا يُفۡرَقُ كُلُّ أَمۡرٍ حَكِيمٍ,4਼ ਇਸੇ (ਭਾਗਾਂ ਵਾਲੀ ਰਾਤ ਨੂੰ ਸਾਡੇ ਵੱਲੋਂ) ਹਰੇਕ ਮਾਮਲੇ ਦਾ ਯੁਕਤੀ ਭਰਿਆ ਫ਼ੈਸਲਾ ਕੀਤਾ ਜਾਂਦਾ ਹੈ।,
44,5,أَمۡرٗا مِّنۡ عِندِنَآۚ إِنَّا كُنَّا مُرۡسِلِينَ,5਼ ਵਿਸ਼ੇਸ਼ ਸਾਡੇ ਹੁਕਮ ਅਨੁਸਾਰ (ਹਰੇਕ ਫ਼ੈਸਲਾ ਹੁੰਦਾ ਹੈ) ਬੇਸ਼ੱਕ ਅਸੀਂ ਹੀ (ਰਸੂਲ) ਭੇਜਣ ਵਾਲੇ ਹਾਂ।,
44,6,رَحۡمَةٗ مِّن رَّبِّكَۚ إِنَّهُۥ هُوَ ٱلسَّمِيعُ ٱلۡعَلِيمُ,"6਼ ਇਹ ਤੁਹਾਡੇ ਰੱਬ ਦੀ ਵਿਸ਼ੇਸ਼ ਕ੍ਰਿਪਾ ਹੈ। ਨਿਰਸੰਦੇਹ, ਉਹੀਓ ਸਭ ਕੁੱਝ ਸੁਣਨ ਵਾਲਾ ਤੇ ਜਾਣਨ ਵਾਲਾ ਹੈ।",
44,7,رَبِّ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَمَا بَيۡنَهُمَآۖ إِن كُنتُم مُّوقِنِينَ,7਼ ਉਹ ਜਿਹੜਾ ਅਕਾਸ਼ਾਂ ਤੇ ਧਰਤੀ ਦਾ ਮਾਲਿਕ ਹੈ ਅਤੇ ਉਹਨਾਂ ਦਾ ਵੀ ਜਿਹੜਾ ਇਹਨਾਂ ਦੋਵਾਂ ਦੇ ਵਿਚਾਲੇ ਹੈ। ਜੇ ਤੁਸੀਂ ਵਿਸ਼ਵਾਸ ਕਰਨ ਵਾਲੇ ਹੋ। (ਤਾਂ ਕਰ ਲਿਓ)।,
44,8,لَآ إِلَٰهَ إِلَّا هُوَ يُحۡيِۦ وَيُمِيتُۖ رَبُّكُمۡ وَرَبُّ ءَابَآئِكُمُ ٱلۡأَوَّلِينَ,"8਼ ਕਿ ਛੁੱਟ ਉਸ (ਅੱਲਾਹ) ਤੋਂ ਕੋਈ ਵੀ ਸੱਚਾ ਇਸ਼ਟ ਨਹੀਂ, ਉਹੀਓ ਜੀਵਨ ਦਿੰਦਾ ਹੈ ਤੇ ਉਹੀਓ ਮੌਤ ਦਿੰਦਾ ਹੈ। ਉਹੀਓ ਤੁਹਾਡਾ ਤੇ ਤੁਹਾਡੇ ਪਿਓ ਦਾਦਿਆਂ ਦਾ ਰੱਬ ਹੈ।",
44,9,بَلۡ هُمۡ فِي شَكّٖ يَلۡعَبُونَ,"9਼ ਪਰ ਕਾਫ਼ਿਰਾਂ ਨੂੰ ਵਿਸ਼ਵਾਸ ਨਹੀਂ, ਸਗੋਂ ਉਹ ਤਾਂ ਸ਼ੱਕ ਵਿਚ ਪਏ ਖੇਡ ਰਹੇ ਹਨ।",
44,10,فَٱرۡتَقِبۡ يَوۡمَ تَأۡتِي ٱلسَّمَآءُ بِدُخَانٖ مُّبِينٖ,10਼ ਸੋ (ਹੇ ਨਬੀ!) ਤੁਸੀਂ ਉਸ ਦਿਹਾੜੇ ਦੀ ਉਡੀਕ ਕਰੋ ਜਦੋਂ ਅਕਾਸ਼ ਪ੍ਰਤਖ ਧੂੰਆਂ ਲੈ ਕੇ ਆਵੇਗਾ।,
