surah,ayah,arabic_text,translation,footnotes
70,1,سَأَلَ سَآئِلُۢ بِعَذَابٖ وَاقِعٖ,يو غوښتونكي د (هرومرو) پېښېدونكي عذاب غوښتنه وكړه.,
70,2,لِّلۡكَٰفِرِينَ لَيۡسَ لَهُۥ دَافِعٞ,چې هغه د كافرانو لپاره دى (او) هيڅوك يې ايساروونکی نشته.,
70,3,مِّنَ ٱللَّهِ ذِي ٱلۡمَعَارِجِ,د مرتبو څښتن الله له لوري.,
70,4,تَعۡرُجُ ٱلۡمَلَٰٓئِكَةُ وَٱلرُّوحُ إِلَيۡهِ فِي يَوۡمٖ كَانَ مِقۡدَارُهُۥ خَمۡسِينَ أَلۡفَ سَنَةٖ,هغه ته پرېښتې او روح ورخېژي په هغه ورځ چې اندازه يې پنځوس زره كاله ده.,
70,5,فَٱصۡبِرۡ صَبۡرٗا جَمِيلًا,نو ته صبر كوه، ښه صبر.,
70,6,إِنَّهُمۡ يَرَوۡنَهُۥ بَعِيدٗا,هغوى خو يې لېرې انګېري.,
70,7,وَنَرَىٰهُ قَرِيبٗا,خو موږ يې نېږدې وينو.,
70,8,يَوۡمَ تَكُونُ ٱلسَّمَآءُ كَٱلۡمُهۡلِ,هغه ورځ چې اسمان ويلې شوې كلايي غوندې شي.,
70,9,وَتَكُونُ ٱلۡجِبَالُ كَٱلۡعِهۡنِ,او غرونه به د ټكول شوې وړۍ غوندې وي.,
70,10,وَلَا يَسۡـَٔلُ حَمِيمٌ حَمِيمٗا,او پوښتنه به نشې کولی یو دوست له بل دوست نه.,
70,11,يُبَصَّرُونَهُمۡۚ يَوَدُّ ٱلۡمُجۡرِمُ لَوۡ يَفۡتَدِي مِنۡ عَذَابِ يَوۡمِئِذِۭ بِبَنِيهِ,ټول به ښودلی کیږي دوی ته، ارمان به کوي مجرم چې د هغې ورځې له عذابه د خلاصیدو په موخه خپل زامن په فدیه كې وركړي.,
70,12,وَصَٰحِبَتِهِۦ وَأَخِيهِ,او مېرمن او وروڼه يې.,
70,13,وَفَصِيلَتِهِ ٱلَّتِي تُـٔۡوِيهِ,او خپله هغه كورنۍ چې هغه ته يې ځاى وركولو.,
70,14,وَمَن فِي ٱلۡأَرۡضِ جَمِيعٗا ثُمَّ يُنجِيهِ,او څوك چې په ځمكه كې دي هغه ټول، چې هغه وژغوري.,
70,15,كَلَّآۖ إِنَّهَا لَظَىٰ,هيڅكله [نه شي کیدای چې مجرم دي په فدیه خلاص شي]، هغه (اور) خو لمبې وهونكی دى.,
70,16,نَزَّاعَةٗ لِّلشَّوَىٰ,ویستونکی د اندامونو پوستکي لره.,
70,17,تَدۡعُواْ مَنۡ أَدۡبَرَ وَتَوَلَّىٰ,هر هغه څوك رابولي چې شايې ګرځولې او مخ يې اړولى.,
70,18,وَجَمَعَ فَأَوۡعَىٰٓ,او مال يې راټول كړى او زېرمه كړى دى.,
70,19,۞ إِنَّ ٱلۡإِنسَٰنَ خُلِقَ هَلُوعًا,په رېښتيا انسان بې حوصلې حرصناک پيدا شوى.,
70,20,إِذَا مَسَّهُ ٱلشَّرُّ جَزُوعٗا,چې بدي ور ورسي فرياد كوونكى وي.,
70,21,وَإِذَا مَسَّهُ ٱلۡخَيۡرُ مَنُوعًا,او چې ښېګڼه ورته ورسيږي نو بخيلي كوونكى شي.,
70,22,إِلَّا ٱلۡمُصَلِّينَ,پرته له لمونځ كوونكو.,
70,23,ٱلَّذِينَ هُمۡ عَلَىٰ صَلَاتِهِمۡ دَآئِمُونَ,هغوى چې پر خپلو لمونځونو تل كلك وي.,
70,24,وَٱلَّذِينَ فِيٓ أَمۡوَٰلِهِمۡ حَقّٞ مَّعۡلُومٞ,او چې په مالونو كې يې ټاكلې برخه وي,
70,25,لِّلسَّآئِلِ وَٱلۡمَحۡرُومِ,د سوالګر او بې وزله لپاره.,
70,26,وَٱلَّذِينَ يُصَدِّقُونَ بِيَوۡمِ ٱلدِّينِ,او هغه کسان چې ریښتونې ګڼي ورځ د جزا.,
70,27,وَٱلَّذِينَ هُم مِّنۡ عَذَابِ رَبِّهِم مُّشۡفِقُونَ,او هغوى چې د خپل پالونکي له عذابه وېرېدونكي وي.,
70,28,إِنَّ عَذَابَ رَبِّهِمۡ غَيۡرُ مَأۡمُونٖ,بېشكه چې د خپل پالونکي عذاب يې د بې غمۍ شى نه دى.,
70,29,وَٱلَّذِينَ هُمۡ لِفُرُوجِهِمۡ حَٰفِظُونَ,او هغوى چې د خپلو عورتونو ساتونكي وي.,
70,30,إِلَّا عَلَىٰٓ أَزۡوَٰجِهِمۡ أَوۡ مَا مَلَكَتۡ أَيۡمَٰنُهُمۡ فَإِنَّهُمۡ غَيۡرُ مَلُومِينَ,پرته له خپلو مېرمنو او مينځو يې چې دوى پكې ملامتېدونكي نه دي.,
70,31,فَمَنِ ٱبۡتَغَىٰ وَرَآءَ ذَٰلِكَ فَأُوْلَٰٓئِكَ هُمُ ٱلۡعَادُونَ,نو چا چې ولټاوه پرته لدې نه نو دغه کسان دوی له حد نه تېریدونکي دي.,
70,32,وَٱلَّذِينَ هُمۡ لِأَمَٰنَٰتِهِمۡ وَعَهۡدِهِمۡ رَٰعُونَ,او هغوى چې د خپلو امانتونو او ژمنو خيال ساتونكي دي.,
70,33,وَٱلَّذِينَ هُم بِشَهَٰدَٰتِهِمۡ قَآئِمُونَ,او هغوى چې پر خپلو شاهديو ټينګ ولاړ دي.,
70,34,وَٱلَّذِينَ هُمۡ عَلَىٰ صَلَاتِهِمۡ يُحَافِظُونَ,او هغوى چې د خپل لمانځه ساتنه كوي.,
70,35,أُوْلَٰٓئِكَ فِي جَنَّٰتٖ مُّكۡرَمُونَ,دغه كسان به په جنتونو كې عزتمن اوسېدونكي وي.,
70,36,فَمَالِ ٱلَّذِينَ كَفَرُواْ قِبَلَكَ مُهۡطِعِينَ,نو دا كافران له څه امله ستا په لور ځغلېدونكي دي.,
70,37,عَنِ ٱلۡيَمِينِ وَعَنِ ٱلشِّمَالِ عِزِينَ,چې له ښي او كيڼ لورې ډلې ډلې ناست دي.,
70,38,أَيَطۡمَعُ كُلُّ ٱمۡرِيٕٖ مِّنۡهُمۡ أَن يُدۡخَلَ جَنَّةَ نَعِيمٖ,آيا د هغوى هر كس هيله لري چې نعمتونو والا جنت ته به ننه اېستل شي؟,
