translation_key,language_code,translation_title,translation_version,surah,ayah,arabic_text,translation,footnotes
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,1,,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"Em nome de Allah, O Misericordioso, O Misericordiador",
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,1,,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,"Louvor a Allah, O Senhor dos mundos.",
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,1,,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"O Misericordioso, O Misericordiador.",
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,1,,مَٰلِكِ يَوۡمِ ٱلدِّينِ,O Soberano do Dia do Juízo.,
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,1,,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,Só a Ti adoramos e só de Ti imploramos ajuda,
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,1,,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,Guia-nos à senda reta,
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,1,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,À senda dos que agraciaste; não à dos incursos em Tua ira nem à dos descaminhados,
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,2,,الٓمٓ,"Alif, Lām, Mīm.",
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,"Esse é o Livro. Nele, não há dúvida alguma. É orientação para os piedosos",
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,2,,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"Que crêem no Invisível e cumprem a oração e despendem, do que lhes damos por sustento",
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,2,,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,"E que crêem no que foi descido do céu, para ti e no que fora descido antes de ti, e se convencem da Derradeira Vida",
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,2,,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,Esses estão em orientação de seu Senhor. E esses são os bem-aventurados,
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,2,,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,"Por certo, aos que renegam a Fé, é-lhes igual que os admoestes ou não os admoeste"" não crerão",
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,2,,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ,"Allah selou-lhes os corações e o ouvido e, sobre suas vistas, há névoa. E terão formidável castigo",
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,2,,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ,"E, dentre os homens, há quem diga; ""Cremos em Allah e no Derradeiro Dia"", enquanto não são crentes",
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,2,,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ,"Procuram enganar a Allah e aos que crêem, mas não enganam senão a si mesmos e não percebem.",
portuguese_nasr,pt,Portuguese Translation - Helmy Nasr,1.3.2,2,,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ,"Em seus corações, há enfermidade; então, Allah acrescentou-lhes enfermidade. E terão doloroso castigo, porque mentiam",
