surah,ayah,arabic_text,translation,footnotes
40,1,حمٓ,"Ha, Mim.",
40,2,تَنزِيلُ ٱلۡكِتَٰبِ مِنَ ٱللَّهِ ٱلۡعَزِيزِ ٱلۡعَلِيمِ,"A revelação do Livro é de Allah, O Todo-Poderoso, O Onisciente.",
40,3,غَافِرِ ٱلذَّنۢبِ وَقَابِلِ ٱلتَّوۡبِ شَدِيدِ ٱلۡعِقَابِ ذِي ٱلطَّوۡلِۖ لَآ إِلَٰهَ إِلَّا هُوَۖ إِلَيۡهِ ٱلۡمَصِيرُ,"O Perdoador do delito e O Aceitador do arrependimento, O Veemente na punição, O Dotado de posses. Não existe deus senão Ele. A Ele será o destino.",
40,4,مَا يُجَٰدِلُ فِيٓ ءَايَٰتِ ٱللَّهِ إِلَّا ٱلَّذِينَ كَفَرُواْ فَلَا يَغۡرُرۡكَ تَقَلُّبُهُمۡ فِي ٱلۡبِلَٰدِ,"Não discutem acerca dos sinais de Allah senão os que renegam a Fé. Então, não te iluda, Muhammad, sua prosperidade, nas terras.",
40,5,كَذَّبَتۡ قَبۡلَهُمۡ قَوۡمُ نُوحٖ وَٱلۡأَحۡزَابُ مِنۢ بَعۡدِهِمۡۖ وَهَمَّتۡ كُلُّ أُمَّةِۭ بِرَسُولِهِمۡ لِيَأۡخُذُوهُۖ وَجَٰدَلُواْ بِٱلۡبَٰطِلِ لِيُدۡحِضُواْ بِهِ ٱلۡحَقَّ فَأَخَذۡتُهُمۡۖ فَكَيۡفَ كَانَ عِقَابِ,"Antes deles, o povo de Noé e os partidos, depois deles, desmentiram aos Mensageiros. E cada comunidade intentou contra seu Mensageiro, para apanhá-lo. E discutiram, com a falsidade, para com esta, refutar a verdade; então, apanhei-os. E, como foi Minha punição?",
40,6,وَكَذَٰلِكَ حَقَّتۡ كَلِمَتُ رَبِّكَ عَلَى ٱلَّذِينَ كَفَرُوٓاْ أَنَّهُمۡ أَصۡحَٰبُ ٱلنَّارِ,"E assim, a Palavra de teu Senhor cumpre-se, contra os que renegam a Fé: ""Por certo, eles serão os companheiros do Fogo.""",
40,7,ٱلَّذِينَ يَحۡمِلُونَ ٱلۡعَرۡشَ وَمَنۡ حَوۡلَهُۥ يُسَبِّحُونَ بِحَمۡدِ رَبِّهِمۡ وَيُؤۡمِنُونَ بِهِۦ وَيَسۡتَغۡفِرُونَ لِلَّذِينَ ءَامَنُواْۖ رَبَّنَا وَسِعۡتَ كُلَّ شَيۡءٖ رَّحۡمَةٗ وَعِلۡمٗا فَٱغۡفِرۡ لِلَّذِينَ تَابُواْ وَٱتَّبَعُواْ سَبِيلَكَ وَقِهِمۡ عَذَابَ ٱلۡجَحِيمِ,"Os que carregam o Trono e os que estão a seu redor glorificam, com louvor, a seu Senhor e nEle crêem, e imploram perdão para os que crêem: ""Senhor nosso! Tu abranges, em misericórdia e ciência, todas as cousas; então, perdoa os que se voltam arrependidos e seguem Teu caminho, e guarda-os do castigo do Inferno""",
40,8,رَبَّنَا وَأَدۡخِلۡهُمۡ جَنَّٰتِ عَدۡنٍ ٱلَّتِي وَعَدتَّهُمۡ وَمَن صَلَحَ مِنۡ ءَابَآئِهِمۡ وَأَزۡوَٰجِهِمۡ وَذُرِّيَّٰتِهِمۡۚ إِنَّكَ أَنتَ ٱلۡعَزِيزُ ٱلۡحَكِيمُ,"""Senhor Nosso! E faze-os entrar nos Jardins do Éden, que lhes prometeste, e a quem é íntegro dentre seus pais e suas mulheres e sua descendência. Por certo, Tu, Tu és O Todo-Poderoso, O Sábio.""",
40,9,وَقِهِمُ ٱلسَّيِّـَٔاتِۚ وَمَن تَقِ ٱلسَّيِّـَٔاتِ يَوۡمَئِذٖ فَقَدۡ رَحِمۡتَهُۥۚ وَذَٰلِكَ هُوَ ٱلۡفَوۡزُ ٱلۡعَظِيمُ,"""E guarda-os das más obras. E a quem Tu guardas das más obras, nesse dia, com efeito, deles terás misericórdia. E isso é o magnífico triunfo.""",
40,10,إِنَّ ٱلَّذِينَ كَفَرُواْ يُنَادَوۡنَ لَمَقۡتُ ٱللَّهِ أَكۡبَرُ مِن مَّقۡتِكُمۡ أَنفُسَكُمۡ إِذۡ تُدۡعَوۡنَ إِلَى ٱلۡإِيمَٰنِ فَتَكۡفُرُونَ,"Por certo, os que renegam a Fé serão chamados, ao entrarem no Fogo: ""Em verdade, a abominação de Allah contra vós é maior que vossa abominação contra vós mesmos, quando éreis convocados á Fé e a renegáveis.""",
