surah,ayah,arabic_text,translation,footnotes
54,1,ٱقۡتَرَبَتِ ٱلسَّاعَةُ وَٱنشَقَّ ٱلۡقَمَرُ,"Umuhero w’isi, vuba bwango ugiye gushika, n’ukwezi kwigabuyemwo kubiri[1];","[1] Abagarariji b’i Makka, barasavye Intumwa Muhamadi (nyakugira amahoro n’impuhwe z’Imana Allah) ko yobereka igitangaro cotuma bayemera, ica isaba Imana Allah ko Yokibereka, Imana Allah Ica Ibereka ukwezi kwigabuyemwo kubiri ukuri kwamye, maze baravyibonera n’amaso."
54,2,وَإِن يَرَوۡاْ ءَايَةٗ يُعۡرِضُواْ وَيَقُولُواْ سِحۡرٞ مُّسۡتَمِرّٞ,"N’iyo ababangikanyamana babonye igitangaro cerekana ko Muhamadi (nyakugira amahoro n’impuhwe z’Imana Allah) ari Intumwa y’ukuri, barirengagiza kumwemera bakamwamirira kure, bakavuga bahakana bati: “Ico gitangaro, ni uburozi butamara kabiri”;",
54,3,وَكَذَّبُواْ وَٱتَّبَعُوٓاْ أَهۡوَآءَهُمۡۚ وَكُلُّ أَمۡرٖ مُّسۡتَقِرّٞ,"Barahakanye bivuye inyuma Umuvugishwamana Muhamadi (nyakugira amahoro n’impuhwe z’Imana Allah), maze bakurikira ubuhuvyi ku vyipfuzo vyabo. Uguhembwa ineza canke inabi ku vyakozwe n’ibiremwa rero, bitegerezwa kuba ku musi w’izuka, nta gisivya.",
54,4,وَلَقَدۡ جَآءَهُم مِّنَ ٱلۡأَنۢبَآءِ مَا فِيهِ مُزۡدَجَرٌ,"Abagarariji b’Abakorayishi, ni ukuri barashikiriwe n’inkuru z’ivyashikiye abigeze kugarariza Intumwa, maze ibashikira mu buryo bukwiye kandi butomoye kugira bavavanure n’igarariza.",
54,5,حِكۡمَةُۢ بَٰلِغَةٞۖ فَمَا تُغۡنِ ٱلنُّذُرُ,"Iyi Qor’ani yabashikiriye, irimwo imvo n’imvano y’ingingo n’amabwirizwa vyotuma batumbera ukuri. None ni irihe gabishwa ryogira ico rimariye abantu birengagije bakamirira kure Qor’ani!",
54,6,فَتَوَلَّ عَنۡهُمۡۘ يَوۡمَ يَدۡعُ ٱلدَّاعِ إِلَىٰ شَيۡءٖ نُّكُرٍ,"Ntumwa y’Imana! Birengagize maze ubarabishe amaso. Bihoze, ubarindire, ubatege umusi umuraritsi yavugije inzamba ararikira ibiremwa kuja ku kintu gihambaye koko, na co si ikindi, ni uguharurirwa ivyo vyakoze;",
54,7,خُشَّعًا أَبۡصَٰرُهُمۡ يَخۡرُجُونَ مِنَ ٱلۡأَجۡدَاثِ كَأَنَّهُمۡ جَرَادٞ مُّنتَشِرٞ,"Umusi, amaso yavyo azoba araba hasi ku guteterwa, bigayitse, bisokoroka biva mu kuzimu nka kurya kw’inzige zaraze zigashwiragirika zigakwira hose;",
54,8,مُّهۡطِعِينَ إِلَى ٱلدَّاعِۖ يَقُولُ ٱلۡكَٰفِرُونَ هَٰذَا يَوۡمٌ عَسِرٞ,"Maze bigende binyaragasa ku co nya muraritsi abirarikiye, abagarariji bace bavuga bati: “Uwu musi ku ntureka zawo, uraremereye pe!”.",
54,9,۞ كَذَّبَتۡ قَبۡلَهُمۡ قَوۡمُ نُوحٖ فَكَذَّبُواْ عَبۡدَنَا وَقَالُواْ مَجۡنُونٞ وَٱزۡدُجِرَ,"Ntumwa y’Imana! Aho hambere yabo, haragararije abantu ba Nuhu, baraheza barahakana bivuye inyuma Umuja wacu Nuhu, maze barinamura bavuga bati: “Nuhu, ni umusazi yakehewe n’ubwenge!”; baraheza baramwihaniza bamutega imisi.",
54,10,فَدَعَا رَبَّهُۥٓ أَنِّي مَغۡلُوبٞ فَٱنتَصِرۡ,"Nuhu aca arasaba Imana yiwe Rurema Allah ati: “Jewe mu vy’ukuri, narengewe no guhangana na bo, ndagusavye rero ko Untabara mu kubahana”;",
