surah,ayah,arabic_text,translation,footnotes
93,1,وَٱلضُّحَىٰ,"Jewe Allah, Ndarahiye ku gihe c’umutaga!",
93,2,وَٱلَّيۡلِ إِذَا سَجَىٰ,No kw’ijoro iyo ripfutse ibiremwa bigaturura!,
93,3,مَا وَدَّعَكَ رَبُّكَ وَمَا قَلَىٰ,Ko Imana yawe Rurema Allah Itaguhevye Muvugishwamana; kandi ko Itanagushavuriye ku guteba kw’ihishurirwa rya Qor’ani.,
93,4,وَلَلۡأٓخِرَةُ خَيۡرٞ لَّكَ مِنَ ٱلۡأُولَىٰ,"Nta nkeka rero ko ubuzima bwawe bw’inyuma yo gupfa, ari bwiza kurusha ubwo kw’isi.",
93,5,وَلَسَوۡفَ يُعۡطِيكَ رَبُّكَ فَتَرۡضَىٰٓ,"Kandi nta nkeka ko Imana yawe Rurema Allah, Izoguha vyinshi uzoheza ugashima.",
93,6,أَلَمۡ يَجِدۡكَ يَتِيمٗا فَـَٔاوَىٰ,"Muvugishwamana! Mbega, Imana Allah ntiyagusanze uri impfuvyi, Ikakubungabunga!",
93,7,وَوَجَدَكَ ضَآلّٗا فَهَدَىٰ,"Igusanga utazi ico ari co Igitabu, n’ico ari co ukwemera! Iraheza Irakwigisha ivyo utari uzi, Inagushoboza gukora n'ivyiza bitegetswe!",
93,8,وَوَجَدَكَ عَآئِلٗا فَأَغۡنَىٰ,"Igusanga ukenye maze Iragukenura, Iguha ukwihangana no kubumbwa n’ivyo ufise!",
93,9,فَأَمَّا ٱلۡيَتِيمَ فَلَا تَقۡهَرۡ,"Kubera ivyo rero, ntukaryagumbe impfuvyi ngo uyihahaze.",
93,10,وَأَمَّا ٱلسَّآئِلَ فَلَا تَنۡهَرۡ,"Nayo uwusavye gufashwa canke kwigishwa, ntukamuburabuze, ahubwo muhe unamutunganirize;",
93,11,وَأَمَّا بِنِعۡمَةِ رَبِّكَ فَحَدِّثۡ,"Nayo inema z’Imana yawe Rurema Allah, ziyage ushima.",
