surah,ayah,arabic_text,translation,footnotes
34,1,ٱلۡحَمۡدُ لِلَّهِ ٱلَّذِي لَهُۥ مَا فِي ٱلسَّمَٰوَٰتِ وَمَا فِي ٱلۡأَرۡضِ وَلَهُ ٱلۡحَمۡدُ فِي ٱلۡأٓخِرَةِۚ وَهُوَ ٱلۡحَكِيمُ ٱلۡخَبِيرُ,"Ishimwe n’ikuzo byuzuye ni ibya Allah, We nyir’ibiri mu birere n’ibiri mu isi. Kandi akaba na nyir’ibisingizo byuzuye mu buzima bwa nyuma (imperuka); ndetse ni We Nyirubugenge buhambaye, Umumenyi wa byose.",
34,2,يَعۡلَمُ مَا يَلِجُ فِي ٱلۡأَرۡضِ وَمَا يَخۡرُجُ مِنۡهَا وَمَا يَنزِلُ مِنَ ٱلسَّمَآءِ وَمَا يَعۡرُجُ فِيهَاۚ وَهُوَ ٱلرَّحِيمُ ٱلۡغَفُورُ,"Azi ibyinjira mu butaka n’ibibusohokamo, ibimanuka mu kirere ndetse n’ibikizamukamo. Kandi ni Nyirimpuhwe, Nyir’ukubabarira ibyaha.",
34,3,وَقَالَ ٱلَّذِينَ كَفَرُواْ لَا تَأۡتِينَا ٱلسَّاعَةُۖ قُلۡ بَلَىٰ وَرَبِّي لَتَأۡتِيَنَّكُمۡ عَٰلِمِ ٱلۡغَيۡبِۖ لَا يَعۡزُبُ عَنۡهُ مِثۡقَالُ ذَرَّةٖ فِي ٱلسَّمَٰوَٰتِ وَلَا فِي ٱلۡأَرۡضِ وَلَآ أَصۡغَرُ مِن ذَٰلِكَ وَلَآ أَكۡبَرُ إِلَّا فِي كِتَٰبٖ مُّبِينٖ,"Ba bandi bahakanye baravuze bati “Imperuka ntizatugeraho!” Vuga (yewe Muhamadi) uti “Ndahiye ku izina rya Nyagasani wanjye, Umumenyi w’ibitagaragara, ko rwose izabageraho (nta kabuza); nta kimwisoba mu birere cyangwa mu isi kabone n’iyo cyaba kingana n’impeke y’ururo cyangwa kiri mu nsi yacyo ndetse n’ikinini kuri cyo, usibye ko (byose) biri mu gitabo gisobanutse”,",
34,4,لِّيَجۡزِيَ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِۚ أُوْلَٰٓئِكَ لَهُم مَّغۡفِرَةٞ وَرِزۡقٞ كَرِيمٞ,(Ibyo ni) ukugira ngo (Allah) azagororere ba bandi bemeye bakanakora ibikorwa byiza. Abo bazababarirwa ibyaha ndetse banahabwe amafunguro yubahitse.,
34,5,وَٱلَّذِينَ سَعَوۡ فِيٓ ءَايَٰتِنَا مُعَٰجِزِينَ أُوْلَٰٓئِكَ لَهُمۡ عَذَابٞ مِّن رِّجۡزٍ أَلِيمٞ,"Naho ba bandi baharaniye kuburizamo amagambo yacu (bibwira ko) bazadutsinda, bazahanishwa ibihano bibi cyane kandi bibabaza.",
34,6,وَيَرَى ٱلَّذِينَ أُوتُواْ ٱلۡعِلۡمَ ٱلَّذِيٓ أُنزِلَ إِلَيۡكَ مِن رَّبِّكَ هُوَ ٱلۡحَقَّ وَيَهۡدِيٓ إِلَىٰ صِرَٰطِ ٱلۡعَزِيزِ ٱلۡحَمِيدِ,"Na ba bandi bahawe ubumenyi bw’ibyo wahishuriwe (wowe Muhamadi) biturutse kwa Nyagasani wawe, babona ko ari ukuri kandi ko biyobora biganisha mu nzira y’Umunyacyubahiro bihebuje, Usingizwa cyane.",
34,7,وَقَالَ ٱلَّذِينَ كَفَرُواْ هَلۡ نَدُلُّكُمۡ عَلَىٰ رَجُلٖ يُنَبِّئُكُمۡ إِذَا مُزِّقۡتُمۡ كُلَّ مُمَزَّقٍ إِنَّكُمۡ لَفِي خَلۡقٖ جَدِيدٍ,"Naho ba bandi bahakanye baravuze bati “Ese tubereke umuntu (Muhamadi) ubabwira ko nimupfa mugashwanyagurika mukaba ubushingwe, ko rwose muzongera mukaremwa bundi bushya?”",
34,8,أَفۡتَرَىٰ عَلَى ٱللَّهِ كَذِبًا أَم بِهِۦ جِنَّةُۢۗ بَلِ ٱلَّذِينَ لَا يُؤۡمِنُونَ بِٱلۡأٓخِرَةِ فِي ٱلۡعَذَابِ وَٱلضَّلَٰلِ ٱلۡبَعِيدِ,"Ese (Muhamadi) yaba yarahimbiye Allah ibinyoma, cyangwa yarasaze? (Oya!) Ahubwo abatemera imperuka bari mu bihano no mu buyobe bukabije.",
34,9,أَفَلَمۡ يَرَوۡاْ إِلَىٰ مَا بَيۡنَ أَيۡدِيهِمۡ وَمَا خَلۡفَهُم مِّنَ ٱلسَّمَآءِ وَٱلۡأَرۡضِۚ إِن نَّشَأۡ نَخۡسِفۡ بِهِمُ ٱلۡأَرۡضَ أَوۡ نُسۡقِطۡ عَلَيۡهِمۡ كِسَفٗا مِّنَ ٱلسَّمَآءِۚ إِنَّ فِي ذَٰلِكَ لَأٓيَةٗ لِّكُلِّ عَبۡدٖ مُّنِيبٖ,Ese ntibabona ikirere n’isi biri imbere yabo n’inyuma yabo? Tubishatse twabarigitisha mu butaka cyangwa tukabaturaho igice cy’ikirere. Mu by’ukuri muri ibyo harimo ikimenyetso kuri buri mugaragu (wa Allah) wicuza.,
34,10,۞ وَلَقَدۡ ءَاتَيۡنَا دَاوُۥدَ مِنَّا فَضۡلٗاۖ يَٰجِبَالُ أَوِّبِي مَعَهُۥ وَٱلطَّيۡرَۖ وَأَلَنَّا لَهُ ٱلۡحَدِيدَ,"Kandi rwose Dawudi twamuhundagajeho ingabire ziduturutseho (tugira tuti) “Yemwe misozi n’inyoni! Nimusingize (Allah) mufatanyije na we (Dawudi).” Twanamworohereje icyuma (kugira ngo ajye agikoramo ibyo ashaka),",
34,11,أَنِ ٱعۡمَلۡ سَٰبِغَٰتٖ وَقَدِّرۡ فِي ٱلسَّرۡدِۖ وَٱعۡمَلُواْ صَٰلِحًاۖ إِنِّي بِمَا تَعۡمَلُونَ بَصِيرٞ,"(Turamubwira tuti) “Cura ingabo nini z’amakote (y’icyuma ameze nk’utuyungirizo) kandi ugere neza utwenge twayo, ndetse munakore ibikorwa byiza.” Mu by’ukuri Njye ndi Ubona bihebuje ibyo mukora.",
34,12,وَلِسُلَيۡمَٰنَ ٱلرِّيحَ غُدُوُّهَا شَهۡرٞ وَرَوَاحُهَا شَهۡرٞۖ وَأَسَلۡنَا لَهُۥ عَيۡنَ ٱلۡقِطۡرِۖ وَمِنَ ٱلۡجِنِّ مَن يَعۡمَلُ بَيۡنَ يَدَيۡهِ بِإِذۡنِ رَبِّهِۦۖ وَمَن يَزِغۡ مِنۡهُمۡ عَنۡ أَمۡرِنَا نُذِقۡهُ مِنۡ عَذَابِ ٱلسَّعِيرِ,"Twanorohereje Sulayimani (gutwarwa n’)umuyaga, wakoraga mu gitondo (kimwe) urugendo rw’ukwezi (ku muntu ugenda n’amaguru), ndetse n’umugoroba (umwe) urugendo rw’ukwezi. Twanamuhaye isoko ivubura umushongi w’umuringa (kugira ngo awukoremo ibyo ashatse). No mu majini hari amukorera (imirimo) abiherewe uburenganzira na Nyagasani we. Kandi iryanyuranyaga n’itegeko ryacu muri yo, twarisogongezaga ibihano by’umuriro ugurumana.",
34,13,يَعۡمَلُونَ لَهُۥ مَا يَشَآءُ مِن مَّحَٰرِيبَ وَتَمَٰثِيلَ وَجِفَانٖ كَٱلۡجَوَابِ وَقُدُورٖ رَّاسِيَٰتٍۚ ٱعۡمَلُوٓاْ ءَالَ دَاوُۥدَ شُكۡرٗاۚ وَقَلِيلٞ مِّنۡ عِبَادِيَ ٱلشَّكُورُ,"(Amajini) yamukoreraga ibyo (Sulayimani) ashaka birimo kumwubakira ingoro, amashusho, amasiniya magari angana nk’ibizenga ndetse n’inkono zishimangiye (aho ziteretse, maze turababwira tuti) “Yemwe bantu ba Dawudi! Mukore mushimira (Allah). Ariko mu bagaragu banjye abashimira ni bo bake.”",
34,14,فَلَمَّا قَضَيۡنَا عَلَيۡهِ ٱلۡمَوۡتَ مَا دَلَّهُمۡ عَلَىٰ مَوۡتِهِۦٓ إِلَّا دَآبَّةُ ٱلۡأَرۡضِ تَأۡكُلُ مِنسَأَتَهُۥۖ فَلَمَّا خَرَّ تَبَيَّنَتِ ٱلۡجِنُّ أَن لَّوۡ كَانُواْ يَعۡلَمُونَ ٱلۡغَيۡبَ مَا لَبِثُواْ فِي ٱلۡعَذَابِ ٱلۡمُهِينِ,"Nuko ubwo (Sulayimani) twamuciragaho iteka ryo gupfa, nta cyayamenyesheje (amajini) ko yapfuye, usibye agakoko ko mu butaka (umuswa) kariye inkoni ye (yari yishingikirije). Maze aguye hasi, amajini amenya ko iyo aza kuba azi ibyihishe atari kuba yaragumye mu bihano bisuzuguza (kuko aba yaramenye urupfu rwa Sulayimani).",
34,15,لَقَدۡ كَانَ لِسَبَإٖ فِي مَسۡكَنِهِمۡ ءَايَةٞۖ جَنَّتَانِ عَن يَمِينٖ وَشِمَالٖۖ كُلُواْ مِن رِّزۡقِ رَبِّكُمۡ وَٱشۡكُرُواْ لَهُۥۚ بَلۡدَةٞ طَيِّبَةٞ وَرَبٌّ غَفُورٞ,Mu by’ukuri aho abantu ba Saba-i (Sheba) bari batuye hari ikimenyetso (kigaragaza ubushobozi bwacu) kuri bo; (ari cyo) imirima ibiri yari iburyo (bw’ikibaya) n’ibumoso bwacyo. (Turababwira tuti) “Nimurye mu mafunguro ya Nyagasani wanyu ndetse munamushimire.” (Mufite) igihugu cyiza kandi na Nyagasani (wanyu) ni Nyirimbabazi!,
34,16,فَأَعۡرَضُواْ فَأَرۡسَلۡنَا عَلَيۡهِمۡ سَيۡلَ ٱلۡعَرِمِ وَبَدَّلۡنَٰهُم بِجَنَّتَيۡهِمۡ جَنَّتَيۡنِ ذَوَاتَيۡ أُكُلٍ خَمۡطٖ وَأَثۡلٖ وَشَيۡءٖ مِّن سِدۡرٖ قَلِيلٖ,"Nuko barirengagiza maze tuboherereza umwuzure usenya urugomero (unangiza imirima), hanyuma tubahinduriramo imirima ibiri y’imbuto zibishye kandi zirura, n’ibiti bitera ndetse na bimwe mu biti by’iminyinya .",
34,17,ذَٰلِكَ جَزَيۡنَٰهُم بِمَا كَفَرُواْۖ وَهَلۡ نُجَٰزِيٓ إِلَّا ٱلۡكَفُورَ,"Uko (kubahindurira tubaha imirima mibi), twabikoze (nk’igihano) kubera ubuhakanyi bwabo. Ese hari abandi duhanisha (igihano gikaze) usibye abahakanyi?",
34,18,وَجَعَلۡنَا بَيۡنَهُمۡ وَبَيۡنَ ٱلۡقُرَى ٱلَّتِي بَٰرَكۡنَا فِيهَا قُرٗى ظَٰهِرَةٗ وَقَدَّرۡنَا فِيهَا ٱلسَّيۡرَۖ سِيرُواْ فِيهَا لَيَالِيَ وَأَيَّامًا ءَامِنِينَ,"Twanashyize imidugudu (iri ahirengeye) hagati yabo (abantu ba Sabai) n’imidugudu twahaye imigisha, tunoroshya ingendo hagati yayo (tugira tuti) “Ngaho nimuyigendemo amajoro n’amanywa mutekanye.”",
34,19,فَقَالُواْ رَبَّنَا بَٰعِدۡ بَيۡنَ أَسۡفَارِنَا وَظَلَمُوٓاْ أَنفُسَهُمۡ فَجَعَلۡنَٰهُمۡ أَحَادِيثَ وَمَزَّقۡنَٰهُمۡ كُلَّ مُمَزَّقٍۚ إِنَّ فِي ذَٰلِكَ لَأٓيَٰتٖ لِّكُلِّ صَبَّارٖ شَكُورٖ,"(Ariko iyo ngabire barayirambiwe) maze baravuga bati “Nyagasani wacu! Ingendo zacu zigire ndende (hagati muri iyo midugudu)”, nuko ubwabo barihemukira tubagira iciro ry’imigani, turanabarimbura burundu. Mu by’ukuri, muri ibyo harimo ibimenyetso kuri buri wese wihangana cyane, ushimira cyane.",
34,20,وَلَقَدۡ صَدَّقَ عَلَيۡهِمۡ إِبۡلِيسُ ظَنَّهُۥ فَٱتَّبَعُوهُ إِلَّا فَرِيقٗا مِّنَ ٱلۡمُؤۡمِنِينَ,"Rwose Ibilisi (Shitani) yabasohorejeho umugambi wayo (wo kubayobya), nuko barayikurikira usibye itsinda mu bemeramana (ryashikamye ku kumvira Allah).",
34,21,وَمَا كَانَ لَهُۥ عَلَيۡهِم مِّن سُلۡطَٰنٍ إِلَّا لِنَعۡلَمَ مَن يُؤۡمِنُ بِٱلۡأٓخِرَةِ مِمَّنۡ هُوَ مِنۡهَا فِي شَكّٖۗ وَرَبُّكَ عَلَىٰ كُلِّ شَيۡءٍ حَفِيظٞ,Kandi ntabwo (Ibilisi) yari ibafiteho ubushobozi (bwo kubayobya) usibye ko (twabikoze) dushaka kugaragaza uwemera imperuka n’uyishidikanyaho. Kandi Nyagasani wawe ni Umurinzi wa byose.,
34,22,قُلِ ٱدۡعُواْ ٱلَّذِينَ زَعَمۡتُم مِّن دُونِ ٱللَّهِ لَا يَمۡلِكُونَ مِثۡقَالَ ذَرَّةٖ فِي ٱلسَّمَٰوَٰتِ وَلَا فِي ٱلۡأَرۡضِ وَمَا لَهُمۡ فِيهِمَا مِن شِرۡكٖ وَمَا لَهُۥ مِنۡهُم مِّن ظَهِيرٖ,"Vuga (yewe Muhamadi) uti “Nimuhamagare ibyo mwise imana mu cyimbo cya Allah (mukeka ko hari icyo byabamarira), ntibitunze n’igifite uburemere bungana n’akantu gato cyane kurusha ibindi haba mu birere no mu isi. Kandi nta bufatanye byagiranye (na Allah, mu iremwa ry’ibiri mu isi no mu birere), ndetse nta n’umushyigikira afite muri byo.”",
