surah,ayah,arabic_text,translation,footnotes
92,1,وَٱلَّيۡلِ إِذَا يَغۡشَىٰ,"Ndahiye ijoro igihe riguye,",
92,2,وَٱلنَّهَارِ إِذَا تَجَلَّىٰ,"N’amanywa igihe atangaje,",
92,3,وَمَا خَلَقَ ٱلذَّكَرَ وَٱلۡأُنثَىٰٓ,"N’uwaremye ikigabo n’ikigore,",
92,4,إِنَّ سَعۡيَكُمۡ لَشَتَّىٰ,"Mu by’ukuri ibikorwa byanyu biratandukanye,",
92,5,فَأَمَّا مَنۡ أَعۡطَىٰ وَٱتَّقَىٰ,"Wa wundi utanga (amaturo) akanagandukira (Allah),",
92,6,وَصَدَّقَ بِٱلۡحُسۡنَىٰ,"Kandi akizera icyiza (Ijuru),",
92,7,فَسَنُيَسِّرُهُۥ لِلۡيُسۡرَىٰ,Tuzamworohereza inzira y’ibyiza.,
92,8,وَأَمَّا مَنۢ بَخِلَ وَٱسۡتَغۡنَىٰ,"Ariko uzaba umunyabugugu, akirata yumva ko yishoboye,",
92,9,وَكَذَّبَ بِٱلۡحُسۡنَىٰ,"Akanahinyura icyiza,",
92,10,فَسَنُيَسِّرُهُۥ لِلۡعُسۡرَىٰ,"Tuzamworohereza inzira y’ibibi,",
92,11,وَمَا يُغۡنِي عَنۡهُ مَالُهُۥٓ إِذَا تَرَدَّىٰٓ,"Kandi ubwo azaba arimbuka (ajyanywe mu muriro), umutungo we nta cyo uzamumarira.",
92,12,إِنَّ عَلَيۡنَا لَلۡهُدَىٰ,Mu by’ukuri ukuyobora ni ukwacu.,
92,13,وَإِنَّ لَنَا لَلۡأٓخِرَةَ وَٱلۡأُولَىٰ,Kandi mu by’ukuri ni natwe tugenga iby’imperuka n’ibibanza (iby’isi).,
92,14,فَأَنذَرۡتُكُمۡ نَارٗا تَلَظَّىٰ,"Bityo, mbaburiye umuriro ugurumana.",
92,15,لَا يَصۡلَىٰهَآ إِلَّا ٱلۡأَشۡقَى,"Nta we uzawinjiramo utari inkozi y’ibibi,",
92,16,ٱلَّذِي كَذَّبَ وَتَوَلَّىٰ,Wa wundi wahinyuye (ukuri) akanagutera umugongo.,
92,17,وَسَيُجَنَّبُهَا ٱلۡأَتۡقَى,"Ariko ukora ibikorwa byiza, azawurindwa,",
92,18,ٱلَّذِي يُؤۡتِي مَالَهُۥ يَتَزَكَّىٰ,"Wa wundi utanga umutungo we kugira ngo yiyeze,",
92,19,وَمَا لِأَحَدٍ عِندَهُۥ مِن نِّعۡمَةٖ تُجۡزَىٰٓ,Kandi ntashishikazwe no kwiturwa n’uwo yagiriye neza.,
92,20,إِلَّا ٱبۡتِغَآءَ وَجۡهِ رَبِّهِ ٱلۡأَعۡلَىٰ,"Ahubwo (akabikora agamije) gushaka kwishimirwa na Nyagasani we, Uwikirenga.",
92,21,وَلَسَوۡفَ يَرۡضَىٰ,Kandi rwose azishima (ubwo azinjira mu Ijuru).,
