surah,ayah,arabic_text,translation,footnotes
1,1,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,අපරිමිත දයාන්විත අසමසම කරුණාන්විත වූ අල්ලාහ්ගේ නාමයෙනි.,
1,2,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,සියලු ප්‍රශංසා ලෝකයන්හි පරමාධිපති වූ අල්ලාහ්ට ම ය.,
1,3,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,අපරිමිත දයාන්විතය අසමසම කරුණාන්විත ය.,
1,4,مَٰلِكِ يَوۡمِ ٱلدِّينِ,විනිශ්චය දිනයේ රජු ය.,
1,5,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,ඔබට ම අපි නමදිමු. ඔබගෙන් ම අපි උදව් පතමු.,
1,6,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,අපට ඍජු මඟ පෙන්වනු මැනව.,
1,7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,ඔබ කවරෙකුට ආශිර්වාද කළේ ද එම මාර්ගයයි. තමන් කෙරෙහි කෝපයට ලක් වූවන් හෝ මුළාවූවන්ගේ මාර්ගය නො ව.,
2,1,الٓمٓ,"අලිෆ්, ලාම්, මීම්. (මේ ආකාරයට අරාබි අක්ෂර කිහිපයකින් පසු අල් කුර්ආනයේ සමහර පරිච්ජේද ආරම්භ වේ. විද්වතුන්ගේ අදහස් අනුව, මෙහි අපි නොදන්නා ගැඹුරු අර්ථයක් අන්තර්ගත වී ඇත.)",
2,2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,"එයයි පුස්තකය, එහි කිසිදු සැකයක් නැත. බිය බැතිමතුන්හට (එය) මඟ පෙන්වන්නකි.",
2,3,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,ඔවුහු කවරහු ද යත් අදෘශ්‍යමාන දෑ පිළිබඳව විශ්වාස කරති. තවද සලාතය විදිමත්ව ඉටු කරති. තවද අප ඔවුනට ලබා දුන් දැයින් වියදම් කරති.,
2,4,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,තවද ඔවුහු කවරහු ද යත් නුඹ වෙත පහළ කරනු ලැබූ දෑ ද නුඹට පෙර පහළ කරනු ලැබූ දෑ ද විශ්වාස කරති. තවද පරමාන්ත දිනය ගැන ද ඔවුහු තරයේ ම විශ්වාස කරති.,
2,5,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,ඔවුහු තම පරමාධිපතිගෙන් වූ යහ මඟ මත සිටිනවුන් ය. තවද ඔවුහුම ය ජයග්‍රාහකයෝ.,
