surah,ayah,arabic_text,translation,footnotes
93,1,وَٱلضُّحَىٰ,"පෙරවරු ව මත දිවුරමින්,",
93,2,وَٱلَّيۡلِ إِذَا سَجَىٰ,"තවද රාත්‍රිය (දහවල) ආවරණය කරන විට, ඒ මත දිවුරමින්,",
93,3,مَا وَدَّعَكَ رَبُّكَ وَمَا قَلَىٰ,නුඹගේ පරමාධිපති නුඹව අතහැර දැමුවේ නැත. එමෙන් ම ඔහු අමනාප වූයේ ද නැත.,
93,4,وَلَلۡأٓخِرَةُ خَيۡرٞ لَّكَ مِنَ ٱلۡأُولَىٰ,"සැබැවින්ම, ආරම්භයට වඩා අවසානය නුඹට වඩාත් යහපත් ය.",
93,5,وَلَسَوۡفَ يُعۡطِيكَ رَبُّكَ فَتَرۡضَىٰٓ,තවද නුඹගේ පරමාධිපති නුඹට මතුවට පිරිනමනු ඇත. එවිට නුඹ තෘප්තියට පත් වනු ඇත.,
93,6,أَلَمۡ يَجِدۡكَ يَتِيمٗا فَـَٔاوَىٰ,ඔහු නුඹව අනාථයෙකු ලෙස දැක නුඹට රැකවරණය නො දුන්නේ ද?,
93,7,وَوَجَدَكَ ضَآلّٗا فَهَدَىٰ,තවද නුඹව අතරමං වූවෙකු ලෙස දැක පසුව ඔහු මඟ පෙන්වූයේ ය.,
93,8,وَوَجَدَكَ عَآئِلٗا فَأَغۡنَىٰ,තවද ඔහු නුඹව අවශ්‍යතාව ඇත්තෙකු ලෙස දැක පසුව ඔහු ස්වයංපෝෂිත කළේ ය.,
93,9,فَأَمَّا ٱلۡيَتِيمَ فَلَا تَقۡهَرۡ,එහෙයින් අනාථයාට කටුක ලෙස නො සළකනු.,
93,10,وَأَمَّا ٱلسَّآئِلَ فَلَا تَنۡهَرۡ,තවද අයදින්නා ව පලවා නො හරිනු.,
93,11,وَأَمَّا بِنِعۡمَةِ رَبِّكَ فَحَدِّثۡ,තවද නුඹගේ පරමාධිපතිගේ ආශිර්වාදයන් ගැන නුඹ ප්‍රකාශ කරනු.,
