surah,ayah,arabic_text,translation,footnotes
83,1,وَيۡلٞ لِّلۡمُطَفِّفِينَ,1. Hoog waxaa leh kuwa dadka (xaqooda) duudsiya.,
83,2,ٱلَّذِينَ إِذَا ٱكۡتَالُواْ عَلَى ٱلنَّاسِ يَسۡتَوۡفُونَ,2. Waa kuwa markay wax beegan u oofsada si dhan oo kaamil ah.,
83,3,وَإِذَا كَالُوهُمۡ أَو وَّزَنُوهُمۡ يُخۡسِرُونَ,3. Markase ay u beegi dadka kale ama miisaami ka dhima oo nuqsaamiya.,
83,4,أَلَا يَظُنُّ أُوْلَٰٓئِكَ أَنَّهُم مَّبۡعُوثُونَ,4. Miyeyna u malaynaynin kuwaasi in loo soo bixin doono (si loo xisaabiyo).,
83,5,لِيَوۡمٍ عَظِيمٖ,5. Maalin weyn (Qiyaamada).,
83,6,يَوۡمَ يَقُومُ ٱلنَّاسُ لِرَبِّ ٱلۡعَٰلَمِينَ,6. Maalinta  dadku istaagi Rabbiga uumanka horti?,
83,7,كَلَّآ إِنَّ كِتَٰبَ ٱلۡفُجَّارِ لَفِي سِجِّينٖ,"7. Mayee, hubaal diiwaanka (camalka) dadka xun wuxuu yaal Sijjiin.",
83,8,وَمَآ أَدۡرَىٰكَ مَا سِجِّينٞ,8. Maxaa ku ogeysiiyey waxa uu Sijiin yahay?*,*Sijiin waa meel cidhiidhi ah oo ah halka u hooseysa arlada toddobaad ee ah hoyga denbiilayaasha Aakhirada.
83,9,كِتَٰبٞ مَّرۡقُومٞ,9. Waa (aayahooda) kitaab (ku) calaameysan.,
83,10,وَيۡلٞ يَوۡمَئِذٖ لِّلۡمُكَذِّبِينَ,10. Hoog Maalintaas waxaa leh xaq beeniyayaasha (nabad diidka).,
83,11,ٱلَّذِينَ يُكَذِّبُونَ بِيَوۡمِ ٱلدِّينِ,11. Kuwa beeniya Maalinta is abaal marinta (Qiyaamada).,
83,12,وَمَا يُكَذِّبُ بِهِۦٓ إِلَّا كُلُّ مُعۡتَدٍ أَثِيمٍ,12.Cidina ma beeniso aan aheyn xadgudbe kastoo denbiile ah.,
83,13,إِذَا تُتۡلَىٰ عَلَيۡهِ ءَايَٰتُنَا قَالَ أَسَٰطِيرُ ٱلۡأَوَّلِينَ,"13. Marka Aayadahayaga loo akhriyo,  yidhaahda: Waa sheekooyinkii dadkii hore.",
83,14,كَلَّاۖ بَلۡۜ رَانَ عَلَىٰ قُلُوبِهِم مَّا كَانُواْ يَكۡسِبُونَ,14. Mayee’ bal waxay fali jireen (oo macaasi ah) baa waxay ku noqdeen sida mirir madow quluubtooda dushood.,
83,15,كَلَّآ إِنَّهُمۡ عَن رَّبِّهِمۡ يَوۡمَئِذٖ لَّمَحۡجُوبُونَ,"15. Mayee, hubaal waxaa maalintaa laga xijaabi Rabbigood.",
83,16,ثُمَّ إِنَّهُمۡ لَصَالُواْ ٱلۡجَحِيمِ,16. Oo waxay gali oo ku guban Naar olol badan.,
83,17,ثُمَّ يُقَالُ هَٰذَا ٱلَّذِي كُنتُم بِهِۦ تُكَذِّبُونَ,17. Waxaa lagu odhan: Waxakanu waa waxaad beenin jirteen.,
83,18,كَلَّآ إِنَّ كِتَٰبَ ٱلۡأَبۡرَارِ لَفِي عِلِّيِّينَ,"18. Mayee, hubaal, diiwaanka (camalka) dadka wanaagsan wuxuu yaal Cilliyyiin (samada toddobaad).",
83,19,وَمَآ أَدۡرَىٰكَ مَا عِلِّيُّونَ,19. Maxaa ku ogeysiiyey waxa uu Cilliyiin yahay?,
83,20,كِتَٰبٞ مَّرۡقُومٞ,20. Waa (aayaha mu'miniinta) kitaab (ku)  calaameysan.,
83,21,يَشۡهَدُهُ ٱلۡمُقَرَّبُونَ,21. Waxaa arka (malaa’igtaa) ku dhow (Alle).,
83,22,إِنَّ ٱلۡأَبۡرَارَ لَفِي نَعِيمٍ,22. Baarriyiinta waxay ku sugnaan  barwaaqo (Janno).,
83,23,عَلَى ٱلۡأَرَآئِكِ يَنظُرُونَ,23. Sariiro boqoreed korkood iyagoo ka daawan (wax waliba oo nicmooyinka jannada ah).,
83,24,تَعۡرِفُ فِي وُجُوهِهِمۡ نَضۡرَةَ ٱلنَّعِيمِ,24. Waxaad ka garan wejiyadooda dhalaalka barwaaqada.,
83,25,يُسۡقَوۡنَ مِن رَّحِيقٖ مَّخۡتُومٍ,25. Waxaa laga waraabin khamri (saafi ah) ee la abburay.,
83,26,خِتَٰمُهُۥ مِسۡكٞۚ وَفِي ذَٰلِكَ فَلۡيَتَنَافَسِ ٱلۡمُتَنَٰفِسُونَ,"26. Inteeda u dambeysa ay tahay miski, ee (arrin)kani ha u tartameen tartamayaashu.",
83,27,وَمِزَاجُهُۥ مِن تَسۡنِيمٍ,27. Dheeheeda waa biyo xagga Tasniim ah.,
83,28,عَيۡنٗا يَشۡرَبُ بِهَا ٱلۡمُقَرَّبُونَ,28. Il ay ka cabbi kuwa (Alle) u dhow.,
83,29,إِنَّ ٱلَّذِينَ أَجۡرَمُواْ كَانُواْ مِنَ ٱلَّذِينَ ءَامَنُواْ يَضۡحَكُونَ,29. Denbiilayaashu waxay ku qosli jireen kuwa (Xaqa) rumeeyey ee mu'miniinta ah.,
83,30,وَإِذَا مَرُّواْ بِهِمۡ يَتَغَامَزُونَ,30. Hadday soo ag maraanna waa isu il-jabin jireen.,
83,31,وَإِذَا ٱنقَلَبُوٓاْ إِلَىٰٓ أَهۡلِهِمُ ٱنقَلَبُواْ فَكِهِينَ,"31. Markay u laabtaanna ehelkooda waxay laaban jireen iyagoo ku maaweeleysanaya,",
83,32,وَإِذَا رَأَوۡهُمۡ قَالُوٓاْ إِنَّ هَٰٓؤُلَآءِ لَضَآلُّونَ,32. Markay arkaan (mu'miniinta) waxay odhan jireen: Kuwakanu waa kuwo lunsan.,
83,33,وَمَآ أُرۡسِلُواْ عَلَيۡهِمۡ حَٰفِظِينَ,33. Ma loo dirsan inay gaar ka hayaan iyo ilaalo (mu’miniinta) dushooda.,
83,34,فَٱلۡيَوۡمَ ٱلَّذِينَ ءَامَنُواْ مِنَ ٱلۡكُفَّارِ يَضۡحَكُونَ,34. Maalinta (Qiyaame) kuwa (Xaqa) rumeeyey waxay ku qosli gaalada.,
83,35,عَلَى ٱلۡأَرَآئِكِ يَنظُرُونَ,35. Sariiro boqoreed (sare) korkood iyagoo ka daawan.,
83,36,هَلۡ ثُوِّبَ ٱلۡكُفَّارُ مَا كَانُواْ يَفۡعَلُونَ,36. Miyaan laga abaal marin gaalada waxay (xume) falayeen?,
